Date,Open,High,Low,Close,Volume,Market Cap
2019-02-21,0.297013,0.299243,0.278138,0.283622,443922,
2019-02-22,0.28341,0.296773,0.265493,0.278962,493251,
2019-02-23,0.277739,0.294766,0.241776,0.25563,308398,
2019-02-24,0.262102,0.345342,0.23491,0.276962,326917,
2019-02-25,0.267297,0.297242,0.238885,0.27333,488378,
2019-02-26,0.269456,0.272822,0.234156,0.253827,448082,
2019-02-27,0.253959,0.260065,0.222433,0.240275,862331,
2019-02-28,0.247505,0.289569,0.202121,0.214548,592179,
2019-03-01,0.217553,0.242948,0.202243,0.227622,1118201,
2019-03-02,0.227412,0.241599,0.185718,0.238037,933070,
2019-03-03,0.23843,0.23843,0.211937,0.216234,696511,
2019-03-04,0.216397,0.219537,0.177693,0.205667,481485,
2019-03-05,0.20349,0.213051,0.167766,0.185155,413481,
2019-03-06,0.181214,0.189254,0.129611,0.181952,361841,
2019-03-07,0.182056,0.183221,0.169905,0.175376,476933,
2019-03-08,0.176037,0.177097,0.134394,0.148326,287368,
2019-03-09,0.148089,0.148614,0.117479,0.12858,409786,
2019-03-10,0.129978,0.136866,0.124542,0.130934,685924,
2019-03-11,0.130298,0.133852,0.129643,0.132534,946788,
2019-03-12,0.132781,0.132971,0.128599,0.129749,648543,
2019-03-13,0.129882,0.13488,0.129846,0.131719,1321643,
2019-03-14,0.131262,0.134507,0.130571,0.131148,1206370,
2019-03-15,0.131536,0.132652,0.130199,0.130586,2741808,
2019-03-16,0.130639,0.132666,0.128783,0.130532,1921990,
2019-03-17,0.130229,0.131938,0.129591,0.131009,3645358,
2019-03-18,0.131373,0.131844,0.130624,0.13136,3641103,
2019-03-19,0.131365,0.132361,0.130759,0.131848,3612121,
2019-03-20,0.131982,0.132125,0.129264,0.130381,3561969,
2019-03-21,0.130554,0.131979,0.12942,0.131347,2164956,
2019-03-22,0.131327,0.131712,0.130454,0.130624,1375933,
2019-03-23,0.130612,0.131322,0.130336,0.130659,1418512,
2019-03-24,0.13074,0.13141,0.129641,0.130776,1546724,
2019-03-25,0.130993,0.131373,0.129412,0.130433,1597209,
2019-03-26,0.130588,0.140837,0.121945,0.140837,538471,
2019-03-27,0.140831,0.142336,0.140491,0.142023,1380698,
2019-03-28,0.142051,0.142404,0.140149,0.141247,532744,
2019-03-29,0.141235,0.148843,0.139538,0.148687,773199,
2019-03-30,0.148552,0.156325,0.144427,0.144427,529250,
2019-03-31,0.144427,0.144588,0.132253,0.132859,21077,
2019-04-01,0.133608,0.136748,0.123663,0.135432,13335,
2019-04-02,0.135217,0.140826,0.088547,0.110562,6656,
2019-04-03,0.110562,0.153476,0.098759,0.148666,148206,
2019-04-04,0.148442,0.149384,0.147457,0.148224,152332,
2019-04-05,0.148153,0.149605,0.104132,0.148853,312358,
2019-04-06,0.148909,0.149064,0.137791,0.138663,193636,
2019-04-07,0.138743,0.139152,0.090271,0.137617,208869,
2019-04-08,0.137598,0.138897,0.091123,0.120684,9782,
2019-04-09,0.120684,0.135639,0.11318,0.132755,70287,
2019-04-10,0.13276,0.133962,0.089004,0.129788,156875,
2019-04-11,0.129705,0.131747,0.128185,0.128734,83160,
2019-04-12,0.128771,0.138963,0.120255,0.136378,47994,
2019-04-13,0.136391,0.136391,0.087039,0.098665,6318,
2019-04-14,0.098665,0.116727,0.079873,0.087607,14835,
2019-04-15,0.087607,0.131234,0.086624,0.08926,6112,
2019-04-16,0.089252,0.140637,0.089015,0.135476,696,
2019-04-17,0.135514,0.135933,0.132681,0.132947,1098,
2019-04-18,0.132893,0.133547,0.131754,0.131803,769,
2019-04-19,0.13182,0.133154,0.129589,0.132756,428,
2019-04-20,0.132743,0.132918,0.131173,0.132072,418,
2019-04-21,0.132038,0.132937,0.089725,0.089895,318,
2019-04-22,0.089915,0.13143,0.089715,0.125346,1774,
2019-04-23,0.125346,0.133072,0.090753,0.091624,248,
2019-04-24,0.091624,0.145916,0.091475,0.145541,21409,
2019-04-25,0.145499,0.148865,0.143358,0.144447,23918,
2019-04-26,0.144495,0.145299,0.141688,0.143992,27830,
2019-04-27,0.14399,0.145491,0.143691,0.145057,26864,
2019-04-28,0.144998,0.145763,0.144539,0.145026,7689,
2019-04-29,0.145029,0.145861,0.144355,0.145602,13000,
2019-04-30,0.145577,0.146723,0.145295,0.146434,3469,
2019-05-01,0.14645,0.148023,0.144507,0.145307,252,
2019-05-02,0.145267,0.146224,0.142305,0.142399,2641,
2019-05-03,0.142432,0.147953,0.142134,0.146217,350,
2019-05-04,0.146223,0.147353,0.136931,0.137752,307,
2019-05-05,0.13782,0.149656,0.135332,0.141184,1459,
2019-05-06,0.14116,0.141693,0.140227,0.140865,217,
2019-05-07,0.140833,0.141407,0.135603,0.137038,962,
2019-05-08,0.136947,0.137694,0.135408,0.136049,136,
2019-05-09,0.13602,0.137915,0.135496,0.136883,410,
2019-05-10,0.136867,0.138724,0.135646,0.137991,393,
2019-05-11,0.13792,0.139333,0.13698,0.137723,781,
2019-05-12,0.137487,0.138719,0.134215,0.134441,921,
2019-05-13,0.134441,0.1399,0.133731,0.138759,5265,
2019-05-14,0.138559,0.139607,0.13713,0.138147,715,
2019-05-15,0.138124,0.140747,0.136732,0.1373,237,
2019-05-16,0.137249,0.140343,0.135817,0.136704,730,
2019-05-17,0.136963,0.139453,0.133491,0.137124,827,
