Date,Open,High,Low,Close,Volume,Market Cap
2015-06-26,2.9e-05,4.1e-05,2.7e-05,2.7e-05,881.0,1997
2015-06-27,2.7e-05,3.4e-05,2.3e-05,2.3e-05,56.0,1683
2015-06-28,2.3e-05,2.8e-05,1.7e-05,2.2e-05,120.0,1670
2015-06-29,2.2e-05,2.8e-05,2e-05,2.8e-05,84.0,2107
2015-06-30,2.8e-05,2.9e-05,2.1e-05,2.9e-05,48.0,2157
2015-07-01,2.9e-05,7.3e-05,2.3e-05,5.9e-05,435.0,4434
2015-07-02,6.7e-05,6.7e-05,4.6e-05,4.9e-05,89.0,3617
2015-07-03,5.9e-05,5.9e-05,2.8e-05,2.8e-05,143.0,2102
2015-07-04,2.8e-05,5e-05,2.3e-05,2.6e-05,30.0,1945
2015-07-05,2.6e-05,4.3e-05,2.6e-05,4.1e-05,38.0,3041
2015-07-06,4.1e-05,5e-05,3.2e-05,4e-05,122.0,3009
2015-07-07,4e-05,6.2e-05,4e-05,5.9e-05,140.0,4367
2015-07-08,5.9e-05,0.000212,4.8e-05,0.000108,2827.0,8077
2015-07-09,0.000176,0.000353,7.5e-05,0.000116,1409.0,8633
2015-07-10,0.000116,0.000117,5.7e-05,8.3e-05,465.0,6161
2015-07-11,8.3e-05,8.3e-05,4e-05,6.4e-05,123.0,4809
2015-07-12,6.4e-05,0.000164,5.1e-05,9.6e-05,156.0,7187
2015-07-13,9.6e-05,0.000136,7.2e-05,7.8e-05,587.0,5796
2015-07-14,7.8e-05,0.000199,7.8e-05,0.000197,666.0,14716
2015-07-15,0.000197,0.000257,0.00015,0.000195,1855.0,14534
2015-07-16,0.000195,0.000234,0.000149,0.000184,1675.0,13707
2015-07-17,0.000184,0.000195,0.000126,0.000184,1363.0,13692
2015-07-18,0.000183,0.000236,0.000177,0.000205,1783.0,15275
2015-07-19,0.000205,0.000272,0.000173,0.000254,2197.0,18969
2015-07-20,0.000254,0.000378,0.000237,0.000353,2284.0,26315
2015-07-21,0.000353,0.000381,0.000291,0.000319,1890.0,23797
2015-07-22,0.000319,0.000369,0.000207,0.000369,2190.0,27569
2015-07-23,0.00037,0.000545,0.000307,0.000443,3563.0,33090
2015-07-24,0.000446,0.000564,0.000424,0.000482,3379.0,35999
2015-07-25,0.000523,0.000622,0.000473,0.000594,1412.0,44353
2015-07-26,0.00062,0.00062,0.000471,0.000498,2185.0,37192
2015-07-27,0.000498,0.000535,0.000361,0.000488,1033.0,36425
2015-07-28,0.000488,0.000493,0.000343,0.000354,997.0,26384
2015-07-29,0.000354,0.000463,0.000349,0.00043,260.0,32086
2015-07-30,0.000429,0.000459,0.000342,0.000344,795.0,25648
2015-07-31,0.000344,0.000412,0.000198,0.000307,913.0,22892
2015-08-01,0.000307,0.000338,0.000236,0.00028,296.0,20900
2015-08-02,0.000279,0.000291,0.000202,0.000266,359.0,19864
2015-08-03,0.000266,0.000328,0.000231,0.000264,125.0,19708
2015-08-04,0.000264,0.000385,0.000264,0.000309,120.0,23070
2015-08-05,0.000309,0.000396,0.000286,0.000396,116.0,29553
2015-08-06,0.000396,0.00045,0.000282,0.000347,287.0,25884
2015-08-07,0.000347,0.000469,0.000346,0.000347,303.0,25918
2015-08-08,0.000348,0.000479,0.000316,0.000463,343.0,34572
2015-08-09,0.000464,0.000494,0.000396,0.00041,220.0,30614
2015-08-10,0.000432,0.00071,0.000425,0.000489,860.0,36461
2015-08-11,0.000488,0.000569,0.000434,0.00053,141.0,39572
2015-08-12,0.000531,0.000604,0.00036,0.000484,479.0,36120
2015-08-13,0.000484,0.000716,0.00043,0.000642,275.0,47893
2015-08-14,0.000642,0.000643,0.000461,0.000505,274.0,37700
2015-08-15,0.000505,0.000787,0.000501,0.000765,760.0,57096
2015-08-16,0.000766,0.000846,0.000544,0.00077,677.0,57478
2015-08-17,0.00077,0.000796,0.000545,0.000547,298.0,40805
2015-08-18,0.000547,0.000658,0.000386,0.000386,525.0,28769
2015-08-19,0.000412,0.000434,0.000331,0.000344,515.0,25690
2015-08-20,0.000406,0.000428,0.00036,0.000368,144.0,27427
2015-08-21,0.000367,0.000543,0.000356,0.00054,164.0,41003
2015-08-22,0.000541,0.000546,0.000319,0.000355,201.0,26947
2015-08-23,0.000355,0.000478,0.000355,0.000469,55.0,35607
2015-08-24,0.000469,0.000509,0.000351,0.000419,43.0,31861
2015-08-25,0.000418,0.00061,0.000397,0.000603,560.0,45882
2015-08-26,0.000605,0.000666,0.000417,0.00063,1208.0,47959
2015-08-27,0.000631,0.000694,0.000546,0.000548,1989.0,41726
2015-08-28,0.000548,0.000715,0.00054,0.000686,876.0,52232
2015-08-29,0.000686,0.000716,0.000609,0.000712,482.0,54248
2015-08-30,0.000712,0.000719,0.000636,0.000701,123.0,53440
2015-08-31,0.000701,0.00073,0.000604,0.00072,538.0,54953
2015-09-01,0.000721,0.000734,0.000678,0.000726,306.0,55418
2015-09-02,0.000726,0.000733,0.000578,0.000722,196.0,55150
2015-09-03,0.000722,0.00073,0.000669,0.000698,59.0,53324
2015-09-04,0.000698,0.002062,0.000635,0.000651,898.0,49772
2015-09-05,0.000651,0.001044,0.000649,0.000945,352.0,72349
2015-09-06,0.000945,0.001311,0.000811,0.001174,1031.0,89915
2015-09-07,0.001175,0.001186,0.000919,0.001046,290.0,80103
2015-09-08,0.001046,0.001332,0.000889,0.001291,772.0,98955
2015-09-09,0.001291,0.001311,0.001031,0.001184,1031.0,90779
2015-09-10,0.001184,0.001274,0.000932,0.001059,2157.0,81298
2015-09-11,0.001058,0.002163,0.001058,0.001389,2913.0,106629
2015-09-12,0.001388,0.001516,0.001246,0.001464,998.0,112452
2015-09-13,0.001509,0.001519,0.001194,0.001341,823.0,103042
2015-09-14,0.001339,0.00145,0.001165,0.001389,1461.0,106861
