Date,Open,High,Low,Close,Volume,Market Cap
2018-09-13,0.000323,0.000325,0.000322,0.000324,1859430.0,
2018-09-14,0.000324,0.000352,0.0003,0.000321,9669290.0,
2018-09-15,0.000321,0.000344,0.000295,0.000301,872747.0,
2018-09-16,0.000301,0.000336,0.000272,0.000315,716251.0,
2018-09-17,0.000309,0.000322,0.000269,0.000287,351842.0,2868131.0
2018-09-18,0.000291,0.000309,0.000276,0.000297,689264.0,2967391.0
2018-09-19,0.000296,0.000358,0.00028,0.000329,1097040.0,3289571.0
2018-09-20,0.000329,0.000341,0.000314,0.000339,774246.0,3392451.0
2018-09-21,0.000339,0.00039,0.000326,0.000337,5944760.0,3372291.0
2018-09-22,0.000338,0.000405,0.000335,0.000367,498952.0,3667181.0
2018-09-23,0.000367,0.000383,0.000336,0.000345,72763.0,3450061.0
2018-09-24,0.000346,0.000392,0.00033,0.000368,85795.0,3676261.0
2018-09-25,0.000368,0.000373,0.000295,0.000331,114628.0,3313421.0
2018-09-26,0.000332,0.000335,0.0003,0.000306,117325.0,3059551.0
2018-09-27,0.000306,0.000344,0.000297,0.00034,542277.0,3404481.0
2018-09-28,0.000341,0.000344,0.000304,0.000314,906.0,3138471.0
2018-09-29,0.000313,0.000346,0.000263,0.000343,612261.0,3426581.0
2018-09-30,0.000342,0.000348,0.000336,0.000342,178263.0,3423511.0
2018-10-01,0.000342,0.000344,0.000256,0.000335,797508.0,3351721.0
2018-10-02,0.000335,0.000336,0.000262,0.000262,654350.0,2622061.0
2018-10-03,0.000262,0.000305,0.000252,0.000285,649060.0,2847561.0
2018-10-04,0.000285,0.000415,0.000244,0.000334,1174400.0,3343021.0
2018-10-05,0.000333,0.000388,0.000319,0.000358,122371.0,3578951.0
2018-10-06,0.000373,0.000394,0.000272,0.000324,802378.0,3239211.0
2018-10-07,0.000325,0.000325,0.000253,0.000294,480838.0,2936761.0
2018-10-08,0.000294,0.000297,0.000262,0.000272,1606410.0,2718491.0
