Date,Open,High,Low,Close,Volume,Market Cap
2018-05-23,0.206031,0.209331,0.198667,0.206606,6209820,
2018-05-24,0.202995,0.220249,0.191741,0.205961,2768380,
2018-05-25,0.20561,0.206073,0.179287,0.186038,3487890,
2018-05-26,0.186095,0.186095,0.168398,0.168544,3317630,
2018-05-27,0.168977,0.168977,0.152638,0.155733,3177870,
2018-05-28,0.15542,0.15597,0.139832,0.142625,3214340,
2018-05-29,0.142321,0.168651,0.142321,0.159576,3683790,
2018-05-30,0.158865,0.162121,0.14606,0.149952,2645940,
2018-05-31,0.149933,0.155598,0.145004,0.146391,2650950,
2018-06-01,0.146014,0.212087,0.14598,0.172365,4415800,
2018-06-02,0.17187,0.194062,0.171773,0.179468,2813370,
2018-06-03,0.179555,0.184638,0.164862,0.164862,2260630,
2018-06-04,0.163588,0.165384,0.150784,0.153001,1938050,
2018-06-05,0.152724,0.155514,0.147959,0.149252,2496670,
2018-06-06,0.148741,0.153185,0.143663,0.145241,1965500,
2018-06-07,0.144909,0.149808,0.140181,0.141917,1508860,
2018-06-08,0.142178,0.145544,0.129845,0.131904,1119610,
2018-06-09,0.132085,0.134653,0.1037,0.1037,1157700,
2018-06-10,0.103173,0.104218,0.088749,0.090259,1292180,
2018-06-11,0.08998,0.090912,0.082101,0.085079,403149,
2018-06-12,0.085183,0.091941,0.07774,0.080751,296126,
2018-06-13,0.08105,0.08105,0.073918,0.079146,288418,
2018-06-14,0.079401,0.086617,0.073415,0.079274,224631,
2018-06-15,0.079377,0.080227,0.070376,0.071289,1229140,
2018-06-16,0.0712,0.073702,0.062829,0.065433,1478780,
2018-06-17,0.065275,0.066191,0.06257,0.062894,1292910,
2018-06-18,0.062788,0.069589,0.06201,0.069337,1279720,
2018-06-19,0.069287,0.07543,0.068151,0.068512,1826910,
2018-06-20,0.06846,0.068954,0.063962,0.064607,2651630,
2018-06-21,0.064554,0.066967,0.063675,0.06625,2015230,8612527.0
2018-06-22,0.066059,0.067378,0.047374,0.047725,1506320,6204198.0
2018-06-23,0.047752,0.052807,0.046843,0.048013,1561700,6241703.0
2018-06-24,0.047772,0.054842,0.047274,0.053707,1725820,6981923.0
2018-06-25,0.053407,0.05627,0.04831,0.051925,1663310,6750263.0
2018-06-26,0.051772,0.053298,0.047018,0.047303,1491990,6149338.0
2018-06-27,0.047236,0.053267,0.045344,0.052978,1850880,6887192.0
2018-06-28,0.05269,0.054966,0.048402,0.051086,1675370,6641206.0
2018-06-29,0.05068,0.051683,0.044747,0.048354,1506670,6286033.0
2018-06-30,0.048853,0.050048,0.045482,0.048288,1810080,6277479.0
2018-07-01,0.048176,0.050858,0.046975,0.049996,1716000,6499467.0
2018-07-02,0.049904,0.052541,0.045309,0.052015,1558480,6761989.0
2018-07-03,0.05229,0.052518,0.047811,0.050903,1597970,6617364.0
2018-07-04,0.050859,0.052253,0.047334,0.049821,1692150,6476704.0
2018-07-05,0.049877,0.076076,0.049332,0.061008,1820600,7931002.0
2018-07-06,0.060655,0.061355,0.0533,0.056509,1791070,7346145.0
2018-07-07,0.056288,0.056604,0.050537,0.055533,1604150,7219356.0
2018-07-08,0.056029,0.056975,0.051136,0.053831,1557920,6997992.0
2018-07-09,0.053364,0.05446,0.046778,0.046778,1299970,6081192.0
2018-07-10,0.047528,0.047528,0.039002,0.039857,1131530,5181475.0
2018-07-11,0.039816,0.041973,0.03796,0.040377,1291390,5249023.0
2018-07-12,0.040482,0.042164,0.037178,0.038944,1233130,5062733.0
2018-07-13,0.039158,0.041526,0.039079,0.040222,1092600,5228912.0
2018-07-14,0.040425,0.041382,0.037384,0.037763,936232,4909177.0
2018-07-15,0.037685,0.03848,0.035874,0.036551,988198,4751604.0
2018-07-16,0.036706,0.039762,0.036452,0.039099,1213660,5082844.0
2018-07-17,0.039318,0.043275,0.038744,0.042554,1587690,5531968.0
2018-07-18,0.042381,0.044364,0.041643,0.043588,1428420,5666453.0
2018-07-19,0.04389,0.044417,0.041845,0.042403,1174990,5512403.0
2018-07-20,0.042559,0.043068,0.038822,0.040463,1398630,5260203.0
2018-07-21,0.040321,0.040945,0.037428,0.037718,1238590,4903392.0
2018-07-22,0.03766,0.03794,0.035229,0.035897,1186370,4666584.0
2018-07-23,0.035962,0.038429,0.035433,0.035882,1166750,4664673.0
2018-07-24,0.035779,0.039635,0.035446,0.03625,1303770,4712487.0
2018-07-25,0.036184,0.038269,0.034408,0.034579,865840,4495283.0
2018-07-26,0.03455,0.037162,0.034363,0.035301,752070,4589130.0
2018-07-27,0.035159,0.035537,0.033562,0.034993,789453,4549064.0
2018-07-28,0.035132,0.0365,0.034893,0.036452,478114,4738760.0
2018-07-29,0.036478,0.037269,0.035487,0.035943,98068,4672564.0
2018-07-30,0.035954,0.035976,0.032962,0.034767,152925,4519762.0
2018-07-31,0.034539,0.034539,0.031279,0.031408,268888,4083053.0
2018-08-01,0.031406,0.03154,0.029047,0.030193,800322,3925064.0
2018-08-02,0.030195,0.042922,0.029724,0.041943,2235930,5452564.0
2018-08-03,0.041854,0.041854,0.029068,0.033765,1438830,4389437.0
2018-08-04,0.033754,0.038953,0.031273,0.031997,1624810,4159675.0
2018-08-05,0.031886,0.034113,0.031316,0.031907,1295710,4147884.0
2018-08-06,0.032117,0.032889,0.031024,0.031037,640967,4034849.0
2018-08-07,0.031068,0.031916,0.030345,0.03063,191061,3981952.0
2018-08-08,0.0307,0.0307,0.025834,0.026029,816728,3383757.0
2018-08-09,0.025858,0.026501,0.024619,0.025827,1144530,3357471.0
2018-08-10,0.025815,0.026204,0.023798,0.024164,999995,3141294.0
2018-08-11,0.024087,0.024235,0.019827,0.021442,953363,2787421.0
2018-08-12,0.021227,0.022218,0.020879,0.021049,881336,2736396.0
2018-08-13,0.021199,0.021715,0.019489,0.019823,841113,2576990.0
2018-08-14,0.01992,0.019932,0.01506,0.016369,777574,2127957.0
2018-08-15,0.016489,0.016871,0.015425,0.015833,362003,2058342.0
2018-08-16,0.015818,0.016369,0.01499,0.015377,108236,1998958.0
2018-08-17,0.015343,0.017167,0.015109,0.017167,182047,2231697.0
2018-08-18,0.017265,0.017265,0.01494,0.015453,174449,2008929.0
2018-08-19,0.01541,0.015644,0.014943,0.015293,161847,1988116.0
2018-08-20,0.015371,0.015999,0.014621,0.014621,80540,1900756.0
2018-08-21,0.014685,0.01484,0.013402,0.013563,61288,1763177.0
2018-08-22,0.01356,0.015194,0.013183,0.013481,63955,1752491.0
2018-08-23,0.013502,0.013967,0.01294,0.013374,57592,1738672.0
2018-08-24,0.013367,0.014242,0.012456,0.012698,286933,1650675.0
2018-08-25,0.012694,0.012952,0.012472,0.012839,170612,1669083.0
2018-08-26,0.012868,0.013132,0.012187,0.012286,136379,1597193.0
2018-08-27,0.012346,0.012784,0.011867,0.012238,129168,1590888.0
2018-08-28,0.012288,0.013479,0.012172,0.013479,176521,1752309.0
2018-08-29,0.013402,0.013509,0.012689,0.012967,140392,1685697.0
2018-08-30,0.012948,0.013249,0.012405,0.012865,99870,1672398.0
2018-08-31,0.012895,0.013255,0.012492,0.012671,90858,1647243.0
2018-09-01,0.012656,0.013649,0.012623,0.013501,58335,1755195.0
2018-09-02,0.013581,0.013773,0.013094,0.013461,103042,1749943.0
2018-09-03,0.013495,0.0137,0.012867,0.013376,92087,1738919.0
2018-09-04,0.013406,0.013924,0.013364,0.013891,146093,1805804.0
2018-09-05,0.013867,0.014047,0.011751,0.011751,289512,1527565.0
2018-09-06,0.011844,0.012011,0.011125,0.01194,373386,1552226.0
2018-09-07,0.011911,0.0125,0.0115,0.012289,470434,1597596.0
2018-09-08,0.012273,0.02056,0.012273,0.017845,717242,2319824.0
2018-09-09,0.018244,0.018909,0.014355,0.016023,259745,2083029.0
2018-09-10,0.016083,0.01648,0.013902,0.014428,161186,1875653.0
2018-09-11,0.014497,0.014944,0.012596,0.012939,127820,1682005.0
2018-09-12,0.012933,0.013087,0.01193,0.012687,212115,1649362.0
2018-09-13,0.01266,0.014146,0.01266,0.014083,185749,1830829.0
2018-09-14,0.01405,0.014212,0.01322,0.013525,111604,1758198.0
2018-09-15,0.01349,0.013861,0.0131,0.013521,58642,1757730.0
2018-09-16,0.01351,0.013709,0.012942,0.013554,71279,1761981.0
2018-09-17,0.013576,0.01389,0.012617,0.012744,118391,1656694.0
2018-09-18,0.01275,0.013272,0.012605,0.012876,163136,1673828.0
2018-09-19,0.012846,0.013163,0.011864,0.012602,177076,1638221.0
2018-09-20,0.012634,0.012683,0.01181,0.012344,131191,1604707.0
2018-09-21,0.012349,0.01406,0.012269,0.013408,186922,1743014.0
2018-09-22,0.013405,0.014193,0.01231,0.01261,326192,1639313.0
2018-09-23,0.012622,0.013274,0.012605,0.012838,69697,1668927.0
2018-09-24,0.012854,0.012968,0.012185,0.012219,77826,1588418.0
2018-09-25,0.012234,0.012243,0.011709,0.012196,85719,1585519.0
2018-09-26,0.012182,0.012681,0.011762,0.012338,63404,1603940.0
2018-09-27,0.012268,0.012675,0.011935,0.012441,219825,1617317.0
2018-09-28,0.012466,0.01323,0.012332,0.012806,405870,1664780.0
2018-09-29,0.012586,0.013041,0.012278,0.012804,119966,1664572.0
2018-09-30,0.012717,0.012827,0.012283,0.012513,119633,1626690.0
2018-10-01,0.012477,0.012667,0.012211,0.0124,50659,1611948.0
2018-10-02,0.012308,0.013982,0.012291,0.013628,101883,1771666.0
2018-10-03,0.013571,0.013646,0.012791,0.013511,75615,1756482.0
2018-10-04,0.01355,0.018773,0.013499,0.018099,334190,2352922.0
2018-10-05,0.018252,0.018977,0.014011,0.014661,255271,1905930.0
2018-10-06,0.014621,0.01506,0.013983,0.014586,166963,1896193.0
2018-10-07,0.014631,0.014631,0.013338,0.013945,140785,1812902.0
2018-10-08,0.013927,0.014489,0.013684,0.013829,104584,1797731.0
2018-10-09,0.01384,0.014462,0.013679,0.014268,74606,1854879.0
2018-10-10,0.01424,0.018924,0.014236,0.015657,298668,2035449.0
2018-10-11,0.015876,0.016318,0.01359,0.013624,106119,1771133.0
2018-10-12,0.013567,0.016175,0.013247,0.015071,112893,1959230.0
2018-10-13,0.01507,0.018949,0.0146,0.017616,370436,2290119.0
2018-10-14,0.017539,0.018868,0.016509,0.016877,417126,2194010.0
2018-10-15,0.017041,0.018239,0.016123,0.016603,409839,2158390.0
2018-10-16,0.016839,0.022447,0.016089,0.022447,818199,2918097.0
2018-10-17,0.022739,0.022739,0.017825,0.01817,567139,2362074.0
2018-10-18,0.018243,0.02068,0.017559,0.020158,534286,2620501.0
2018-10-19,0.02063,0.027074,0.020532,0.025407,1369970,3302923.0
2018-10-20,0.025167,0.025927,0.022487,0.022776,617883,2960867.0
2018-10-21,0.022766,0.024969,0.022599,0.023987,762731,3118245.0
2018-10-22,0.023952,0.024162,0.023179,0.023578,940213,3065088.0
2018-10-23,0.023501,0.023999,0.020557,0.021133,502994,2747355.0
