Date,Open,High,Low,Close,Volume,Market Cap
2018-02-21,0.079802,0.08508,0.079194,0.085023,770317,
2018-02-22,0.081989,0.091445,0.078805,0.080161,913683,
2018-02-23,0.079727,0.091584,0.077836,0.088542,1013540,
2018-02-24,0.0886,0.093355,0.084103,0.086754,677493,
2018-02-25,0.086569,0.088938,0.079224,0.081211,450496,
2018-02-26,0.081254,0.086338,0.079995,0.082601,240768,
2018-02-27,0.082395,0.088332,0.075174,0.079003,535537,
2018-02-28,0.079143,0.08917,0.075499,0.078874,668784,
2018-03-01,0.078868,0.079128,0.073853,0.077289,389228,
2018-03-02,0.077237,0.082859,0.074272,0.080461,565818,
2018-03-03,0.0804,0.0804,0.069091,0.0736,415812,
2018-03-04,0.073566,0.078656,0.07064,0.076538,434627,
2018-03-05,0.076545,0.088862,0.076332,0.081407,704700,
2018-03-06,0.081588,0.082029,0.067808,0.070245,1331120,
2018-03-07,0.070095,0.072458,0.055764,0.06278,564321,
2018-03-08,0.063299,0.063894,0.054501,0.056091,332119,
2018-03-09,0.055965,0.056431,0.04877,0.054159,283280,
2018-03-10,0.054137,0.057183,0.052757,0.055316,338960,
2018-03-11,0.055088,0.058419,0.051026,0.058419,369960,
2018-03-12,0.058256,0.059111,0.052567,0.05407,217386,
2018-03-13,0.053965,0.05812,0.05138,0.052341,282168,
2018-03-14,0.052357,0.056761,0.046304,0.04792,248108,
2018-03-15,0.047883,0.048501,0.041318,0.046118,352830,
2018-03-16,0.046049,0.0548,0.043108,0.048221,751011,
2018-03-17,0.048435,0.049731,0.043664,0.044423,459566,20219861.0
2018-03-18,0.044442,0.044442,0.035655,0.042999,570429,19571754.0
2018-03-19,0.042845,0.045405,0.040899,0.04366,536267,19872344.0
2018-03-20,0.043921,0.048554,0.041425,0.047913,453170,21821543.0
2018-03-21,0.048055,0.052436,0.048014,0.049769,447179,22669111.0
2018-03-22,0.049759,0.052173,0.049227,0.050368,509500,22941672.0
2018-03-23,0.050587,0.05087,0.047106,0.047624,486444,21691961.0
2018-03-24,0.048156,0.050943,0.046042,0.046352,662413,21135114.0
2018-03-25,0.045945,0.048633,0.042864,0.044708,759100,20385457.0
2018-03-26,0.0436,0.0479,0.041236,0.042602,443873,19425189.0
2018-03-27,0.042554,0.043547,0.039423,0.040433,598460,18437449.0
2018-03-28,0.040415,0.045596,0.039417,0.042866,774297,19546902.0
2018-03-29,0.043147,0.044203,0.033384,0.034241,597529,15614111.0
2018-03-30,0.033898,0.038527,0.032231,0.035342,874353,16115896.0
2018-03-31,0.035069,0.038121,0.035069,0.036158,445484,16488313.0
2018-04-01,0.036263,0.037352,0.032667,0.034064,516773,15533079.0
2018-04-02,0.03421,0.037645,0.033526,0.034433,488520,15701754.0
2018-04-03,0.03451,0.035917,0.031801,0.033425,809152,15241785.0
2018-04-04,0.033384,0.033584,0.030277,0.030937,588794,14213582.0
2018-04-05,0.03094,0.031852,0.029814,0.030794,508917,14148295.0
2018-04-06,0.03062,0.031924,0.029702,0.03055,629517,14036145.0
2018-04-07,0.030533,0.034165,0.030491,0.032022,533750,14720476.0
2018-04-08,0.031831,0.036299,0.031642,0.035793,564135,16454190.0
2018-04-09,0.035724,0.036778,0.032647,0.032955,653043,15149377.0
2018-04-10,0.033009,0.033947,0.032889,0.033727,538950,15504265.0
2018-04-11,0.033686,0.03623,0.033686,0.035922,1074860,16513353.0
2018-04-12,0.03581,0.045693,0.035411,0.045693,2201410,20992488.0
2018-04-13,0.0456,0.052846,0.045424,0.047959,2556720,22033875.0
2018-04-14,0.047856,0.050233,0.047494,0.048352,943101,22214430.0
2018-04-15,0.048564,0.061737,0.048564,0.059711,2330070,27433034.0
