Date,Open,High,Low,Close,Volume,Market Cap
2018-10-18,0.639393,0.642643,0.634006,0.641828,66485.0,505566
2018-10-19,0.641727,0.650893,0.597336,0.637116,2283.0,501855
2018-10-20,0.637226,0.637226,0.572714,0.582168,130.0,458572
2018-10-21,0.582301,0.596358,0.578577,0.590138,820.0,464850
2018-10-22,0.58984,0.597088,0.584735,0.588611,780.0,463647
2018-10-23,0.588558,0.592031,0.577077,0.581787,517.0,458272
2018-10-24,0.579207,0.585871,0.508312,0.509543,,401366
2018-10-25,0.583258,0.592196,0.578695,0.589076,479.0,464014
2018-10-26,0.588157,0.669265,0.578482,0.668627,268.0,526676
2018-10-27,0.668627,0.679883,0.595465,0.596395,875.0,469779
2018-10-28,0.599604,0.605668,0.578195,0.604885,470.0,476466
2018-10-29,0.601844,0.613112,0.586116,0.589964,337.0,464713
2018-10-30,0.588528,0.672118,0.566885,0.669127,1411.0,527070
2018-10-31,0.671217,0.672111,0.631696,0.631696,34.0,497585
2018-11-01,0.629197,0.676561,0.556447,0.604971,50250.0,483189
2018-11-02,0.604971,0.613037,0.563715,0.567974,156.0,453639
2018-11-03,0.567974,0.684542,0.567974,0.684542,1014.0,546742
2018-11-04,0.684542,0.692805,0.583009,0.692619,266.0,553193
2018-11-05,0.692667,0.697115,0.685889,0.686626,1267.0,548406
2018-11-06,0.689413,0.693106,0.684783,0.692033,,552415
2018-11-07,0.692033,0.692033,0.578786,0.581687,686.0,464592
2018-11-08,0.581288,0.582386,0.571554,0.572255,220.0,457059
2018-11-09,0.572725,0.922823,0.57087,0.674148,34508.0,538440
2018-11-10,0.674051,0.678061,0.567717,0.571487,129.0,456445
2018-11-11,0.571053,0.618869,0.56368,0.618869,11.0,494289
2018-11-12,0.620371,0.772412,0.614346,0.76959,51311.0,614669
2018-11-13,0.766283,0.769783,0.671226,0.715836,23.0,571736
2018-11-14,0.713763,0.749158,0.552671,0.688451,1174.0,549864
2018-11-15,0.692246,0.69553,0.599856,0.681298,14741.0,544151
2018-11-16,0.681126,0.682561,0.662861,0.671788,305.0,536555
2018-11-17,0.674078,0.674078,0.490768,0.49315,1.0,393878
2018-11-18,0.494744,0.502939,0.493753,0.499653,1.0,399072
2018-11-19,0.499853,0.671562,0.492171,0.579419,1666.0,462780
2018-11-20,0.576055,0.591505,0.141817,0.230945,603.0,184455
2018-11-21,0.231275,0.552888,0.225061,0.552581,52739.0,441345
2018-11-22,0.55034,0.555234,0.358976,0.358976,2.0,286713
2018-11-23,0.357159,0.417788,0.345459,0.414786,335.0,331288
2018-11-24,0.414493,0.509791,0.408987,0.465837,2.0,372063
2018-11-25,0.466029,0.47304,0.217518,0.41158,2.0,328728
2018-11-26,0.413454,0.447944,0.333436,0.427012,1998.0,341053
2018-11-27,0.426743,0.451144,0.324726,0.331187,1.0,264518
2018-11-28,0.331502,0.453975,0.331502,0.375823,22.0,300169
2018-11-29,0.377373,0.390222,0.36516,0.378923,34.0,302645
2018-11-30,0.379767,0.383383,0.352198,0.362165,,289260
2018-12-01,0.362165,0.525266,0.362165,0.515929,100.0,412071
2018-12-02,0.515514,0.530516,0.504625,0.518194,,413881
2018-12-03,0.518194,0.518194,0.518194,0.518194,,413881
2018-12-04,0.518194,2.09,0.429325,1.68,52829.0,1339816
2018-12-05,1.68,1.97,1.66,1.85,1118.0,1473866
2018-12-06,1.84,2.06,1.79,1.87,598.0,1492392
2018-12-07,1.87,1.87,1.48,1.49,36.0,1188448
2018-12-08,1.49,1.79,1.27,1.78,35.0,1419008
2018-12-09,1.77,2.01,1.77,1.98,238.0,1577602
2018-12-10,1.97,1.99,1.48,1.93,302.0,1541666
2018-12-11,1.93,1.94,1.18,1.18,82.0,943980
