Date,Open,High,Low,Close,Volume,Market Cap
2019-03-13,0.821335,0.821335,0.81545,0.818374,196,
2019-03-14,0.817851,0.858099,0.816518,0.828765,14460,
2019-03-15,0.827975,0.856903,0.243906,0.852415,6559,
2019-03-16,0.853329,0.894255,0.832867,0.881391,5416,
2019-03-17,0.88058,0.881152,0.282284,0.422871,19,
2019-03-18,0.423243,0.873411,0.423243,0.843975,302,
2019-03-19,0.843522,0.936765,0.134724,0.934713,188,
2019-03-20,0.934754,0.936068,0.09242,0.896576,98,
2019-03-21,0.897911,0.900156,0.846952,0.851966,7305,
2019-03-22,0.851206,0.875746,0.841972,0.865472,9199,
2019-03-23,0.8645,14.79,0.863595,3.28,119,
2019-03-24,3.28,22.04,1.36,12.52,7132,
2019-03-25,12.54,12.75,0.995834,4.18,16849,
2019-03-26,4.19,4.6,3.42,4.6,42669,
2019-03-27,4.6,4.86,4.6,4.86,22966,
2019-03-28,4.86,4.86,3.35,4.7,40848,
2019-03-29,4.7,11.37,2.25,3.59,14282,
2019-03-30,3.59,4.1,1.46,4.1,30115,
2019-03-31,4.1,4.23,2.36,4.23,31266,
2019-04-01,4.22,4.25,1.39,4.12,34465,
2019-04-02,4.12,4.57,3.11,3.27,30066,
2019-04-03,3.27,4.26,1.7,4.03,90753,
2019-04-04,4.04,4.12,0.882492,3.87,7708,
2019-04-05,3.87,4.43,3.43,4.32,33849,
2019-04-06,4.32,4.32,2.55,3.47,15,
2019-04-07,3.47,4.56,3.16,3.34,141763,
2019-04-08,3.35,3.92,3.18,3.89,41,
2019-04-09,3.89,4.03,1.77,3.35,27578,
2019-04-10,3.34,3.47,1.65,3.36,40360,
2019-04-11,3.36,3.36,1.71,1.71,6,
2019-04-12,1.71,3.85,0.76556,3.79,142,
2019-04-13,3.79,4.03,3.26,3.29,3,
2019-04-14,3.29,3.29,0.563885,1.83,1833,
2019-04-15,1.83,1.93,0.190027,1.15,584,
2019-04-16,1.15,2.03,0.19893,0.685484,1085,
2019-04-17,0.685491,0.690673,0.244842,0.249127,91,
2019-04-18,0.249122,0.314533,0.062294,0.287155,191,
2019-04-19,1.79,1.79,0.047107,0.752449,3206,
2019-04-20,0.752152,0.779148,0.050964,0.344614,279,
2019-04-21,0.344589,0.404991,0.10652,0.115641,84221,
2019-04-22,0.110633,1.02,0.074365,0.606361,1688134,
2019-04-23,0.606361,0.617257,0.102518,0.168045,648148,
2019-04-24,0.168045,0.547867,0.164431,0.21562,395920,
2019-04-25,0.215597,0.216392,0.155961,0.157027,103,
2019-04-26,0.157082,0.216983,0.132981,0.173437,235140,
2019-04-27,0.168419,0.201147,0.104925,0.105642,412704,
2019-04-28,0.113626,0.153429,0.076606,0.132249,510151,
2019-04-29,0.132246,0.153576,0.070694,0.14101,552768,
2019-04-30,0.139837,0.160349,0.102366,0.131073,513787,
2019-05-01,0.131582,0.161091,0.106584,0.144553,564565,
2019-05-02,0.128292,0.149372,0.106291,0.147108,566985,
2019-05-03,0.145947,0.155778,0.110848,0.148309,578179,
2019-05-04,0.150506,0.15605,0.082898,0.131992,512083,
2019-05-05,0.095618,0.162479,0.082011,0.094577,367047,
2019-05-06,0.157361,0.162355,0.081935,0.144745,558253,
2019-05-07,0.125821,0.165726,0.08929,0.118035,457223,
2019-05-08,0.117865,0.15828,0.027449,0.095542,374050,
2019-05-09,0.048613,0.114251,0.011975,0.019228,74659,
2019-05-10,0.023916,0.027888,0.018664,0.022626,86449,
2019-05-11,0.023893,0.024486,0.006648,0.020511,79687,
2019-05-12,0.018337,0.026446,0.011575,0.021228,82312,
2019-05-13,0.021228,0.026562,0.018159,0.020384,77699,
2019-05-14,0.020904,0.080649,0.013933,0.025276,96010,
2019-05-15,0.022385,0.04396,0.018428,0.036622,141849,
2019-05-16,0.03661,0.048089,0.021151,0.024365,46964,
2019-05-17,0.024355,0.02632,0.00927,0.020604,29397,
