Date,Open,High,Low,Close,Volume,Market Cap
2018-10-24,0.001091,0.002418,0.001091,0.001207,526.0,20583
2018-10-25,0.001208,0.002038,0.001199,0.001592,262.0,27151
2018-10-26,0.00159,0.001867,0.001223,0.001729,513.0,30901
2018-10-27,0.001729,0.001803,0.001349,0.001789,478.0,32659
2018-10-28,0.001799,0.002265,0.001419,0.001426,465.0,26604
2018-10-29,0.001419,0.001879,0.001136,0.001513,365.0,28779
2018-10-30,0.001509,0.001701,0.001152,0.001154,367.0,22375
2018-10-31,0.001157,0.001207,0.000884,0.000889,364.0,17654
2018-11-01,0.000889,0.001455,0.000759,0.000759,1731.0,15356
2018-11-02,0.000759,0.001012,0.000569,0.000701,378.0,14500
2018-11-03,0.000701,0.001403,0.000574,0.001275,702.0,26974
2018-11-04,0.001275,0.001337,0.000764,0.000965,515.0,20827
2018-11-05,0.000965,0.001228,0.000772,0.001017,482.0,22359
2018-11-06,0.001011,0.00102,0.000712,0.001019,575.0,22761
2018-11-07,0.001019,0.00105,0.000769,0.000954,252.0,21763
2018-11-08,0.000953,0.000971,0.000582,0.000965,490.0,22410
2018-11-09,0.000966,0.001026,0.000638,0.000957,331.0,22645
2018-11-10,0.000957,0.001085,0.000768,0.000955,499.0,23024
2018-11-11,0.000955,0.001091,0.000688,0.000754,541.0,18517
2018-11-12,0.000756,0.000757,0.000504,0.000566,384.0,14194
2018-11-13,0.000563,0.000565,0.000365,0.000421,163.0,10769
2018-11-14,0.00042,0.000542,0.000343,0.000394,212.0,10271
2018-11-15,0.000396,0.00044,0.000273,0.000287,125.0,7623
2018-11-16,0.000287,0.000449,0.000279,0.000334,93.0,9032
2018-11-17,0.000335,0.000548,0.000108,0.000349,687.0,9623
2018-11-18,0.00035,0.000561,0.000217,0.000297,172.0,8337
2018-11-19,0.000297,0.000307,0.000152,0.000184,69.0,5247
2018-11-20,0.000183,0.00023,8.4e-05,0.000121,220.0,3528
2018-11-21,0.000121,0.000264,8.2e-05,0.000155,151.0,4586
2018-11-22,0.000154,0.000242,0.000154,0.000218,46.0,6551
2018-11-23,0.000217,0.000261,0.000173,0.000225,38.0,6877
2018-11-24,0.000225,0.000261,0.000151,0.000156,35.0,4806
2018-11-25,0.000156,0.000192,0.000108,0.000176,4.0,5484
2018-11-26,0.000176,0.000279,0.000144,0.000151,157.0,4810
2018-11-27,0.000151,0.000262,0.000144,0.000174,86.0,5658
2018-11-28,0.000174,0.000174,8.2e-05,0.000114,97.0,3777
2018-11-29,0.000114,0.000218,0.000109,0.000213,67.0,7175
2018-11-30,0.000213,0.000215,0.000117,0.000159,80.0,5431
2018-12-01,0.000159,0.000211,0.00012,0.000121,69.0,4217
2018-12-02,0.000121,0.000199,0.000116,0.000189,59.0,6666
2018-12-03,0.00019,0.00019,0.000112,0.000156,135.0,5615
2018-12-04,0.000156,0.000197,8e-05,8e-05,67.0,2931
2018-12-05,8e-05,0.000134,7.9e-05,0.000105,27.0,3903
2018-12-06,0.000105,0.000135,6.9e-05,6.9e-05,50.0,2618
2018-12-07,6.9e-05,0.000104,6.5e-05,6.8e-05,34.0,2623
2018-12-08,6.8e-05,7e-05,6e-05,6e-05,12.0,2324
2018-12-09,5.9e-05,7.4e-05,5.8e-05,7.2e-05,62.0,2833
2018-12-10,7.1e-05,0.000107,6.3e-05,6.4e-05,14.0,2582
2018-12-11,6.4e-05,9.7e-05,6.3e-05,6.6e-05,39.0,2715
2018-12-12,6.6e-05,0.000105,6.6e-05,6.9e-05,101.0,2877
2018-12-13,6.9e-05,6.9e-05,6.2e-05,6.3e-05,61.0,2677
2018-12-14,6.3e-05,0.000224,5.9e-05,0.000161,377.0,6955
2018-12-15,0.000161,0.000162,9.5e-05,0.000129,35.0,5672
2018-12-16,0.000129,0.000129,9.7e-05,9.8e-05,19.0,4366
2018-12-17,9.8e-05,0.000162,9.7e-05,0.000106,37.0,4842
2018-12-18,0.000107,0.00025,0.000105,0.000185,242.0,8527
2018-12-19,0.000185,0.000194,0.000119,0.000173,77.0,8131
2018-12-20,0.000173,0.000204,0.000153,0.00016,23.0,7646
2018-12-21,0.00016,0.000193,0.000151,0.000153,40.0,7446
2018-12-22,0.000153,0.000197,0.000152,0.000161,89.0,7967
2018-12-23,0.000161,0.000357,0.00016,0.000197,216.0,9978
2018-12-24,0.000197,0.000213,0.000195,0.000203,9.0,10463
2018-12-25,0.000203,0.000307,0.000187,0.000191,81.0,10043
2018-12-26,0.000191,0.000213,0.00018,0.000188,24.0,10052
2018-12-27,0.000188,0.000188,0.000148,0.000148,80.0,8067
2018-12-28,0.000148,0.00015,0.00011,0.000118,123.0,6542
2018-12-29,0.000118,0.000158,0.000114,0.000114,65.0,7137
2018-12-30,0.000114,0.000231,0.000113,0.000116,141.0,7379
2018-12-31,0.000116,0.000168,0.000112,0.000112,17.0,7296
2019-01-01,0.000113,0.000116,0.000111,0.000116,24.0,7655
2019-01-02,0.000116,0.00012,0.000114,0.000119,36.0,8048
2019-01-03,0.000119,0.000156,0.000116,0.000116,26.0,7963
2019-01-04,0.000116,0.000123,0.000113,0.000116,73.0,8089
2019-01-05,0.000115,0.000155,0.000115,0.000115,1.0,8188
2019-01-06,0.000115,0.000122,8.3e-05,0.000121,124.0,8776
2019-01-07,0.000121,0.000153,8e-05,0.000118,48.0,8714
2019-01-08,0.000118,0.000243,0.000117,0.000119,181.0,8962
2019-01-09,0.000119,0.000154,0.000113,0.000128,14.0,9815
2019-01-10,0.000128,0.000182,0.00011,0.000147,52.0,11488
2019-01-11,0.000147,0.000223,0.00011,0.000221,76.0,17682
2019-01-12,0.000221,0.000222,0.000109,0.00011,53.0,8954
2019-01-13,0.00011,0.000112,0.000106,0.000106,134.0,8857
2019-01-14,0.000106,0.000155,0.000106,0.000152,122.0,12946
2019-01-15,0.000152,0.000189,0.000144,0.000144,698.0,12486
2019-01-16,0.000144,0.000182,0.000144,0.000145,58.0,12881
2019-01-17,0.000145,0.000183,0.00014,0.000147,146.0,13302
2019-01-18,0.000147,0.000147,0.000109,0.000111,128.0,10296
2019-01-19,0.000111,0.000115,3.4e-05,3.4e-05,445.0,3234
2019-01-20,3.4e-05,0.000109,3.4e-05,8.3e-05,514.0,7953
2019-01-21,8.3e-05,0.000107,4e-05,0.000107,54.0,10486
2019-01-22,0.000107,0.000108,3.6e-05,3.8e-05,68.0,3748
2019-01-23,3.8e-05,4.7e-05,3.7e-05,4.7e-05,7.0,4721
2019-01-24,4.7e-05,0.000106,3.7e-05,7.1e-05,95.0,7309
2019-01-25,7.1e-05,7.2e-05,3.6e-05,7e-05,437.0,7404
2019-01-26,7e-05,7.3e-05,3.6e-05,7.2e-05,81.0,7715
2019-01-27,7.2e-05,7.2e-05,3.6e-05,7.1e-05,17.0,7753
2019-01-28,7.1e-05,7.1e-05,3.4e-05,3.5e-05,12.0,3809
2019-01-29,3.5e-05,6.9e-05,3.4e-05,3.4e-05,160.0,3779
2019-01-30,3.4e-05,7e-05,3.4e-05,6.9e-05,111.0,7601
2019-01-31,6.9e-05,6.9e-05,3.3e-05,6.8e-05,140.0,7475
2019-02-01,6.8e-05,7e-05,3.4e-05,3.4e-05,42.0,3770
2019-02-02,3.4e-05,6.8e-05,2.5e-05,2.5e-05,2.0,2799
2019-02-03,2.5e-05,7e-05,2.5e-05,3.7e-05,7.0,4529
2019-02-04,3.7e-05,4.1e-05,3.5e-05,3.6e-05,73.0,4474
2019-02-05,3.6e-05,3.6e-05,2.3e-05,2.4e-05,32.0,3013
2019-02-06,2.4e-05,2.4e-05,1.7e-05,1.8e-05,9.0,2283
2019-02-07,1.8e-05,6.8e-05,1.7e-05,3.3e-05,115.0,4320
2019-02-08,3.3e-05,3.5e-05,3e-05,3.5e-05,28.0,4640
2019-02-09,3.5e-05,3.5e-05,1.8e-05,1.9e-05,3.0,2503
2019-02-10,1.9e-05,3.7e-05,1.8e-05,1.9e-05,35.0,2499
2019-02-11,1.9e-05,3.7e-05,1.8e-05,3.6e-05,3.0,4912
2019-02-12,3.6e-05,3.6e-05,1.8e-05,1.8e-05,15.0,2480
2019-02-13,1.8e-05,3.6e-05,1.8e-05,3.6e-05,0.0,4896
2019-02-14,3.6e-05,3.6e-05,3.6e-05,3.6e-05,1.0,4870
2019-02-15,3.6e-05,3.7e-05,1.2e-05,1.2e-05,23.0,1599
2019-02-16,1.2e-05,3.6e-05,1.1e-05,3.6e-05,4.0,4887
2019-02-17,3.6e-05,3.7e-05,1.7e-05,2e-05,7.0,2720
2019-02-18,2e-05,3.8e-05,4e-06,8e-06,0.0,1056
2019-02-19,8e-06,8e-06,8e-06,8e-06,0.0,1066
2019-02-20,8e-06,4e-05,8e-06,4e-05,34.0,5403
2019-02-21,4e-05,4e-05,3.8e-05,3.8e-05,0.0,5189
2019-02-22,3.8e-05,3.9e-05,5e-06,5e-06,14.0,669
2019-02-23,5e-06,2.3e-05,5e-06,2.2e-05,19.0,3032
2019-02-24,2.2e-05,2.8e-05,1.5e-05,1.5e-05,5.0,2054
2019-02-25,1.5e-05,2e-05,1.5e-05,1.9e-05,3.0,2626
2019-02-26,1.9e-05,1.9e-05,1.5e-05,1.5e-05,2.0,2083
2019-02-27,1.5e-05,3.9e-05,1.5e-05,3.8e-05,0.0,5186
2019-02-28,3.8e-05,3.9e-05,3.8e-05,3.9e-05,0.0,5197
2019-03-01,3.8e-05,3.9e-05,2.7e-05,3.7e-05,2.0,4999
2019-03-02,3.7e-05,3.9e-05,3.4e-05,3.4e-05,3.0,4638
2019-03-03,3.4e-05,3.7e-05,2.3e-05,2.3e-05,0.0,3110
2019-03-04,2.3e-05,2.3e-05,2.2e-05,2.3e-05,0.0,3044
2019-03-05,2.3e-05,2.3e-05,4e-06,4e-06,21.0,526
2019-03-06,4e-06,8e-06,4e-06,8e-06,41.0,1053
2019-03-07,8e-06,8e-06,4e-06,4e-06,0.0,527
2019-03-08,4e-06,4e-06,4e-06,4e-06,0.0,526
2019-03-09,4e-06,8e-06,4e-06,8e-06,0.0,1069
2019-03-10,8e-06,1.2e-05,8e-06,1.2e-05,1.0,1597
2019-03-11,1.2e-05,1.2e-05,4e-06,4e-06,10.0,526
2019-03-12,4e-06,1.2e-05,4e-06,1.2e-05,15.0,1580
