Date,Open,High,Low,Close,Volume,Market Cap
2017-07-12,0.261616,0.332015,0.259997,0.316761,4528390,19622121
2017-07-13,0.315148,0.315148,0.239213,0.239213,2188970,14468040
2017-07-14,0.239041,0.242734,0.161741,0.165057,1754740,9982949
2017-07-15,0.164349,0.197645,0.150834,0.168928,1271350,10217074
2017-07-16,0.167905,0.178307,0.139918,0.146893,956850,8884357
2017-07-17,0.148067,0.189968,0.147451,0.188069,1352130,11374757
2017-07-18,0.188259,0.189945,0.172679,0.176567,965565,10679095
2017-07-19,0.177223,0.245454,0.174783,0.190487,1857780,11396851
2017-07-20,0.191784,0.21893,0.180061,0.216644,954411,12961826
2017-07-21,0.218508,0.237185,0.201931,0.201931,1069370,11979751
2017-07-22,0.198016,0.216054,0.197388,0.210654,589628,12470881
2017-07-23,0.210602,0.227984,0.200075,0.220234,1169640,13009185
2017-07-24,0.218872,0.237278,0.218371,0.230165,1108730,13516623
2017-07-25,0.230189,0.233056,0.182022,0.187367,720364,11002549
2017-07-26,0.186489,0.198062,0.182685,0.196715,422055,11551482
2017-07-27,0.198201,0.213577,0.194062,0.199513,1268590,11715786
2017-07-28,0.20111,0.202601,0.183408,0.187648,552320,11019050
2017-07-29,0.187885,0.190677,0.177129,0.190648,296085,11195216
2017-07-30,0.190521,0.19286,0.172784,0.17816,452656,10461897
2017-07-31,0.178448,0.183462,0.159787,0.176045,429098,10337700
2017-08-01,0.176002,0.226977,0.16206,0.208179,850826,12224670
2017-08-02,0.208037,0.208727,0.187803,0.192198,428795,11286235
2017-08-03,0.195994,0.22664,0.192551,0.225951,610026,13268276
2017-08-04,0.223088,0.234292,0.211725,0.215444,595157,12651285
2017-08-05,0.215391,0.233707,0.213203,0.233632,463943,13719319
2017-08-06,0.234318,0.276337,0.221328,0.274218,852476,16102607
2017-08-07,0.273986,0.284666,0.25382,0.261467,618726,15353843
2017-08-08,0.259807,0.289899,0.256412,0.279865,473644,16434209
2017-08-09,0.280614,0.283796,0.23309,0.25047,999151,14708078
2017-08-10,0.25015,0.388582,0.24672,0.388582,2921970,22818280
2017-08-11,0.407344,0.422905,0.292616,0.295678,3674950,17362779
2017-08-12,0.298068,0.365881,0.298068,0.329331,2152120,19338948
2017-08-13,0.333595,0.337812,0.292555,0.311584,1353700,18296810
2017-08-14,0.313557,0.348372,0.287354,0.303719,1297470,17834962
2017-08-15,0.304108,0.309943,0.279286,0.296741,1124210,17425200
2017-08-16,0.297129,0.323269,0.288701,0.299886,1571850,17609881
2017-08-17,0.299564,0.421758,0.294745,0.415178,3147620,24380048
2017-08-18,0.417218,0.424612,0.315261,0.337756,1771050,19833680
2017-08-19,0.338239,0.374035,0.329206,0.374035,1385120,22338087
2017-08-20,0.373356,0.398104,0.357023,0.387648,892665,23151082
2017-08-21,0.384992,0.440013,0.380574,0.410059,2224380,24489509
2017-08-22,0.410462,0.410729,0.358563,0.37469,868321,22377205
2017-08-23,0.374485,0.516623,0.372577,0.465309,3947930,27789145
2017-08-24,0.466658,0.57279,0.449333,0.513482,4180660,30666129
2017-08-25,0.517575,0.547682,0.461513,0.48412,2097160,28912574
2017-08-26,0.485196,0.494342,0.457401,0.489331,886407,29223785
2017-08-27,0.488945,0.495319,0.455113,0.465904,974386,27824680
2017-08-28,0.466027,0.470661,0.431326,0.438478,1114800,26186747
2017-08-29,0.438171,0.488799,0.42755,0.45638,1580990,27255888
2017-08-30,0.457812,0.49622,0.45553,0.462428,1329010,27617086
2017-08-31,0.465803,0.47724,0.460813,0.469547,715213,28042247
2017-09-01,0.470109,0.475887,0.428671,0.428671,1361880,25601054
2017-09-02,0.428461,0.434628,0.354117,0.369039,1300540,22039716
2017-09-03,0.372556,0.383078,0.353821,0.365742,642779,21842813
2017-09-04,0.365486,0.365486,0.264645,0.303961,1956990,18153133
2017-09-05,0.303475,0.356892,0.26119,0.333526,1338710,19887550
2017-09-06,0.336494,0.359212,0.320349,0.34646,1007280,20657880
2017-09-07,0.34879,0.349518,0.321764,0.339932,653380,20268644
2017-09-08,0.339788,0.34468,0.278055,0.291248,767553,17365832
2017-09-09,0.291464,0.303755,0.284973,0.297686,382621,17749702
2017-09-10,0.298067,0.302743,0.283601,0.301165,516468,17957139
2017-09-11,0.302057,0.307637,0.28831,0.290258,306346,17306803
2017-09-12,0.289695,0.34836,0.284483,0.2951,1173690,17499180
2017-09-13,0.295404,0.29548,0.268641,0.281013,988520,16663833
2017-09-14,0.280972,0.290185,0.226416,0.226599,708505,13437129
2017-09-15,0.227079,0.286295,0.21525,0.27122,618181,16083116
2017-09-16,0.27134,0.284951,0.268481,0.281989,415992,16706057
2017-09-17,0.281356,0.29264,0.266454,0.291198,366853,17210054
2017-09-18,0.29091,0.347607,0.286095,0.345411,1077920,19914106
2017-09-19,0.346769,0.408803,0.328678,0.390341,3278040,22163428
2017-09-20,0.391759,0.396092,0.355608,0.368674,1427570,20846811
2017-09-21,0.368851,0.375217,0.311742,0.323876,1345140,18313691
2017-09-22,0.321491,0.346063,0.295177,0.333697,878945,18869023
2017-09-23,0.333982,0.358501,0.323098,0.348552,923372,19634028
2017-09-24,0.347752,0.351122,0.329155,0.332854,479624,18749755
2017-09-25,0.332685,0.347682,0.322293,0.344015,540124,19375458
2017-09-26,0.343978,0.34685,0.333476,0.338526,334974,19066309
2017-09-27,0.338468,0.359239,0.328997,0.353646,668733,19885831
2017-09-28,0.353619,0.374169,0.347224,0.371262,733836,20876394
2017-09-29,0.3712,0.375038,0.327684,0.334021,610101,18782300
2017-09-30,0.334041,0.363593,0.334041,0.344224,748169,19356023
2017-10-01,0.344799,0.344974,0.325542,0.329282,437271,18515821
2017-10-02,0.329222,0.331544,0.308478,0.308478,390060,17345994
2017-10-03,0.308194,0.310255,0.292728,0.298354,474015,16776712
2017-10-04,0.298504,0.307004,0.286789,0.295547,463647,16618872
2017-10-05,0.295538,0.307088,0.28279,0.302573,429098,17013950
2017-10-06,0.301122,0.306823,0.296621,0.30391,367802,17089131
2017-10-07,0.304337,0.305226,0.29283,0.294669,249809,16569502
2017-10-08,0.294558,0.302476,0.2917,0.293752,344841,16517938
2017-10-09,0.293535,0.293535,0.269287,0.271417,370235,15262021
2017-10-10,0.271226,0.285627,0.262093,0.281853,517031,15848846
2017-10-11,0.282202,0.33598,0.271512,0.317027,898225,17743357
2017-10-12,0.317186,0.32167,0.27965,0.286553,846928,16037789
2017-10-13,0.286884,0.309511,0.276182,0.298338,665651,16697371
2017-10-14,0.298228,0.30711,0.293912,0.304035,277001,17016221
2017-10-15,0.304783,0.306217,0.282626,0.291711,325668,16326472
2017-10-16,0.29195,0.324722,0.291937,0.317915,727582,17793056
2017-10-17,0.317127,0.317377,0.290505,0.293604,379747,16432419
2017-10-18,0.293527,0.301575,0.284659,0.300287,384951,16806453
2017-10-19,0.301282,0.309802,0.285344,0.290124,607685,16237651
2017-10-20,0.29013,0.290697,0.26883,0.271578,593877,15199669
2017-10-21,0.271588,0.271588,0.19148,0.217795,1736160,12189543
2017-10-22,0.219892,0.234598,0.218591,0.230522,481438,12901848
2017-10-23,0.231139,0.231496,0.194638,0.212278,635594,11880768
2017-10-24,0.211994,0.247673,0.209171,0.233641,646541,13076412
2017-10-25,0.233699,0.234719,0.213056,0.217429,321902,12169059
2017-10-26,0.217265,0.218061,0.209589,0.211393,375728,11831237
2017-10-27,0.211399,0.2138,0.203832,0.204881,305195,11466773
2017-10-28,0.20511,0.20641,0.198101,0.198901,330541,11132085
2017-10-29,0.198771,0.217678,0.198284,0.211276,507268,11824688
2017-10-30,0.210765,0.221448,0.208982,0.215543,495057,12063504
2017-10-31,0.215274,0.234381,0.212966,0.234105,434323,13102381
2017-11-01,0.234375,0.23511,0.214349,0.21541,417039,12056060
2017-11-02,0.215894,0.218029,0.199092,0.205089,345744,11478414
2017-11-03,0.205055,0.224302,0.203931,0.22289,411015,12474700
2017-11-04,0.222893,0.230035,0.215817,0.218038,385049,12203144
2017-11-05,0.218053,0.223267,0.216848,0.219219,313768,12269242
2017-11-06,0.219606,0.219706,0.211105,0.212779,364644,12873674
2017-11-07,0.212506,0.216035,0.206461,0.209957,299657,12702936
2017-11-08,0.207254,0.245837,0.206946,0.245346,644493,14844061
2017-11-09,0.247184,0.281442,0.244651,0.264662,1666620,16012729
2017-11-10,0.263563,0.282063,0.239903,0.245124,1023320,14830630
2017-11-11,0.244315,0.25671,0.239703,0.253148,617894,15316102
2017-11-12,0.253297,0.254948,0.235926,0.239896,602041,14514322
2017-11-13,0.238424,0.259791,0.238424,0.25388,733206,15360390
2017-11-14,0.254208,0.268759,0.249688,0.251818,775969,15235634
2017-11-15,0.25192,0.259846,0.249651,0.252915,712587,15302005
2017-11-16,0.25333,0.259843,0.24634,0.258674,1171920,15650439
2017-11-17,0.25884,0.350601,0.25419,0.332361,3846140,20108691
2017-11-18,0.331796,0.353353,0.316624,0.35061,1118870,21212803
2017-11-19,0.352819,0.417789,0.347648,0.404074,2376890,24447511
2017-11-20,0.403731,0.718719,0.393001,0.556601,10850100,33675785
2017-11-21,0.57604,0.605417,0.444559,0.531077,6916280,32131518
2017-11-22,0.526474,0.706359,0.484102,0.645625,6237280,39061965
2017-11-23,0.645571,0.842716,0.630753,0.723804,8327510,43791995
2017-11-24,0.727971,0.833303,0.693445,0.812051,5808040,49131164
2017-11-25,0.805049,1.38,0.760544,1.2,26964100,72883199
2017-11-26,1.2,1.47,1.13,1.23,21088800,74599656
