Date,Open,High,Low,Close,Volume,Market Cap
2018-10-15,0.017659,0.018009,0.017636,0.018009,18885.0,
2018-10-16,0.017992,0.020527,0.017298,0.019577,8539.0,
2018-10-17,0.021971,0.021971,0.017849,0.018963,6513.0,
2018-10-18,0.019067,0.020087,0.017321,0.01917,16447.0,
2018-10-19,0.019167,0.019657,0.017761,0.018118,11704.0,
2018-10-20,0.018119,0.01942,0.017616,0.019312,10235.0,
2018-10-21,0.019316,0.019967,0.017698,0.018319,7809.0,
2018-10-22,0.018309,0.018724,0.017172,0.018462,11229.0,
2018-10-23,0.01846,0.020828,0.017445,0.020723,32723.0,
2018-10-24,0.02063,0.020752,0.016956,0.01782,12693.0,
2018-10-25,0.017828,0.018035,0.016673,0.017051,10371.0,
2018-10-26,0.017024,0.019961,0.015159,0.019467,14993.0,
2018-10-27,0.019467,0.019772,0.017042,0.017448,17424.0,
2018-10-28,0.017542,0.017563,0.015744,0.016572,4547.0,
2018-10-29,0.016531,0.019308,0.01505,0.017766,20199.0,
2018-10-30,0.017723,0.017867,0.015081,0.015984,6250.0,
2018-10-31,0.016034,0.016859,0.015418,0.016278,4254.0,
2018-11-01,0.016278,0.01786,0.015467,0.017667,10405.0,
2018-11-02,0.017667,0.017667,0.014406,0.015448,3985.0,
2018-11-03,0.015448,0.016251,0.014885,0.015157,1428.0,
2018-11-04,0.015157,0.0157,0.014457,0.014746,4179.0,
2018-11-05,0.014747,0.016084,0.013954,0.015842,5062.0,
2018-11-06,0.015906,0.015983,0.013908,0.014605,11677.0,
2018-11-07,0.014604,0.015861,0.014379,0.01474,11812.0,
2018-11-08,0.01473,0.016394,0.013432,0.015779,23448.0,
2018-11-09,0.015792,0.016449,0.013234,0.014169,29410.0,
2018-11-10,0.014167,0.014483,0.013119,0.013206,9025.0,
2018-11-11,0.013196,0.014255,0.012693,0.012956,5167.0,
2018-11-12,0.012985,0.014082,0.012877,0.013378,13955.0,
2018-11-13,0.01332,0.094075,0.013213,0.013768,28589.0,
2018-11-14,0.013728,0.013751,0.011128,0.011542,5698.0,
2018-11-15,0.011607,0.012332,0.010675,0.011531,9614.0,
2018-11-16,0.011528,0.011766,0.010284,0.011193,5497.0,
2018-11-17,0.011231,0.011231,0.010564,0.010587,835.0,
2018-11-18,0.010621,0.01229,0.010097,0.011518,9296.0,
2018-11-19,0.011445,0.012181,0.009327,0.009447,8861.0,
2018-11-20,0.009392,0.010174,0.007845,0.009147,5178.0,
2018-11-21,0.009154,0.009493,0.00853,0.008753,9985.0,
2018-11-22,0.008718,0.009725,0.007356,0.00755,16521.0,
2018-11-23,0.007512,0.008741,0.00738,0.008012,5138.0,
2018-11-24,0.008006,0.009354,0.007144,0.007359,22619.0,
2018-11-25,0.007362,0.008036,0.006505,0.007791,5571.0,
2018-11-26,0.007827,0.009819,0.00687,0.007688,15269.0,
2018-11-27,0.007684,0.009012,0.006813,0.007786,26358.0,
2018-11-28,0.0078,0.009693,0.007773,0.009332,22948.0,
2018-11-29,0.009371,0.013428,0.004311,0.005692,28085.0,
2018-11-30,0.005773,0.008333,0.002575,0.003651,40444.0,
2018-12-01,0.003662,0.005123,0.002944,0.003638,27797.0,
2018-12-02,0.003672,0.003903,0.002456,0.002756,19390.0,
2018-12-03,0.002773,0.003701,0.0021,0.003514,14349.0,
2018-12-04,0.00351,0.007292,0.003442,0.003902,21197.0,
2018-12-05,0.003907,0.004502,0.003047,0.003085,11698.0,
2018-12-06,0.003083,0.003483,0.002953,0.003263,5223.0,
2018-12-07,0.003257,0.003743,0.002973,0.003217,7371.0,
2018-12-08,0.003215,0.003884,0.003215,0.003884,7971.0,
2018-12-09,0.003873,0.004821,0.003683,0.004471,5963.0,
2018-12-10,0.004464,0.00514,0.00396,0.004533,4533.0,
2018-12-11,0.004528,0.004921,0.004257,0.004678,7067.0,
2018-12-12,0.004668,0.007789,0.004336,0.006257,4250.0,
2018-12-13,0.00626,0.007955,0.006049,0.006183,5576.0,
2018-12-14,0.006179,0.008396,0.006177,0.008138,6281.0,
2018-12-15,0.008138,0.012203,0.007626,0.008203,8878.0,
2018-12-16,0.008202,0.008806,0.005923,0.007958,9448.0,
2018-12-17,0.007969,0.009977,0.007141,0.00836,5099.0,
2018-12-18,0.008361,0.008416,0.006417,0.007004,11793.0,
2018-12-19,0.007025,0.00754,0.006746,0.006939,5685.0,
2018-12-20,0.006922,0.007823,0.004644,0.005805,7901.0,
2018-12-21,0.005124,0.00663,0.004491,0.006043,7813.0,
2018-12-22,0.006053,0.006408,0.005244,0.005823,1648.0,
2018-12-23,0.005835,0.006856,0.005769,0.006736,5237.0,
2018-12-24,0.006739,0.007912,0.006374,0.006806,1358.0,
2018-12-25,0.006821,0.006821,0.005828,0.006522,7450.0,
2018-12-26,0.006522,0.00682,0.005942,0.006011,3308.0,
2018-12-27,0.006007,0.011846,0.005859,0.006152,16949.0,
2018-12-28,0.006158,0.007886,0.006158,0.00764,8140.0,
2018-12-29,0.007652,0.010104,0.007648,0.009713,9790.0,
2018-12-30,0.009723,0.010797,0.008295,0.010782,9338.0,
2018-12-31,0.010795,0.011289,0.008913,0.01065,5204.0,
2019-01-01,0.010671,0.010708,0.007532,0.008712,5826.0,
2019-01-02,0.008734,0.010828,0.007913,0.010461,7300.0,
2019-01-03,0.010469,0.011507,0.008949,0.009915,2723.0,
2019-01-04,0.009923,0.01152,0.009787,0.010896,2882.0,
2019-01-05,0.010867,0.010988,0.008176,0.010552,5698.0,
2019-01-06,0.010552,0.010747,0.008997,0.00991,8837.0,
2019-01-07,0.009912,0.010077,0.007798,0.007846,8609.0,
2019-01-08,0.007857,0.008878,0.007636,0.008293,6374.0,
2019-01-09,0.008308,0.009488,0.00791,0.008162,10751.0,
2019-01-10,0.008874,0.00892,0.007268,0.00848,8858.0,
2019-01-11,0.007316,0.008517,0.007014,0.007145,13619.0,
2019-01-12,0.008111,0.008182,0.006164,0.006478,2996.0,
2019-01-13,0.006458,0.006687,0.005819,0.006497,1926.0,
2019-01-14,0.006501,0.008431,0.005943,0.008413,8170.0,
2019-01-15,0.008407,0.008447,0.005869,0.006497,4090.0,
2019-01-16,0.006486,0.006623,0.005489,0.005506,1272.0,
2019-01-17,0.005507,0.006426,0.005467,0.005526,14335.0,
2019-01-18,0.005525,0.005973,0.005385,0.005959,1727.0,
2019-01-19,0.00596,0.006187,0.00479,0.005765,9234.0,
2019-01-20,0.00576,0.00622,0.003824,0.003842,8192.0,
2019-01-21,0.003846,0.004273,0.003793,0.004041,713.0,
2019-01-22,0.004043,0.004342,0.003879,0.004211,265.0,
2019-01-23,0.004211,0.004416,0.003948,0.003972,295.0,
2019-01-24,0.003972,0.004207,0.003954,0.004177,297.0,
2019-01-25,0.004187,0.006003,0.00418,0.004636,797.0,
2019-01-26,0.004636,0.006095,0.004625,0.006045,393.0,
2019-01-27,0.006048,0.006065,0.005508,0.005508,393.0,
2019-01-28,0.005513,0.005947,0.005452,0.005821,1851.0,
2019-01-29,0.005825,0.00597,0.005501,0.005501,3076.0,
2019-01-30,0.005505,0.00643,0.005139,0.00634,323.0,
2019-01-31,0.006339,0.007087,0.006062,0.006445,2175.0,
2019-02-01,0.006454,0.007458,0.004854,0.004935,1162.0,
2019-02-02,0.004929,0.005492,0.004668,0.004965,275.0,
2019-02-03,0.004966,0.005956,0.004895,0.005874,477.0,
2019-02-04,0.005895,0.005911,0.005423,0.005442,23.0,
