Date,Open,High,Low,Close,Volume,Market Cap
2018-08-09,3e-05,3e-05,2.6e-05,2.9e-05,18883,
2018-08-10,2.9e-05,4.8e-05,2.3e-05,3e-05,42785,
2018-08-11,3e-05,3e-05,1.3e-05,2.3e-05,21273,
2018-08-12,2.3e-05,2.3e-05,1.7e-05,2e-05,8544,
2018-08-13,2e-05,2.3e-05,1.6e-05,1.8e-05,6360,
2018-08-14,1.8e-05,2.2e-05,1.3e-05,1.9e-05,11071,
2018-08-15,2e-05,2e-05,1.3e-05,1.5e-05,6995,
2018-08-16,1.5e-05,1.9e-05,1.5e-05,1.9e-05,4247,
2018-08-17,1.9e-05,2.2e-05,1.3e-05,1.9e-05,4179,
2018-08-18,1.9e-05,2.2e-05,1.4e-05,1.8e-05,4197,
2018-08-19,1.8e-05,1.9e-05,1.5e-05,1.8e-05,5422,
2018-08-20,1.5e-05,1.8e-05,1.1e-05,1.4e-05,4106,
2018-08-21,1.4e-05,1.4e-05,8e-06,1.4e-05,6233,
2018-08-22,1.4e-05,2.1e-05,1.2e-05,1.4e-05,7647,
2018-08-23,1.4e-05,2.1e-05,1.4e-05,2.1e-05,12517,
2018-08-24,2.1e-05,2.3e-05,1.4e-05,1.9e-05,7536,
2018-08-25,1.9e-05,1.9e-05,1.4e-05,1.7e-05,3232,
2018-08-26,1.7e-05,2.1e-05,1.4e-05,2.1e-05,2439,
2018-08-27,2.1e-05,2.2e-05,1.6e-05,1.9e-05,9147,
2018-08-28,1.9e-05,2.3e-05,1.2e-05,1.5e-05,8288,
2018-08-29,1.5e-05,2.4e-05,1.5e-05,1.8e-05,20975,
2018-08-30,1.8e-05,2.3e-05,1.4e-05,2e-05,9970,
2018-08-31,2e-05,2.6e-05,1.5e-05,2e-05,12769,
2018-09-01,2e-05,2.7e-05,1.8e-05,2.5e-05,11992,
2018-09-02,2.5e-05,2.5e-05,1.5e-05,1.8e-05,14680,
2018-09-03,1.8e-05,2.1e-05,1.8e-05,1.8e-05,4546,
2018-09-04,1.8e-05,2.1e-05,1.4e-05,1.7e-05,3571,
2018-09-05,1.7e-05,1.7e-05,1.2e-05,1.4e-05,3043,
2018-09-06,1.4e-05,1.6e-05,1.1e-05,1.6e-05,1758,
2018-09-07,1.6e-05,1.7e-05,1.3e-05,1.3e-05,3100,
2018-09-08,1.3e-05,1.5e-05,1.1e-05,1.1e-05,2064,
2018-09-09,1.1e-05,1.5e-05,1e-05,1e-05,2703,
2018-09-10,1e-05,1.2e-05,1e-05,1.2e-05,3566,
2018-09-11,1.2e-05,2.2e-05,1e-05,1.7e-05,41158,
2018-09-12,1.9e-05,2.1e-05,1.4e-05,2e-05,26391,
2018-09-13,2e-05,3.4e-05,1.5e-05,3.2e-05,46021,
2018-09-14,2.5e-05,3.1e-05,2.1e-05,2.3e-05,42449,
2018-09-15,2.3e-05,3e-05,2.1e-05,2.5e-05,12459,
2018-09-16,2.5e-05,2.9e-05,1.7e-05,2.2e-05,24183,
2018-09-17,2.2e-05,9.4e-05,1.8e-05,6.3e-05,388745,
2018-09-18,6.1e-05,6.8e-05,4.7e-05,5e-05,140499,
