Date,Open,High,Low,Close,Volume,Market Cap
2019-04-17,1.4e-05,1.7e-05,1.4e-05,1.4e-05,9786,
2019-04-18,1.4e-05,1.8e-05,1.1e-05,1.3e-05,7460,
2019-04-19,1.3e-05,1.8e-05,1.2e-05,1.7e-05,3225,
2019-04-20,1.7e-05,1.7e-05,1.2e-05,1.3e-05,1933,
2019-04-21,1.3e-05,2.1e-05,1.3e-05,2e-05,8684,
2019-04-22,2e-05,2.7e-05,1.7e-05,2.6e-05,8933,700279.0
2019-04-23,2.6e-05,2.8e-05,2.3e-05,2.8e-05,4300,753871.0
2019-04-24,2.8e-05,2.8e-05,2.1e-05,2.8e-05,11488,750731.0
2019-04-25,2.8e-05,2.9e-05,2.5e-05,2.7e-05,3594,724103.0
2019-04-26,2.7e-05,2.9e-05,2.6e-05,2.9e-05,1521,778652.0
2019-04-27,2.9e-05,2.9e-05,2.4e-05,2.7e-05,1939,720981.0
2019-04-28,2.7e-05,2.8e-05,2.1e-05,2.3e-05,3358,614307.0
2019-04-29,2.3e-05,2.6e-05,1.5e-05,2.2e-05,7756,585146.0
2019-04-30,2.2e-05,2.4e-05,1.9e-05,2e-05,694,545966.0
2019-05-01,2e-05,2.1e-05,1.7e-05,1.7e-05,1119,471040.0
2019-05-02,1.7e-05,2.5e-05,4e-06,2.3e-05,7341,614273.0
2019-05-03,2.3e-05,2.9e-05,2.1e-05,2.9e-05,6238,784289.0
2019-05-04,2.9e-05,4.3e-05,1e-05,1e-05,1236,260292.0
2019-05-05,1e-05,1.2e-05,9e-06,9e-06,514,254160.0
2019-05-06,9e-06,1.1e-05,7e-06,7e-06,1999,186950.0
2019-05-07,7e-06,1e-05,7e-06,8e-06,1150,221855.0
2019-05-08,8e-06,1e-05,7e-06,8e-06,582,210421.0
2019-05-09,8e-06,1e-05,8e-06,9e-06,456,244644.0
2019-05-10,9e-06,1e-05,8e-06,9e-06,1126,235770.0
2019-05-11,9e-06,1e-05,8e-06,9e-06,721,241410.0
2019-05-12,9e-06,1e-05,8e-06,8e-06,2056,207690.0
2019-05-13,8e-06,1.1e-05,8e-06,8e-06,297,225934.0
2019-05-14,8e-06,1.1e-05,8e-06,8e-06,247,225097.0
2019-05-15,8e-06,1.1e-05,4e-06,6e-06,23800,165708.0
2019-05-16,6e-06,8e-06,6e-06,6e-06,1320,166315.0
2019-05-17,6e-06,8e-06,5e-06,6e-06,3233,148321.0
