Date,Open,High,Low,Close,Volume,Market Cap
2018-10-12,0.021944,0.023874,0.021203,0.023136,4749.0,
2018-10-13,0.023045,0.026475,0.022355,0.024037,4627.0,
2018-10-14,0.023886,0.026225,0.023347,0.024663,3270.0,
2018-10-15,0.024668,0.028975,0.024189,0.028293,561.0,
2018-10-16,0.028208,0.032349,0.02764,0.032241,280.0,568193.0
2018-10-17,0.032157,0.032527,0.029783,0.031839,1572.0,561098.0
2018-10-18,0.031809,0.032034,0.02585,0.029787,1547.0,524949.0
2018-10-19,0.029862,0.030244,0.02693,0.027069,28.0,477051.0
2018-10-20,0.026979,0.029725,0.026929,0.027409,532.0,483041.0
2018-10-21,0.027418,0.053494,0.023455,0.02676,2039.0,471593.0
2018-10-22,0.026939,0.038665,0.023931,0.026138,3727.0,460642.0
2018-10-23,0.026139,0.028052,0.026008,0.027523,609.0,485048.0
2018-10-24,0.027354,0.044313,0.026288,0.031317,2262.0,551912.0
2018-10-25,0.031314,0.033661,0.021616,0.023976,2656.0,422539.0
2018-10-26,0.023873,0.031905,0.022925,0.025038,3126.0,441242.0
2018-10-27,0.02504,0.028007,0.023917,0.026615,2044.0,469043.0
2018-10-28,0.027221,0.028551,0.02233,0.022745,3021.0,400832.0
2018-10-29,0.022821,0.048451,0.021388,0.041946,2864.0,739231.0
2018-10-30,0.04195,0.046519,0.013233,0.027539,3304.0,485327.0
2018-10-31,0.027667,0.027999,0.015728,0.016705,1973.0,294399.0
2018-11-01,0.016705,0.025351,0.014391,0.023834,6152.0,420035.0
2018-11-02,0.023149,0.025141,0.021085,0.022641,3185.0,399008.0
2018-11-03,0.022643,0.024044,0.020932,0.022863,2725.0,402917.0
2018-11-04,0.022863,0.024927,0.021056,0.022995,3923.0,405251.0
2018-11-05,0.023338,0.023953,0.021529,0.022112,2748.0,389677.0
2018-11-06,0.021691,0.02297,0.015491,0.02265,4868.0,369601.0
2018-11-07,0.021526,0.023337,0.020478,0.021757,4332.0,383437.0
2018-11-08,0.021682,0.025306,0.021375,0.023231,3086.0,409404.0
2018-11-09,0.0232,0.0253,0.020827,0.021285,3033.0,375110.0
2018-11-10,0.021286,0.024537,0.020809,0.02343,2694.0,412910.0
2018-11-11,0.023446,0.024494,0.018509,0.019489,3601.0,343451.0
2018-11-12,0.019593,0.023338,0.017663,0.017964,2738.0,316590.0
2018-11-13,0.017969,0.022988,0.017259,0.018627,3297.0,328269.0
2018-11-14,0.018699,0.020507,0.015961,0.016719,2207.0,294644.0
2018-11-15,0.016766,0.019568,0.014547,0.018152,3675.0,319891.0
2018-11-16,0.01693,0.018852,0.015644,0.017041,2582.0,300315.0
2018-11-17,0.017066,0.018326,0.016349,0.017331,2123.0,305427.0
2018-11-18,0.017535,0.018885,0.015599,0.017796,2161.0,313621.0
2018-11-19,0.017762,0.018974,0.013651,0.015273,4591.0,269155.0
2018-11-20,0.015227,0.01567,0.010267,0.01277,474.0,225048.0
2018-11-21,0.012909,0.014047,0.010842,0.013315,1665.0,234662.0
2018-11-22,0.012105,0.014133,0.011884,0.012748,1608.0,224669.0
2018-11-23,0.012781,0.01368,0.010447,0.011864,1504.0,209083.0
2018-11-24,0.012161,0.013523,0.010096,0.010398,1453.0,183244.0
2018-11-25,0.010375,0.012923,0.009856,0.011328,1801.0,199634.0
2018-11-26,0.011294,0.012984,0.010192,0.011834,1304.0,208555.0
2018-11-27,0.011791,0.011933,0.010228,0.011792,1313.0,207806.0
2018-11-28,0.010786,0.014092,0.010651,0.013512,1745.0,238123.0
2018-11-29,0.013528,0.014371,0.01245,0.013621,1083.0,240045.0
2018-11-30,0.013643,0.014008,0.012734,0.01324,,233330.0
2018-12-01,0.01324,0.016462,0.01324,0.016435,91.0,289646.0
2018-12-02,0.016379,0.018725,0.014018,0.017137,668.0,302001.0
2018-12-03,0.017146,0.018205,0.015228,0.017241,458.0,303833.0
2018-12-04,0.017201,0.023418,0.017176,0.020189,1770.0,355801.0
2018-12-05,0.020309,0.020924,0.015484,0.01602,4072.0,282330.0
2018-12-06,0.015983,0.016758,0.013881,0.014102,540.0,248527.0
2018-12-07,0.014142,0.014276,0.012404,0.013358,8.0,235405.0
2018-12-08,0.013369,0.016139,0.013245,0.015686,36.0,276445.0
2018-12-09,0.015658,0.016943,0.014632,0.014848,13.0,261678.0
2018-12-10,0.014834,0.016269,0.013831,0.015687,11.0,276449.0
2018-12-11,0.015661,0.016049,0.012418,0.012421,150.0,218903.0
2018-12-12,0.012418,0.018809,0.012336,0.013626,1209.0,240133.0
2018-12-13,0.013627,0.015866,0.011231,0.013836,481.0,243834.0
2018-12-14,0.013997,0.016193,0.013593,0.015068,93.0,265548.0
2018-12-15,0.015154,0.016466,0.01271,0.015965,37.0,281348.0
2018-12-16,0.015791,0.016572,0.012017,0.015566,1.0,274324.0
2018-12-17,0.015585,0.022724,0.012917,0.020142,1789.0,354964.0
2018-12-18,0.021852,0.028146,0.019973,0.025473,2207.0,448920.0
2018-12-19,0.025528,0.027511,0.016568,0.018426,591.0,324723.0
2018-12-20,0.017982,0.029321,0.009281,0.024377,5075.0,429593.0
2018-12-21,0.02438,0.02438,0.00823,0.018657,3217.0,328799.0
2018-12-22,0.012757,0.021715,0.00843,0.011085,4216.0,195347.0
2018-12-23,0.011039,0.021068,0.009691,0.010471,3005.0,184533.0
2018-12-24,0.0105,0.028846,0.0105,0.02659,2101.0,468594.0
2018-12-25,0.027572,0.027572,0.007164,0.019358,2847.0,341149.0
2018-12-26,0.01939,0.023712,0.014247,0.018098,2134.0,318948.0
2018-12-27,0.018122,0.018491,0.013651,0.015664,3339.0,276051.0
2018-12-28,0.015249,0.019614,0.012183,0.014291,741.0,251857.0
2018-12-29,0.014328,0.016976,0.009743,0.01551,2626.0,273338.0
2018-12-30,0.015525,0.016301,0.010977,0.012391,374.0,218362.0
2018-12-31,0.01241,0.020788,0.011955,0.020261,52.0,357063.0
2019-01-01,0.020325,0.020325,0.012697,0.01638,0.0,288668.0
2019-01-02,0.016433,0.016509,0.007922,0.008428,15.0,148520.0
2019-01-03,0.008425,0.018692,0.008352,0.018623,608.0,328205.0
2019-01-04,0.018637,0.018657,0.013789,0.01689,359.0,297650.0
2019-01-05,0.016865,0.017158,0.014554,0.015374,547.0,270937.0
2019-01-06,0.015352,0.017125,0.013814,0.016679,151.0,293943.0
2019-01-07,0.016678,0.016702,0.010008,0.014767,289.0,260234.0
2019-01-08,0.014746,0.01532,0.009761,0.014419,354.0,254114.0
2019-01-09,0.014423,0.014532,0.013589,0.013769,617.0,242645.0
2019-01-10,0.013794,0.013867,0.007891,0.011608,971.0,204575.0
2019-01-11,0.011603,0.011694,0.005252,0.006499,19.0,114535.0
2019-01-12,0.006499,0.011948,0.005023,0.0117,4.0,206188.0
2019-01-13,0.011671,0.011681,0.00842,0.010677,55.0,188165.0
2019-01-14,0.010713,0.010948,0.008167,0.010711,104.0,188770.0
2019-01-15,0.010707,0.010707,0.008047,0.008087,166.0,142513.0
2019-01-16,0.008096,0.009953,0.006756,0.009865,193.0,173861.0
2019-01-17,0.009844,0.010092,0.005698,0.007852,883.0,138385.0
2019-01-18,0.007846,0.008697,0.005608,0.008675,456.0,152873.0
2019-01-19,0.008715,0.009071,0.008645,0.008876,,156428.0
2019-01-20,0.008876,0.008876,0.00609,0.008311,81.0,146458.0
2019-01-21,0.008308,0.008451,0.008242,0.008335,,146889.0
2019-01-22,0.008335,0.009312,0.007148,0.007243,13.0,127645.0
2019-01-23,0.00725,0.01054,0.007142,0.010049,772.0,177089.0
2019-01-24,0.010056,0.010185,0.007487,0.009061,0.0,159692.0
2019-01-25,0.00909,0.011301,0.007655,0.011228,306.0,197882.0
2019-01-26,0.011219,0.011269,0.007406,0.010656,44.0,187786.0
2019-01-27,0.010662,0.011292,0.00746,0.00746,307.0,131467.0
2019-01-28,0.007464,0.008929,0.006973,0.008813,39.0,155315.0
2019-01-29,0.008859,0.009104,0.007707,0.008144,1.0,143525.0
2019-01-30,0.008163,0.008405,0.006792,0.006827,45.0,120306.0
2019-01-31,0.006832,0.008864,0.006613,0.008329,0.0,146790.0
