Date,Open,High,Low,Close,Volume,Market Cap
2016-05-09,0.131323,0.131325,0.131223,0.131238,933.0,48075
2016-05-10,0.131248,0.131524,0.006872,0.059969,1105.0,21978
2016-05-11,0.059965,0.073302,0.054099,0.073116,111.0,26797
2016-05-12,0.07307,0.073089,0.055083,0.055586,443.0,20375
2016-05-13,0.055596,0.079764,0.04212,0.079742,556.0,29242
2016-05-14,0.079769,0.122128,0.072766,0.12212,472.0,44803
2016-05-15,0.122143,0.123089,0.063777,0.105195,503.0,38606
2016-05-16,0.105199,0.105243,0.032505,0.096959,171.0,35602
2016-05-17,0.096926,0.097125,0.031299,0.074874,88.0,27502
2016-05-18,0.074859,0.074859,0.022734,0.030014,110.0,11029
2016-05-19,0.030008,0.058875,0.029997,0.043889,161.0,16133
2016-05-20,0.043797,0.057493,0.029661,0.029748,175.0,10940
2016-05-21,0.029767,0.043863,0.022385,0.022385,44.0,8236
2016-05-22,0.022387,0.056781,0.022333,0.056664,202.0,20855
2016-05-23,0.056667,0.070597,0.048793,0.070567,76.0,25983
2016-05-24,0.070589,0.070694,0.044558,0.045049,137.0,16594
2016-05-25,0.045057,0.068558,0.045004,0.050414,87.0,18577
2016-05-26,0.050422,0.061352,0.027835,0.049871,34.0,18384
2016-05-27,0.049872,0.062116,0.029041,0.029123,144.0,10739
2016-05-28,0.029096,0.033145,0.008417,0.010071,40.0,3715
2016-05-29,0.010022,0.044807,0.009966,0.042457,9.0,15670
2016-05-30,0.042637,0.043675,0.042193,0.04359,2.0,16092
2016-05-31,0.024449,0.038578,0.023753,0.029763,35.0,10994
2016-06-01,0.029747,0.030168,0.022393,0.022561,1.0,8337
2016-06-02,0.022544,0.081293,0.022519,0.081234,331.0,30027
2016-06-03,0.08119,0.097896,0.044085,0.097896,78.0,36201
2016-06-04,0.097984,0.098027,0.050872,0.051631,31.0,19100
2016-06-05,0.051684,0.08649,0.038104,0.042019,190.0,15551
2016-06-06,0.041992,0.081917,0.041992,0.042188,143.0,15618
2016-06-07,0.042181,0.164845,0.042181,0.105229,969.0,38973
2016-06-08,0.105333,0.105482,0.052735,0.058182,74.0,21556
2016-06-09,0.058238,0.068502,0.057984,0.063784,1.0,23642
2016-06-10,0.063918,0.109868,0.063802,0.083156,67.0,30834
2016-06-11,0.083329,0.084384,0.083329,0.083906,4.0,31113
2016-06-12,0.089456,0.116117,0.063079,0.074511,198.0,27633
2016-06-13,0.074386,0.133529,0.074386,0.125168,47.0,46434
2016-06-14,0.12519,0.177297,0.110045,0.117265,193.0,43524
2016-06-15,0.117286,0.166491,0.075019,0.084927,56.0,31535
