Date,Open,High,Low,Close,Volume,Market Cap
2017-11-23,0.031322,0.033237,0.030634,0.031831,44095,
2017-11-24,0.031672,0.047745,0.028318,0.047007,27275,
2017-11-25,0.046999,0.049068,0.035724,0.043918,25982,
2017-11-26,0.04392,0.046453,0.036556,0.038596,26446,
2017-11-27,0.038586,0.044894,0.037588,0.039006,21244,
2017-11-28,0.038953,0.038953,0.028787,0.032077,12529,
2017-11-29,0.032103,0.035478,0.025359,0.028737,6765,
2017-11-30,0.029105,0.031269,0.026927,0.030941,22145,
2017-12-01,0.030864,0.040507,0.030062,0.037186,18881,
2017-12-02,0.037185,0.042067,0.027431,0.027431,21573,
2017-12-03,0.02744,0.040236,0.025028,0.032354,11969,
2017-12-04,0.032413,0.035012,0.030116,0.035012,9780,
2017-12-05,0.03503,0.043493,0.034311,0.042802,19697,
2017-12-06,0.042727,0.047839,0.042009,0.044277,18710,
2017-12-07,0.044124,0.048849,0.041266,0.042848,33254,
2017-12-08,0.04648,0.068237,0.045335,0.056569,49707,16973124.0
2017-12-09,0.056568,0.076422,0.052167,0.074786,54088,22439075.0
2017-12-10,0.075026,0.078953,0.066196,0.071256,37283,21379801.0
2017-12-11,0.071336,0.082749,0.062275,0.082749,37060,24828380.0
2017-12-12,0.082219,0.096357,0.070331,0.095325,26956,28601516.0
2017-12-13,0.09539,0.144576,0.085175,0.137385,520321,41221461.0
2017-12-14,0.137314,0.153158,0.110676,0.111214,117663,33369025.0
2017-12-15,0.111061,0.12555,0.09887,0.122656,27606,36802122.0
2017-12-16,0.123194,0.125863,0.115027,0.125534,37669,37665646.0
2017-12-17,0.125929,0.141945,0.122794,0.132014,56379,39609928.0
2017-12-18,0.13184,0.153158,0.123492,0.141241,59744,42378428.0
2017-12-19,0.140815,0.167442,0.135273,0.162322,191959,48703643.0
2017-12-20,0.160231,0.161507,0.12376,0.151687,91600,45512681.0
2017-12-21,0.151849,0.164,0.149384,0.149809,4310,44949200.0
2017-12-22,0.150377,0.151069,0.092895,0.127908,11436,38377949.0
2017-12-23,0.128963,0.158862,0.128963,0.138331,264204,41505302.0
2017-12-24,0.140365,0.140365,0.113148,0.122798,145143,36844728.0
2017-12-25,0.123403,0.147427,0.123403,0.143756,98260,43133037.0
2017-12-26,0.143809,0.150814,0.128357,0.148854,409609,44662658.0
2017-12-27,0.149538,0.151603,0.132406,0.146795,465145,44044869.0
2017-12-28,0.146551,0.201702,0.12969,0.143501,474673,43056526.0
2017-12-29,0.142437,0.249156,0.136439,0.165354,356350,49613374.0
2017-12-30,0.168952,0.187395,0.146188,0.148015,485653,44410922.0
2017-12-31,0.14401,0.180269,0.141537,0.171308,228927,51399832.0
2018-01-01,0.171303,0.195601,0.166244,0.187326,493987,56205927.0
2018-01-02,0.185112,0.284027,0.185112,0.233546,972129,70073933.0
2018-01-03,0.250686,0.252086,0.216728,0.24536,755338,73618645.0
2018-01-04,0.249339,0.612005,0.241474,0.486601,1217460,146001412.0
2018-01-05,0.490066,0.490066,0.308804,0.356265,1119310,106894957.0
2018-01-06,0.356389,0.418343,0.333778,0.364019,1212520,109221493.0
2018-01-07,0.350655,0.444277,0.344493,0.415156,1775440,124564812.0
2018-01-08,0.415706,0.476448,0.35704,0.451383,2108000,135434484.0
2018-01-09,0.452132,0.558919,0.452132,0.541242,16458300,162396082.0
2018-01-10,0.54133,0.759259,0.51611,0.570901,14077100,171295069.0
2018-01-11,0.574944,0.619206,0.489738,0.494235,4716730,148291943.0
2018-01-12,0.49749,0.559959,0.481734,0.559959,1934170,168011994.0
2018-01-13,0.562284,0.655454,0.558777,0.644751,3370260,193453273.0
2018-01-14,0.645752,0.651829,0.567445,0.597815,2222180,179370437.0
2018-01-15,0.594079,0.614456,0.532163,0.543736,2373000,163144391.0
2018-01-16,0.54586,0.54586,0.364784,0.446092,2355830,133846954.0
2018-01-17,0.447328,0.476207,0.331219,0.431145,1869680,129362206.0
2018-01-18,0.429612,0.486262,0.405196,0.435016,1748790,130523674.0
2018-01-19,0.425714,0.45829,0.405621,0.412512,931234,123771497.0
2018-01-20,0.415628,0.527992,0.415628,0.493475,1297840,148063910.0
2018-01-21,0.494405,0.500919,0.415982,0.445848,837201,133773744.0
2018-01-22,0.449456,0.474128,0.390271,0.445481,1163210,133663628.0
