Date,Open,High,Low,Close,Volume,Market Cap
2018-01-22,16.97,17.25,16.22,17.25,169409,
2018-01-23,17.2,18.27,13.12,17.52,201133,
2018-01-24,17.51,17.51,10.86,11.1,103504,
2018-01-25,11.28,15.51,5.68,8.37,100799,
2018-01-26,8.35,13.54,6.68,7.9,106357,
2018-01-27,7.9,10.17,5.67,5.68,58970,
2018-01-28,5.71,9.13,3.62,6.52,89991,
2018-01-29,6.51,8.93,5.81,7.5,91547,
2018-01-30,7.5,7.5,4.77,5.02,33768,
2018-01-31,5.02,5.27,2.81,4.01,46682,
2018-02-01,3.79,6.07,3.39,3.92,47317,
2018-02-02,3.91,5.29,3.22,3.67,36365,
2018-02-03,5.21,5.21,3.29,3.35,33176,
2018-02-04,3.35,4.01,2.47,2.58,28830,
2018-02-05,2.63,2.96,1.2,2.25,39578,
2018-02-06,2.08,3.19,1.63,2.8,41769,
2018-02-07,2.77,4.23,2.7,3.21,33839,
2018-02-08,3.2,4.12,3.2,3.51,32321,
2018-02-09,3.52,4.01,3.05,3.56,41122,
2018-02-10,3.13,3.45,2.44,2.66,19476,
2018-02-11,2.66,2.66,1.61,1.81,28463,
2018-02-12,2.34,2.43,1.77,1.79,20637,
2018-02-13,1.8,2.1,0.831603,1.02,17033,
2018-02-14,1.02,1.38,0.52127,1.09,30011,
2018-02-15,1.1,1.17,0.599712,0.608531,9450,
2018-02-16,0.605932,1.13,0.605932,0.972841,8058,
2018-02-17,0.972618,1.02,0.749437,0.790496,19945,
2018-02-18,0.792919,0.947236,0.731957,0.830599,10293,
2018-02-19,0.826782,0.880648,0.408673,0.506392,8813,
2018-02-20,0.506881,0.758996,0.298853,0.529481,9825,
2018-02-21,0.528821,0.56034,0.282652,0.36674,6218,
2018-02-22,0.366368,0.452947,0.279426,0.331714,6746,
2018-02-23,0.331405,0.63753,0.296405,0.635993,11110,
2018-02-24,0.47064,0.808084,0.446693,0.476549,6986,
2018-02-25,0.475841,0.55359,0.377162,0.474043,6001,
2018-02-26,0.474646,0.522464,0.319939,0.319939,5190,
2018-02-27,0.320863,0.428086,0.305958,0.354773,4385,
2018-02-28,0.354355,0.45465,0.291166,0.301778,3226,
2018-03-01,0.302222,0.396825,0.284252,0.329764,6385,
2018-03-02,0.328916,0.367835,0.304693,0.309387,5978,
2018-03-03,0.309008,0.361488,0.305817,0.307822,3416,
2018-03-04,0.307243,0.338463,0.23612,0.243021,2668,
2018-03-05,0.242843,0.249341,0.119437,0.136062,1688,
2018-03-06,0.135686,0.203564,0.108071,0.139272,4026,
2018-03-07,0.139091,0.170753,0.111574,0.125839,2939,
2018-03-08,0.125311,0.163211,0.107957,0.130216,3683,
2018-03-09,0.129391,0.146659,0.105959,0.146039,2065,
2018-03-10,0.146102,0.184375,0.116323,0.155921,3648,
2018-03-11,0.155383,0.181456,0.126725,0.158436,1727,
2018-03-12,0.157936,0.30271,0.123419,0.123988,2413,
2018-03-13,0.123276,0.155024,0.12164,0.134952,2463,
2018-03-14,0.134971,0.157631,0.124213,0.124459,1802,
2018-03-15,0.124403,0.137325,0.108302,0.117201,1041,
2018-03-16,0.117135,0.146206,0.113805,0.14245,685,
2018-03-17,0.142685,0.142685,0.101397,0.104945,2005,
2018-03-18,0.10469,0.10469,0.079052,0.093347,2178,
2018-03-19,0.092954,0.11219,0.08399,0.084054,1385,
2018-03-20,0.084937,0.114841,0.080243,0.097924,1403,
2018-03-21,0.09808,0.098937,0.060759,0.062472,529,
2018-03-22,0.062358,0.088921,0.047534,0.08858,450,
2018-03-23,0.088578,0.090255,0.051782,0.060125,269,
2018-03-24,0.061,0.09616,0.0595,0.075205,447,
2018-03-25,0.07417,0.099738,0.065935,0.074136,650,
2018-03-26,0.074011,0.088354,0.051136,0.060575,706,
2018-03-27,0.060483,0.085074,0.039956,0.041772,343,
2018-03-28,0.041763,0.056789,0.034929,0.039577,321,
2018-03-29,0.039623,0.058882,0.03609,0.039016,582,
2018-03-30,0.038875,0.048364,0.024238,0.02455,266,
2018-03-31,0.035219,0.036106,0.019896,0.028079,257,
2018-04-01,0.028447,0.028847,0.017838,0.024821,201,
