Date,Open,High,Low,Close,Volume,Market Cap
2018-01-12,1.39,1.59,1.37,1.59,32846,
2018-01-13,1.71,3.48,1.71,2.22,44239,
2018-01-14,2.22,2.22,1.2,1.67,75976,
2018-01-15,1.67,1.67,1.03,1.28,38633,
2018-01-16,1.14,1.36,0.774979,1.11,20981,
2018-01-17,1.11,1.28,0.704262,1.01,41576,
2018-01-18,1.02,1.05,0.743702,0.825828,59901,
2018-01-19,0.819701,0.958395,0.725524,0.871326,15599,
2018-01-20,0.876943,0.963826,0.565798,0.689818,53510,
2018-01-21,0.691312,0.860739,0.567185,0.567347,38841,
2018-01-22,0.570027,0.759769,0.514052,0.578067,86416,
2018-01-23,0.577015,0.837731,0.486719,0.677076,85477,
2018-01-24,0.677279,0.724402,0.566969,0.706148,49428,
2018-01-25,0.711344,0.734108,0.513692,0.630295,29186,14608021.0
2018-01-26,0.628103,0.688167,0.501937,0.662507,16149,15354582.0
2018-01-27,0.662557,0.717145,0.572058,0.613172,15798,14425841.0
2018-01-28,0.617486,0.801138,0.617486,0.776201,15482,18261356.0
2018-01-29,0.775056,0.780217,0.576819,0.702518,22433,16527847.0
2018-01-30,0.702829,0.750123,0.549782,0.571973,13973,13456569.0
2018-01-31,0.573949,0.73733,0.573035,0.673425,50142,15843388.0
2018-02-01,0.67471,0.921226,0.601497,0.772609,25370,18292740.0
2018-02-02,0.769885,0.769885,0.340319,0.732149,5468990,17334785.0
2018-02-03,0.768951,0.801924,0.422455,0.481334,3219680,11396344.0
2018-02-04,0.477666,0.517898,0.422337,0.436785,4632000,10341576.0
2018-02-05,0.444201,0.450932,0.289129,0.306002,3519370,7245081.0
2018-02-06,0.303721,0.394817,0.259011,0.389024,4046840,9210758.0
2018-02-07,0.387125,0.444095,0.327608,0.377789,2914600,8944752.0
2018-02-08,0.371572,0.399971,0.3619,0.369692,6644760,8753043.0
2018-02-09,0.369781,0.415207,0.35442,0.413645,5026410,9793700.0
2018-02-10,0.413004,0.472242,0.382147,0.472242,5766620,11181076.0
2018-02-11,0.465878,0.588562,0.411194,0.499811,5058030,11833816.0
2018-02-12,0.502309,0.606093,0.485264,0.581755,5066200,13773975.0
2018-02-13,0.580408,0.604331,0.485386,0.538953,2572130,12760570.0
2018-02-14,0.539821,0.582844,0.417131,0.527932,7956820,12499630.0
2018-02-15,0.517176,0.581886,0.417369,0.454201,5001150,10753932.0
2018-02-16,0.453853,0.548028,0.425945,0.524003,12780500,12848322.0
2018-02-17,0.523748,0.5301,0.461835,0.477379,4765080,11705122.0
2018-02-18,0.479625,0.480653,0.429713,0.429941,11113700,10541963.0
2018-02-19,0.431863,0.471846,0.42078,0.456376,6265830,11190138.0
2018-02-20,0.456331,0.460378,0.413951,0.415606,3393670,10190475.0
2018-02-21,0.409766,0.414224,0.369734,0.380632,5808560,9332928.0
2018-02-22,0.379297,0.416094,0.359102,0.361168,9062080,8855680.0
2018-02-23,0.360772,0.423335,0.354301,0.421759,8725620,10341344.0
2018-02-24,0.420765,0.430865,0.371872,0.392531,8528150,9624686.0
2018-02-25,0.392418,0.408468,0.378964,0.408468,3731620,10015455.0
2018-02-26,0.40972,0.434486,0.399844,0.402398,5059070,9866621.0
