Date,Open,High,Low,Close,Volume,Market Cap
2018-01-30,90.98,112.7,87.25,109.89,666526.0,
2018-01-31,113.98,113.98,71.07,74.58,291197.0,
2018-02-01,73.36,84.89,61.21,69.82,276802.0,
2018-02-02,69.67,70.91,54.35,62.56,299256.0,
2018-02-03,62.65,63.01,51.29,56.08,77797.0,
2018-02-04,56.09,60.94,44.69,51.34,69552.0,
2018-02-05,49.71,57.19,41.74,42.02,85757.0,
2018-02-06,43.29,45.22,33.8,45.01,44292.0,
2018-02-07,44.79,60.7,41.44,47.47,116435.0,
2018-02-08,47.13,55.52,46.3,47.24,38249.0,
2018-02-09,47.03,51.69,43.45,51.04,47333.0,
2018-02-10,51.06,51.82,44.03,46.0,27459.0,
2018-02-11,45.97,370.21,41.72,70.65,519205.0,
2018-02-12,71.75,80.72,66.23,69.72,295017.0,
2018-02-13,69.8,70.5,53.64,57.22,196573.0,
2018-02-14,57.11,57.92,49.69,57.76,92352.0,
2018-02-15,57.77,61.58,54.15,59.82,74535.0,
2018-02-16,59.69,59.69,54.73,56.59,45808.0,
2018-02-17,56.59,58.21,54.76,56.44,35928.0,
2018-02-18,56.5,56.9,52.16,52.19,20206.0,
2018-02-19,52.08,54.64,50.23,52.56,25066.0,5504626.0
2018-02-20,52.58,53.87,50.17,51.53,15457.0,5397414.0
2018-02-21,51.31,52.07,41.19,47.01,35446.0,4924113.0
2018-02-22,47.34,47.8,40.13,43.33,29001.0,4538397.0
2018-02-23,43.3,46.94,41.51,45.51,11472.0,4766217.0
2018-02-24,45.47,48.79,37.36,41.92,25386.0,4390755.0
2018-02-25,40.98,45.84,38.65,39.2,29689.0,4105715.0
2018-02-26,39.22,42.42,38.5,40.22,17995.0,4213010.0
2018-02-27,40.29,56.13,39.32,45.24,106475.0,4738503.0
2018-02-28,45.22,48.42,41.51,43.97,23084.0,4605472.0
2018-03-01,44.0,44.15,38.68,41.41,17712.0,4337683.0
2018-03-02,41.35,42.45,37.8,40.01,10562.0,4190397.0
2018-03-03,39.99,41.75,36.88,38.81,10089.0,4065170.0
2018-03-04,38.78,38.78,31.26,36.0,19312.0,3770598.0
2018-03-05,35.99,36.42,31.38,31.39,14475.0,3285437.0
2018-03-06,31.34,38.86,26.59,33.79,38650.0,3536878.0
2018-03-07,32.1,32.23,25.48,28.44,5734.0,2977594.0
2018-03-08,28.29,29.21,22.11,23.83,7981.0,2494328.0
2018-03-09,23.62,37.32,20.15,27.42,50357.0,2870506.0
2018-03-10,27.4,29.78,23.39,25.64,30302.0,2684060.0
2018-03-11,25.57,26.85,23.08,24.95,12158.0,2611381.0
2018-03-12,24.89,27.19,22.21,23.58,9494.0,2468796.0
2018-03-13,23.49,24.62,21.5,24.33,3889.0,2547379.0
2018-03-14,24.34,24.4,20.53,20.56,4200.0,2151846.0
2018-03-15,21.32,21.82,18.47,19.85,12403.0,2077753.0
2018-03-16,19.84,20.69,17.97,17.97,9642.0,1881331.0
2018-03-17,17.99,18.84,16.31,17.37,7826.0,1817927.0
2018-03-18,17.34,18.08,15.52,17.17,2506.0,1797127.0
2018-03-19,17.1,19.29,16.58,18.69,6095.0,1956314.0
2018-03-20,18.58,19.6,17.58,18.88,2264.0,1976768.0
2018-03-21,18.95,20.04,17.83,18.14,1936.0,1898635.0
2018-03-22,18.12,19.24,17.46,17.69,2095.0,1851498.0
2018-03-23,17.69,18.26,16.26,17.19,4287.0,1799147.0
2018-03-24,17.34,30.91,15.29,17.66,5332.0,1849059.0
2018-03-25,17.47,18.06,16.11,16.17,3541.0,1692897.0
2018-03-26,16.15,17.37,15.3,16.32,9180.0,1708274.0
2018-03-27,16.3,16.36,14.39,14.56,2661.0,1523650.0
2018-03-28,14.56,26.75,14.27,17.16,49638.0,1796310.0
2018-03-29,17.18,18.51,14.46,15.11,14023.0,1581360.0
2018-03-30,15.13,16.08,13.02,14.7,17814.0,1538703.0
2018-03-31,14.47,15.24,13.46,14.0,1776.0,1465647.0
2018-04-01,13.99,14.2,12.45,12.46,1353.0,1304733.0
2018-04-02,12.51,14.23,12.45,13.11,1716.0,1372639.0
2018-04-03,14.19,15.24,13.39,15.24,6275.0,1595031.0
2018-04-04,15.23,18.92,13.33,14.77,54127.0,1546188.0
2018-04-05,14.77,19.11,13.89,14.03,117471.0,1468473.0
2018-04-06,14.02,19.36,14.02,16.64,16487.0,1741479.0
2018-04-07,16.65,17.17,14.72,16.04,2512.0,1678566.0
2018-04-08,16.05,16.55,14.71,14.75,280.0,1544293.0
2018-04-09,14.77,16.47,14.55,14.83,1848.0,1552699.0
2018-04-10,14.84,15.81,14.41,15.19,425.0,1590080.0
2018-04-11,15.2,17.51,14.83,17.51,1003.0,1832561.0
2018-04-12,17.45,17.51,10.93,15.38,11701.0,1609603.0
2018-04-13,15.4,17.49,14.55,16.41,3666.0,1717905.0
2018-04-14,16.41,17.42,14.96,14.96,1259.0,1565690.0
2018-04-15,14.96,18.22,14.95,16.88,1995.0,1767335.0
2018-04-16,16.76,16.91,15.82,16.56,796.0,1733230.0
2018-04-17,16.56,23.29,15.99,19.75,88271.0,2067107.0
2018-04-18,19.74,23.47,19.07,22.06,39931.0,2309337.0
2018-04-19,21.39,26.76,18.79,22.17,20675.0,2320255.0
2018-04-20,22.17,26.78,21.94,24.25,9876.0,2538838.0
2018-04-21,24.25,26.23,13.68,22.27,19379.0,2331424.0
2018-04-22,22.15,23.58,18.8,22.24,7928.0,2328294.0
2018-04-23,22.2,24.11,21.88,23.79,5447.0,2490601.0
2018-04-24,23.79,28.99,23.36,27.0,11581.0,2826027.0
2018-04-25,26.92,27.73,18.52,22.71,3248.0,2377389.0
2018-04-26,22.88,24.26,19.44,24.2,2268.0,2532913.0
2018-04-27,24.23,25.08,20.15,22.09,3336.0,2312739.0
2018-04-28,22.03,22.34,17.01,19.82,10494.0,2074791.0
2018-04-29,19.82,28.56,17.45,22.5,52869.0,2355501.0
2018-04-30,22.5,26.62,19.34,23.19,32328.0,2427280.0
2018-05-01,23.22,23.22,20.14,21.01,8316.0,2199287.0
2018-05-02,20.98,22.36,19.93,21.76,7839.0,2277525.0
2018-05-03,21.75,31.84,21.63,27.38,76673.0,2865973.0
2018-05-04,28.42,31.13,24.68,26.49,51881.0,2773426.0
2018-05-05,26.49,28.03,25.73,27.8,5084.0,2910180.0
2018-05-06,27.81,28.01,21.06,22.03,146182.0,2306207.0
2018-05-07,22.05,23.35,20.52,22.0,18708.0,2302878.0
2018-05-08,22.04,22.86,19.47,19.91,68259.0,2084317.0
2018-05-09,19.89,20.78,17.71,18.54,55752.0,1941104.0
2018-05-10,18.47,19.28,17.37,17.46,5360.0,1827840.0
2018-05-11,17.46,19.08,16.22,17.92,10555.0,1876223.0
2018-05-12,17.89,17.89,16.01,17.57,1541.0,1839554.0
2018-05-13,17.57,18.1,16.27,17.13,2864.0,1793379.0
2018-05-14,17.13,18.17,16.23,17.06,2373.0,1785350.0
2018-05-15,17.04,17.42,16.23,16.99,1425.0,1778400.0
2018-05-16,16.98,16.98,15.7,16.17,1053.0,1692824.0
2018-05-17,16.18,16.66,14.93,16.15,26574.0,1690165.0
2018-05-18,16.2,16.25,14.84,16.07,1499.0,1682251.0
2018-05-19,16.08,16.11,14.96,15.65,647.0,1638683.0
2018-05-20,15.66,16.53,15.58,15.98,406.0,1672285.0
2018-05-21,15.98,16.37,15.24,15.58,618.0,1630455.0
2018-05-22,15.57,15.66,14.27,15.2,2073.0,1590844.0
2018-05-23,15.18,18.82,12.59,18.53,12989.0,1939418.0
2018-05-24,18.47,19.85,18.01,18.32,6415.0,1918043.0
2018-05-25,18.34,18.36,12.52,12.74,822.0,1333247.0
2018-05-26,12.72,13.57,12.22,12.78,957.0,1338157.0
2018-05-27,12.35,13.14,11.7,12.08,279.0,1264912.0
2018-05-28,12.1,12.62,11.49,11.67,1367.0,1221533.0
2018-05-29,11.65,12.1,10.42,11.3,4800.0,1182812.0
2018-05-30,11.31,11.79,10.37,11.49,34.0,1202649.0
2018-05-31,10.52,20.42,10.5,10.58,2540.0,1107526.0
2018-06-01,10.59,14.27,10.58,13.89,10095.0,1454174.0
2018-06-02,13.89,14.72,12.06,12.47,8517.0,1305235.0
2018-06-03,12.47,13.01,11.42,12.03,1556.0,1259207.0
2018-06-04,12.02,12.14,11.42,11.82,918.0,1237392.0
2018-06-05,11.82,12.8,11.07,12.21,938.0,1277976.0
2018-06-06,12.2,12.73,11.26,11.76,497.0,1231258.0
2018-06-07,11.77,13.85,11.41,11.48,24359.0,1201905.0
2018-06-08,11.5,13.16,11.49,13.02,1463.0,1363029.0
2018-06-09,13.02,13.58,11.99,12.52,565.0,1310134.0
2018-06-10,12.53,12.53,10.4,10.5,327.0,1098942.0
2018-06-11,10.51,11.3,10.16,10.27,456.0,1074981.0
2018-06-12,10.27,11.35,9.99,10.02,79.0,1049104.0
2018-06-13,10.72,10.72,9.42,9.71,701.0,1016179.0
2018-06-14,9.6,9.75,8.52,9.07,2839.0,949213.0
2018-06-15,9.06,9.23,8.57,9.09,975.0,951876.0
2018-06-16,9.08,10.11,7.75,8.37,1460.0,876256.0
2018-06-17,8.38,9.12,8.07,8.42,777.0,881418.0
2018-06-18,8.41,9.27,7.32,9.2,830.0,962765.0
2018-06-19,9.2,9.21,7.53,8.41,429.0,880346.0
2018-06-20,8.41,8.47,7.36,7.89,584.0,826417.0
2018-06-21,7.89,9.2,7.45,8.44,965.0,883284.0
2018-06-22,8.43,8.44,7.06,7.38,296.0,772224.0
2018-06-23,7.38,7.89,6.98,7.89,144.0,825739.0
2018-06-24,7.89,11.0,6.83,7.3,1428.0,764561.0
2018-06-25,7.29,8.01,7.01,7.48,599.0,782609.0
2018-06-26,7.48,8.05,7.38,7.92,504.0,829483.0
2018-06-27,7.92,7.94,7.19,7.76,150.0,811969.0
2018-06-28,7.76,7.9,6.56,7.05,773.0,738285.0
2018-06-29,7.05,7.71,7.04,7.49,113.0,784122.0
2018-06-30,7.5,8.44,7.46,8.43,344.0,882230.0
2018-07-01,8.43,8.99,7.89,8.91,762.0,932647.0
2018-07-02,8.91,9.01,8.04,8.2,481.0,858356.0
