Date,Open,High,Low,Close,Volume,Market Cap
2019-03-01,0.049621,0.051258,0.049621,0.049737,41886,
2019-03-02,0.049548,0.058808,0.049318,0.053303,28550,
2019-03-03,0.053266,0.054113,0.044643,0.049851,5475,
2019-03-04,0.049919,0.054263,0.041916,0.04653,87156,
2019-03-05,0.046499,0.047566,0.043638,0.046005,80293,
2019-03-06,0.045467,0.048154,0.045059,0.047944,90908,15373584.0
2019-03-07,0.047775,0.052627,0.044417,0.045439,26342,14570483.0
2019-03-08,0.047111,0.056452,0.039913,0.050646,76845,16239895.0
2019-03-09,0.050595,0.057492,0.044387,0.048144,73076,15437650.0
2019-03-10,0.04781,0.062826,0.047474,0.059081,105318,18944813.0
2019-03-11,0.059797,0.155595,0.051974,0.053873,93888,17274841.0
2019-03-12,0.051505,0.055202,0.048102,0.051937,90836,16654155.0
2019-03-13,0.052075,0.057923,0.047324,0.049068,76738,15734066.0
2019-03-14,0.049284,0.052923,0.048242,0.051713,52114,16582245.0
2019-03-15,0.051626,0.055209,0.04474,0.047727,88445,15304180.0
2019-03-16,0.047762,0.053699,0.045601,0.045779,13577,14679326.0
2019-03-17,0.045785,0.054116,0.041113,0.047954,107401,15376903.0
2019-03-18,0.048107,0.053901,0.046363,0.051518,157529,16519647.0
2019-03-19,0.051608,0.05555,0.050399,0.050912,58664,16325390.0
2019-03-20,0.051017,0.056041,0.050421,0.054504,85993,17477213.0
2019-03-21,0.054599,0.056486,0.051489,0.0528,61090,16930720.0
2019-03-22,0.052108,0.056266,0.050943,0.052486,77924,16830063.0
2019-03-23,0.052431,0.054136,0.05124,0.05354,38486,17168050.0
2019-03-24,0.053487,0.05453,0.048079,0.051611,84724,16549438.0
2019-03-25,0.051678,0.055633,0.049848,0.052023,224525,16681589.0
2019-03-26,0.051821,0.055895,0.046459,0.050895,157198,16319970.0
2019-03-27,0.051081,0.063601,0.043498,0.051331,178265,16459688.0
2019-03-28,0.052073,0.068277,0.043633,0.059109,183507,18953681.0
2019-03-29,0.058997,0.069273,0.043636,0.058715,105739,18827317.0
2019-03-30,0.058587,0.058967,0.05203,0.056678,82347,18174258.0
2019-03-31,0.056678,0.065021,0.049525,0.053473,138044,17146560.0
2019-04-01,0.052804,0.067979,0.045164,0.067106,95742,21518183.0
2019-04-02,0.067165,0.075476,0.048695,0.072747,129282,23326774.0
2019-04-03,0.072747,0.075746,0.04612,0.04792,206315,15365885.0
2019-04-04,0.047945,0.082849,0.03857,0.068692,181956,22026638.0
2019-04-05,0.068686,0.087562,0.063008,0.06565,87506,21051058.0
2019-04-06,0.065666,0.068128,0.049365,0.054637,22500,17519732.0
2019-04-07,0.054581,0.087895,0.045758,0.087337,53938,28005346.0
2019-04-08,0.087353,0.092488,0.039352,0.052794,103148,16928921.0
2019-04-09,0.052794,0.084285,0.041417,0.041495,40251,13305735.0
2019-04-10,0.041482,0.066673,0.039961,0.047279,46454,15160530.0
2019-04-11,0.047302,0.063822,0.035871,0.036688,80128,11764304.0
2019-04-12,0.036677,0.070931,0.035642,0.044013,67444,14113004.0
2019-04-13,0.044012,0.055243,0.037656,0.045614,19852,14626611.0
2019-04-14,0.045614,0.056531,0.045561,0.055922,26320,17931866.0
2019-04-15,0.055922,0.056063,0.034758,0.03483,80714,11168446.0
2019-04-16,0.034829,0.053171,0.034727,0.04204,16823,13480487.0
2019-04-17,0.042027,0.052796,0.042027,0.04706,28434,15090170.0
2019-04-18,0.047079,0.050416,0.036136,0.047728,82283,15304364.0
2019-04-19,0.047733,0.048081,0.03405,0.047346,54877,15181771.0
2019-04-20,0.047361,0.050427,0.033926,0.049792,41685,15966124.0
2019-04-21,0.049812,0.049979,0.025073,0.029678,6438,9516609.0
2019-04-22,0.029666,0.04754,0.029659,0.047067,87491,15092515.0
2019-04-23,0.047067,0.048395,0.038291,0.046599,162169,14942288.0
2019-04-24,0.046599,0.046732,0.042259,0.044738,99493,14345541.0
2019-04-25,0.04474,0.059112,0.038173,0.055551,85615,17813004.0
2019-04-26,0.055737,0.056744,0.03641,0.047924,220075,15367295.0
2019-04-27,0.047953,0.048218,0.020512,0.041903,81775,13436418.0
2019-04-28,0.041882,0.048362,0.019507,0.047303,68229,15168073.0
2019-04-29,0.047329,0.048515,0.021154,0.033623,231711,10781421.0
2019-04-30,0.033626,0.033925,0.013713,0.026114,18501,8373812.0
2019-05-01,0.02611,0.027177,0.014707,0.022023,8952,7061916.0
2019-05-02,0.02203,0.03858,0.022024,0.03782,58790,12127250.0
2019-05-03,0.037814,0.040565,0.030182,0.038171,18732,12239882.0
2019-05-04,0.038172,0.039033,0.018849,0.022564,13233,7235384.0
2019-05-05,0.02256,0.038207,0.022302,0.037909,37973,12155934.0
2019-05-06,0.03789,0.03789,0.018262,0.024161,62228,7747443.0
2019-05-07,0.024154,0.035784,0.024154,0.032925,22290,10557640.0
2019-05-08,0.032892,0.033126,0.025298,0.031909,13431,10232032.0
2019-05-09,0.031907,0.032075,0.026727,0.030979,10574,9933708.0
2019-05-10,0.030964,0.040799,0.026905,0.040404,53242,12955996.0
2019-05-11,0.040472,0.046202,0.03338,0.045285,3217,14521036.0
2019-05-12,0.045261,0.046344,0.036129,0.041106,2156,13181048.0
2019-05-13,0.041106,0.064194,0.034606,0.048165,89903,15444516.0
2019-05-14,0.048194,0.067605,0.04309,0.06178,87365,19810230.0
2019-05-15,0.061745,0.063242,0.043646,0.057967,34547,18587524.0
2019-05-16,0.057916,0.063026,0.046074,0.054147,92225,17362595.0
2019-05-17,0.054098,0.054498,0.044782,0.046746,39530,14989503.0
