Date,Open,High,Low,Close,Volume,Market Cap
2018-03-14,0.003286,0.003518,0.002821,0.002821,271889,
2018-03-15,0.002841,0.003144,0.002033,0.003039,350735,
2018-03-16,0.002985,0.004473,0.002743,0.004122,1154100,19577625.0
2018-03-17,0.004112,0.004231,0.003488,0.003572,414094,16964958.0
2018-03-18,0.00353,0.00354,0.00285,0.003404,337802,16167223.0
2018-03-19,0.003363,0.003634,0.003226,0.0035,257943,16622440.0
2018-03-20,0.003509,0.003531,0.002899,0.003006,289259,14719161.0
2018-03-21,0.003078,0.003356,0.002812,0.002884,240410,18982045.0
2018-03-22,0.002878,0.003,0.002628,0.002714,131927,17860623.0
2018-03-23,0.002714,0.002768,0.002185,0.002505,221448,19461271.0
2018-03-24,0.002558,0.002562,0.002214,0.002344,162357,18209454.0
2018-03-25,0.002312,0.00246,0.002209,0.002397,130446,18619347.0
2018-03-26,0.002394,0.002405,0.002089,0.002333,112043,18124943.0
2018-03-27,0.002331,0.002385,0.002085,0.002144,79123,16655945.0
2018-03-28,0.002181,0.002356,0.002116,0.00215,105183,16697424.0
2018-03-29,0.002179,0.0022,0.001875,0.001929,57832,14986622.0
2018-03-30,0.001914,0.001972,0.001802,0.00192,60012,14916637.0
2018-03-31,0.001901,0.002017,0.001876,0.001915,43559,14877022.0
2018-04-01,0.001915,0.002044,0.001841,0.001982,54108,15394418.0
2018-04-02,0.00199,0.002094,0.001934,0.002038,71640,15831731.0
2018-04-03,0.002048,0.002344,0.002044,0.002344,98328,18207046.0
2018-04-04,0.002338,0.002371,0.002034,0.002077,110226,16131248.0
2018-04-05,0.002076,0.002176,0.002003,0.002049,49783,15916475.0
2018-04-06,0.002054,0.002073,0.001923,0.001986,50098,15424556.0
2018-04-07,0.001988,0.002151,0.001981,0.002072,25957,16095284.0
2018-04-08,0.002055,0.002155,0.002023,0.002042,34332,15861636.0
2018-04-09,0.002046,0.002182,0.001978,0.002032,59637,15785126.0
2018-04-10,0.002036,0.002141,0.001971,0.002017,97194,15664884.0
2018-04-11,0.00202,0.002112,0.001963,0.002082,43326,16169697.0
2018-04-12,0.002095,0.002358,0.002035,0.002329,136971,18088203.0
2018-04-13,0.002332,0.00244,0.002252,0.002296,78369,17836612.0
2018-04-14,0.002296,0.00242,0.002208,0.002272,53733,17650035.0
2018-04-15,0.002274,0.00237,0.002131,0.002263,99738,17575079.0
2018-04-16,0.002258,0.002278,0.001961,0.002082,67496,16170784.0
2018-04-17,0.002081,0.002209,0.002034,0.002137,60783,16602504.0
2018-04-18,0.002139,0.002237,0.00201,0.002138,71197,16607087.0
2018-04-19,0.002139,0.002195,0.001982,0.002083,77213,16183057.0
2018-04-20,0.002098,0.002173,0.002028,0.002167,102707,16834288.0
2018-04-21,0.002187,0.002197,0.002052,0.002097,90919,16291337.0
