Date,Open,High,Low,Close,Volume,Market Cap
2017-12-20,0.016186,0.031434,0.014483,0.016157,330757,
2017-12-21,0.02536,0.030191,0.016309,0.026098,902528,
2017-12-22,0.026214,0.027799,0.018022,0.023107,188377,
2017-12-23,0.023323,0.025613,0.020573,0.023048,294605,
2017-12-24,0.023298,0.026789,0.019748,0.024863,482241,
2017-12-25,0.023844,0.028324,0.021563,0.027888,426157,67651786.0
2017-12-26,0.027851,0.032575,0.020987,0.028179,1116930,68357940.0
2017-12-27,0.028207,0.034014,0.025718,0.034014,1094110,82511101.0
2017-12-28,0.032558,0.041773,0.032558,0.038674,1766170,93815872.0
2017-12-29,0.039057,0.056605,0.036399,0.053627,2808230,130087833.0
2017-12-30,0.050716,0.053515,0.03902,0.046059,1116000,111730012.0
2017-12-31,0.043232,0.072469,0.043232,0.061238,5270940,148785080.0
2018-01-01,0.062706,0.074348,0.051035,0.067488,4057350,163971446.0
2018-01-02,0.0666,0.101463,0.066274,0.098712,21009200,239834030.0
2018-01-03,0.098882,0.103928,0.090534,0.093791,7173600,227877364.0
2018-01-04,0.095074,0.154594,0.087777,0.144899,10084300,352050108.0
2018-01-05,0.14736,0.211928,0.132436,0.179656,19192400,436496555.0
2018-01-06,0.175205,0.185289,0.147311,0.15137,7577750,367772206.0
2018-01-07,0.151302,0.168795,0.135759,0.138766,7030130,338289756.0
2018-01-08,0.137468,0.163401,0.126285,0.148054,10739500,360971731.0
2018-01-09,0.146408,0.246579,0.143471,0.211249,30800100,515048004.0
2018-01-10,0.206089,0.222088,0.151416,0.161204,15622000,393032859.0
2018-01-11,0.161977,0.16876,0.109384,0.12098,9480250,294962379.0
2018-01-12,0.12215,0.13324,0.115159,0.124733,4673360,304112600.0
2018-01-13,0.124755,0.145059,0.11906,0.142196,7352950,346689291.0
2018-01-14,0.143365,0.143365,0.113908,0.119711,5196320,291868419.0
2018-01-15,0.11897,0.122228,0.098315,0.098315,3336010,239703379.0
2018-01-16,0.096572,0.096572,0.054111,0.067552,3073760,164697893.0
2018-01-17,0.067414,0.078425,0.044223,0.072518,4328130,176807491.0
2018-01-18,0.071333,0.084728,0.065558,0.075756,3540840,187024940.0
2018-01-19,0.074261,0.076577,0.065149,0.070514,1724110,174083380.0
2018-01-20,0.071245,0.083585,0.070089,0.081266,1701360,200626157.0
2018-01-21,0.082707,0.082707,0.062521,0.066893,1224850,165143702.0
2018-01-22,0.067815,0.075302,0.055399,0.063691,1647950,157239922.0
2018-01-23,0.063539,0.067634,0.058151,0.062439,1062390,154147289.0
2018-01-24,0.06252,0.077947,0.061058,0.070922,2830830,175587591.0
2018-01-25,0.071194,0.07573,0.065987,0.070047,1964560,173419555.0
2018-01-26,0.069008,0.094521,0.069008,0.086533,10021000,214237146.0
2018-01-27,0.085963,0.120359,0.085285,0.102489,16103400,253741143.0
2018-01-28,0.10221,0.107202,0.094518,0.094518,4021140,234005886.0
2018-01-29,0.094758,0.095719,0.078415,0.083373,4548600,206413217.0
2018-01-30,0.083404,0.084001,0.061865,0.061865,2895930,153164194.0
2018-01-31,0.06148,0.068861,0.054875,0.065835,1825890,162994067.0
2018-02-01,0.065882,0.066297,0.050713,0.051909,1388320,128515981.0
2018-02-02,0.051891,0.051891,0.032333,0.047187,2021010,116826295.0
2018-02-03,0.047127,0.053804,0.039841,0.050455,1046640,124914698.0
2018-02-04,0.050414,0.051819,0.040521,0.041781,979685,103440942.0
2018-02-05,0.041381,0.042567,0.029885,0.031833,1000950,78811793.0
2018-02-06,0.03184,0.038402,0.02649,0.038402,1577810,95075003.0
2018-02-07,0.03779,0.03928,0.033208,0.034976,1204490,86593198.0
2018-02-08,0.034881,0.038656,0.034831,0.038089,725151,94300329.0
2018-02-09,0.038123,0.048002,0.035929,0.047862,2201990,122265870.0
2018-02-10,0.047969,0.056671,0.041837,0.044582,4938980,121923327.0
2018-02-11,0.04447,0.04447,0.036895,0.03877,3279550,106029226.0
2018-02-12,0.03881,0.042972,0.037627,0.038542,1465690,105405419.0
2018-02-13,0.037555,0.038216,0.035219,0.036601,1045170,100096081.0
2018-02-14,0.036838,0.039244,0.036094,0.03863,804392,105644440.0
2018-02-15,0.038929,0.042266,0.037652,0.039469,1176430,161220930.0
2018-02-16,0.039407,0.040448,0.03525,0.035788,1053510,146182265.0
2018-02-17,0.036857,0.039118,0.03569,0.038898,1692380,158886928.0
2018-02-18,0.038573,0.043378,0.036816,0.038628,1750900,157782015.0
2018-02-19,0.0385,0.042193,0.037506,0.041346,741757,168884657.0
2018-02-20,0.041938,0.044021,0.034418,0.034418,2903940,140588258.0
2018-02-21,0.034405,0.034534,0.028957,0.029841,2461300,121890513.0
2018-02-22,0.029918,0.031593,0.026764,0.027979,1775870,114287239.0
2018-02-23,0.027878,0.031094,0.026669,0.029355,543066,119906979.0
2018-02-24,0.029408,0.031524,0.026285,0.028477,518420,116321423.0
2018-02-25,0.028484,0.029036,0.025014,0.026474,604925,108138530.0
2018-02-26,0.026461,0.030712,0.026461,0.030068,864058,122818150.0
2018-02-27,0.03015,0.032188,0.029511,0.03031,828354,123808283.0
2018-02-28,0.03026,0.03361,0.028622,0.02903,668374,118580266.0
2018-03-01,0.029065,0.03154,0.028867,0.030382,808557,124102790.0
2018-03-02,0.030333,0.030618,0.028041,0.030127,695702,123060781.0
2018-03-03,0.0301,0.031903,0.028657,0.030546,554112,124772682.0
2018-03-04,0.030501,0.031305,0.027855,0.027893,408677,113935955.0
2018-03-05,0.027878,0.02982,0.026886,0.029421,651048,120176570.0
2018-03-06,0.029383,0.030837,0.025877,0.025909,938391,105829854.0
2018-03-07,0.025951,0.026721,0.020708,0.021764,626274,88899969.0
2018-03-08,0.0221,0.0226,0.017794,0.018981,482544,77530187.0
2018-03-09,0.018906,0.019348,0.014888,0.017247,857471,70449757.0
2018-03-10,0.017154,0.018748,0.015295,0.017127,117287,69960409.0
2018-03-11,0.017156,0.018513,0.015907,0.018263,158047,74598185.0
2018-03-12,0.01825,0.031294,0.017453,0.027757,41869700,113377575.0
2018-03-13,0.027587,0.027787,0.02399,0.02594,19888600,105956888.0
2018-03-14,0.02587,0.026158,0.01894,0.020024,11994100,81792988.0
2018-03-15,0.019951,0.020337,0.018212,0.019336,7723850,78983118.0
2018-03-16,0.019237,0.023014,0.018242,0.021308,13400500,87124463.0
2018-03-17,0.021081,0.02244,0.01863,0.019206,8558890,78529694.0
2018-03-18,0.019163,0.019163,0.0156,0.01874,5762950,76623470.0
2018-03-19,0.01866,0.019768,0.018288,0.019102,6159320,78106906.0
2018-03-20,0.019312,0.019884,0.018132,0.019279,5260760,78830224.0
2018-03-21,0.019329,0.027916,0.019302,0.026871,37226000,109870752.0
2018-03-22,0.026583,0.030436,0.024327,0.025076,25148000,102533305.0
2018-03-23,0.025061,0.082442,0.022964,0.070538,1831430016,288418698.0
2018-03-24,0.076034,0.080086,0.052799,0.052931,1116290048,216427489.0
2018-03-25,0.054165,0.060263,0.051179,0.054504,552409984,222858437.0
2018-03-26,0.054308,0.054308,0.043294,0.045585,431744992,186389548.0
2018-03-27,0.045897,0.045897,0.037444,0.039077,438486016,159780110.0
2018-03-28,0.038848,0.046295,0.038018,0.043287,579532992,176992546.0
2018-03-29,0.042841,0.042841,0.039016,0.039138,336889984,160031575.0
2018-03-30,0.03873,0.040476,0.036962,0.03792,160163008,155048898.0
2018-03-31,0.038102,0.038771,0.034456,0.034642,47933300,141644002.0
2018-04-01,0.034658,0.034783,0.028751,0.031213,85658400,127624961.0
2018-04-02,0.031344,0.032826,0.029367,0.031634,98419200,129346777.0
2018-04-03,0.031705,0.033368,0.030585,0.033208,74586600,135782223.0
2018-04-04,0.032637,0.034292,0.029389,0.03084,65596600,126102272.0
2018-04-05,0.030729,0.032161,0.027901,0.028885,61857100,118105293.0
2018-04-06,0.028855,0.029286,0.02599,0.027364,23846800,111887375.0
2018-04-07,0.02756,0.029117,0.026781,0.028072,27725500,114783509.0
2018-04-08,0.02801,0.031209,0.027857,0.029818,50927100,121920193.0
2018-04-09,0.029757,0.030037,0.027761,0.028476,23529800,116433361.0
2018-04-10,0.028612,0.028968,0.027786,0.028773,16261400,117648977.0
2018-04-11,0.028799,0.031756,0.028533,0.030075,40669900,122973482.0
2018-04-12,0.029798,0.033737,0.028789,0.032427,58001500,132587602.0
2018-04-13,0.032226,0.035473,0.031723,0.033228,64380000,135866044.0
2018-04-14,0.033394,0.03567,0.032765,0.034978,39028400,143019493.0
2018-04-15,0.035003,0.039009,0.035003,0.037875,56332100,154865718.0
2018-04-16,0.03784,0.038405,0.034766,0.036075,32951800,147504964.0
2018-04-17,0.036608,0.036833,0.035261,0.035568,32640700,145533398.0
2018-04-18,0.035675,0.041053,0.035675,0.039301,54452100,160808147.0
2018-04-19,0.039208,0.041917,0.038899,0.041018,45619700,167833606.0
2018-04-20,0.040969,0.048725,0.039834,0.048648,111102000,199053325.0
2018-04-21,0.048747,0.061621,0.048747,0.058272,393369984,238431906.0
2018-04-22,0.057306,0.06012,0.053765,0.05474,116336000,223981227.0
2018-04-23,0.055611,0.056626,0.05458,0.056483,69196304,231113480.0
2018-04-24,0.056229,0.068153,0.055557,0.064912,219158000,265602472.0
2018-04-25,0.0644,0.079198,0.061753,0.065562,518908992,268261262.0
2018-04-26,0.064589,0.066908,0.059086,0.066908,151082000,273767472.0
2018-04-27,0.068655,0.068655,0.062431,0.063378,95880496,259322930.0
2018-04-28,0.063108,0.069454,0.063108,0.067335,79971400,275515448.0
2018-04-29,0.067323,0.071195,0.062098,0.068134,125037000,278785540.0
2018-04-30,0.068877,0.069528,0.06387,0.066387,149320992,271637738.0
2018-05-01,0.066213,0.066213,0.062719,0.065977,74785000,269957684.0
2018-05-02,0.066066,0.067289,0.064124,0.066961,58744200,273986378.0
2018-05-03,0.066729,0.067103,0.063897,0.064996,62635300,265945357.0
2018-05-04,0.065403,0.066564,0.061547,0.063749,45843400,260840544.0
2018-05-05,0.063408,0.064122,0.062191,0.06315,28649700,258391249.0
2018-05-06,0.064579,0.064579,0.05862,0.060331,33893800,246856729.0
2018-05-07,0.060168,0.060168,0.054813,0.056924,34168300,232915876.0
2018-05-08,0.0568,0.058355,0.054552,0.055896,25518400,228710830.0
2018-05-09,0.055769,0.055769,0.051178,0.053351,32399500,218295801.0
2018-05-10,0.053048,0.053271,0.04758,0.047868,33579400,195860157.0
2018-05-11,0.048147,0.048198,0.036502,0.040815,69992800,168563430.0
2018-05-12,0.041279,0.044149,0.037488,0.041947,45908100,173240642.0
2018-05-13,0.041571,0.047133,0.04082,0.046633,63181000,192592118.0
2018-05-14,0.046932,0.04902,0.044569,0.046188,49695100,190757577.0
2018-05-15,0.046076,0.053011,0.043638,0.047943,98979400,198002817.0
2018-05-16,0.047642,0.047775,0.04298,0.044701,44519700,184614219.0
2018-05-17,0.044659,0.046825,0.04324,0.044617,47869600,184266887.0
2018-05-18,0.044352,0.048506,0.043575,0.045014,71515600,185908557.0
2018-05-19,0.045057,0.045057,0.04335,0.043953,18592700,181527052.0
2018-05-20,0.043905,0.045565,0.043546,0.045284,19692300,187021589.0
2018-05-21,0.04532,0.047029,0.044324,0.045046,35257800,186038239.0
2018-05-22,0.044902,0.045018,0.03925,0.039575,24205600,164837001.0
2018-05-23,0.039732,0.040555,0.034682,0.035243,27091500,146791912.0
2018-05-24,0.035299,0.036571,0.03236,0.035917,30680400,149597972.0
2018-05-25,0.035848,0.036105,0.033478,0.033916,15710200,141266842.0
2018-05-26,0.033869,0.034414,0.033277,0.033369,11279500,138987257.0
2018-05-27,0.033404,0.033404,0.03227,0.032589,7833380,135740107.0
2018-05-28,0.032658,0.033226,0.029242,0.029345,11691100,122227532.0
2018-05-29,0.02948,0.033473,0.029096,0.032802,16899700,136626451.0
2018-05-30,0.032693,0.034876,0.031234,0.032466,19207000,135224462.0
2018-05-31,0.032384,0.034029,0.031688,0.033523,12313800,139626190.0
2018-06-01,0.033328,0.033654,0.03247,0.033247,10708100,138477443.0
2018-06-02,0.033222,0.034943,0.032885,0.034541,10972900,143869227.0
2018-06-03,0.034487,0.036059,0.03423,0.035297,12321000,147017246.0
2018-06-04,0.035264,0.035563,0.032717,0.033086,10627400,137809353.0
2018-06-05,0.033043,0.033764,0.03155,0.033097,11713600,137855169.0
2018-06-06,0.033108,0.03319,0.032025,0.032797,8387080,136602709.0
2018-06-07,0.032858,0.033588,0.031683,0.031732,9639350,132169325.0
2018-06-08,0.031835,0.032081,0.030831,0.030969,8952430,128991317.0
2018-06-09,0.031027,0.031527,0.030282,0.030282,4636260,126128610.0
2018-06-10,0.030255,0.030255,0.025019,0.025834,15968600,107602030.0
2018-06-11,0.025562,0.025803,0.023968,0.025544,10948000,106394553.0
2018-06-12,0.025365,0.025687,0.022548,0.022952,9750760,95598072.0
2018-06-13,0.022964,0.023163,0.020456,0.021177,9702160,88203267.0
2018-06-14,0.02117,0.023136,0.020554,0.022936,12873300,95531429.0
2018-06-15,0.022945,0.023852,0.021812,0.021996,11225400,91616606.0
2018-06-16,0.021975,0.02227,0.021317,0.021756,4820170,90615305.0
2018-06-17,0.021761,0.021969,0.021286,0.021419,2946510,89214982.0
2018-06-18,0.021317,0.022278,0.020585,0.02196,5084460,91468327.0
2018-06-19,0.021946,0.022861,0.021473,0.022596,8594120,94117361.0
2018-06-20,0.022577,0.022577,0.020518,0.022074,12302900,91943154.0
2018-06-21,0.022021,0.022522,0.021144,0.021418,6126850,89207484.0
2018-06-22,0.02134,0.021463,0.01778,0.01821,8051660,81838240.0
2018-06-23,0.018309,0.018518,0.017005,0.017697,5880440,79533184.0
2018-06-24,0.017684,0.017684,0.015155,0.016413,9004920,73760882.0
2018-06-25,0.016417,0.016859,0.015901,0.016504,6933690,74173446.0
2018-06-26,0.016577,0.016577,0.015426,0.015508,3579020,69696812.0
2018-06-27,0.01549,0.015799,0.015157,0.015664,3411290,70396103.0
2018-06-28,0.015586,0.015796,0.014832,0.014918,3455760,67044357.0
2018-06-29,0.014932,0.015522,0.014244,0.015361,4749520,69034822.0
2018-06-30,0.015415,0.018424,0.015415,0.017508,16023200,78685136.0
2018-07-01,0.017495,0.019041,0.01633,0.018111,14150700,81393767.0
2018-07-02,0.018158,0.020006,0.017511,0.019356,13667600,86989448.0
2018-07-03,0.019389,0.020433,0.019101,0.019232,11836800,86431273.0
2018-07-04,0.019374,0.021152,0.018631,0.020492,11792300,92095265.0
2018-07-05,0.020506,0.021249,0.019148,0.019743,11652700,88730037.0
2018-07-06,0.019775,0.022002,0.018228,0.020752,23471500,93263748.0
2018-07-07,0.020623,0.020623,0.018924,0.019994,7929460,89857173.0
2018-07-08,0.019967,0.020063,0.019235,0.019422,5338840,87284265.0
2018-07-09,0.019389,0.019494,0.018779,0.018779,4897400,84401873.0
2018-07-10,0.018683,0.018873,0.016841,0.016844,6989700,75707206.0
2018-07-11,0.016793,0.017277,0.015919,0.016782,6352820,75425848.0
2018-07-12,0.016736,0.016736,0.015284,0.015846,4521210,71219418.0
2018-07-13,0.015902,0.016387,0.015741,0.016147,4115580,72572271.0
2018-07-14,0.016114,0.016344,0.015749,0.016152,2012650,72595643.0
2018-07-15,0.016111,0.016599,0.015955,0.01638,2513010,73621294.0
2018-07-16,0.016382,0.017449,0.016223,0.017449,5242340,78426845.0
2018-07-17,0.017289,0.019993,0.017151,0.019729,14208400,88674373.0
2018-07-18,0.019907,0.021281,0.019235,0.01983,17321500,89126073.0
2018-07-19,0.01973,0.020026,0.018682,0.019456,8772120,87447366.0
2018-07-20,0.019232,0.019268,0.017056,0.017222,7359180,77403890.0
2018-07-21,0.017289,0.017797,0.016499,0.017483,4220990,78579659.0
2018-07-22,0.017456,0.018049,0.017099,0.017139,3681610,77033092.0
2018-07-23,0.017197,0.017724,0.016435,0.016521,6338640,74254124.0
2018-07-24,0.016487,0.017739,0.015987,0.017426,12057800,78319876.0
2018-07-25,0.017413,0.017672,0.016845,0.017229,10052300,77436701.0
2018-07-26,0.01729,0.017935,0.015964,0.016426,7237060,73827144.0
2018-07-27,0.016404,0.017021,0.016,0.016591,5074520,74569640.0
2018-07-28,0.016742,0.016893,0.016416,0.016668,2120610,74914370.0
2018-07-29,0.016696,0.017273,0.0165,0.016842,3709390,75699115.0
2018-07-30,0.016786,0.017618,0.015717,0.016363,8525330,73546236.0
2018-07-31,0.016295,0.016295,0.014923,0.015199,4008960,68313702.0
2018-08-01,0.01514,0.01514,0.014235,0.014623,3049640,65723504.0
2018-08-02,0.014625,0.014832,0.013161,0.013322,3506040,59874324.0
2018-08-03,0.013342,0.013342,0.011825,0.012653,4785920,56701073.0
2018-08-04,0.012578,0.012854,0.011663,0.011985,2802080,53707160.0
2018-08-05,0.012123,0.012495,0.011776,0.012313,1935520,55179245.0
2018-08-06,0.012318,0.012742,0.011788,0.011983,1885170,53697301.0
2018-08-07,0.011963,0.012346,0.011255,0.011305,2974780,50981807.0
2018-08-08,0.011291,0.011291,0.009347,0.009624,3942110,43403829.0
2018-08-09,0.009694,0.010431,0.009388,0.010188,3153020,45943922.0
2018-08-10,0.010029,0.010188,0.009307,0.009399,1611170,42387638.0
2018-08-11,0.009388,0.009402,0.008381,0.008615,1645040,38850521.0
2018-08-12,0.008655,0.008885,0.008514,0.0086,925684,38786302.0
2018-08-13,0.008633,0.00889,0.007228,0.007228,1549030,32598195.0
2018-08-14,0.007254,0.007254,0.006113,0.006844,1934660,30863370.0
2018-08-15,0.006849,0.007398,0.006849,0.006924,2476770,31224649.0
2018-08-16,0.00694,0.007769,0.006788,0.007171,2054330,32338116.0
2018-08-17,0.007177,0.008749,0.007128,0.008749,4450220,39455464.0
2018-08-18,0.009138,0.010098,0.008255,0.008996,11392400,40571276.0
2018-08-19,0.009077,0.009445,0.008558,0.009236,3707890,41652363.0
2018-08-20,0.009234,0.00938,0.008123,0.008161,2898960,36805557.0
2018-08-21,0.008174,0.008585,0.008002,0.008106,1831650,36554182.0
2018-08-22,0.008111,0.008724,0.007492,0.007639,1727980,34451493.0
2018-08-23,0.007657,0.008077,0.007571,0.007974,1027390,35962858.0
2018-08-24,0.008,0.008248,0.0078,0.008124,1496030,36636531.0
2018-08-25,0.008175,0.008264,0.007966,0.008221,696580,37075198.0
2018-08-26,0.008232,0.008546,0.007767,0.008461,2259010,38157592.0
2018-08-27,0.008487,0.009152,0.008463,0.009089,3846530,40990235.0
2018-08-28,0.009067,0.009732,0.00895,0.009594,3203470,43268626.0
2018-08-29,0.009602,0.009602,0.008688,0.008986,3686410,40526043.0
2018-08-30,0.008989,0.009102,0.008243,0.008715,1693970,39302763.0
2018-08-31,0.008658,0.009034,0.00863,0.008954,2057440,40380196.0
2018-09-01,0.008929,0.009732,0.008929,0.009584,2731260,43221047.0
2018-09-02,0.009537,0.009771,0.009049,0.009412,3028610,42447664.0
2018-09-03,0.009411,0.010516,0.009002,0.010243,8223680,46193314.0
2018-09-04,0.010294,0.010694,0.009893,0.010037,5327050,45266101.0
2018-09-05,0.010039,0.010229,0.007769,0.007769,4350320,35035150.0
2018-09-06,0.007865,0.008101,0.007408,0.008083,2238760,36450727.0
2018-09-07,0.008075,0.008252,0.007459,0.007533,1276570,33970163.0
2018-09-08,0.007541,0.007674,0.006943,0.007006,827382,31597654.0
2018-09-09,0.007007,0.007265,0.006708,0.006891,1233210,31077991.0
2018-09-10,0.006925,0.007004,0.006709,0.006769,996502,30525226.0
2018-09-11,0.006806,0.006908,0.006299,0.006537,802362,29481751.0
2018-09-12,0.006531,0.006651,0.006037,0.006383,1007880,28784312.0
2018-09-13,0.006328,0.006931,0.006328,0.006741,1523890,30400079.0
2018-09-14,0.006728,0.006917,0.006468,0.006626,1432180,29883122.0
2018-09-15,0.006648,0.007009,0.006596,0.00689,1070040,31072985.0
2018-09-16,0.006951,0.007812,0.006692,0.007475,3154390,33709001.0
2018-09-17,0.007479,0.008249,0.007034,0.00711,6329190,31842190.0
2018-09-18,0.007083,0.007869,0.006962,0.007806,4152280,34958000.0
2018-09-19,0.007806,0.007858,0.00716,0.007581,1837740,33947400.0
2018-09-20,0.007583,0.007854,0.007433,0.007854,3205470,35171745.0
2018-09-21,0.007776,0.008456,0.007651,0.008227,5543040,36841315.0
2018-09-22,0.008248,0.008278,0.007632,0.007794,1707640,34902291.0
2018-09-23,0.007833,0.008455,0.007762,0.008228,3424700,36848659.0
2018-09-24,0.008228,0.008719,0.007765,0.008065,4972810,36118172.0
2018-09-25,0.008069,0.008677,0.007504,0.008241,8581760,36905219.0
2018-09-26,0.008179,0.008366,0.007914,0.008055,1611360,36073166.0
2018-09-27,0.008046,0.008335,0.007794,0.008214,1574550,36784710.0
2018-09-28,0.00822,0.008455,0.007865,0.008057,2336540,36079435.0
2018-09-29,0.008372,0.008585,0.007925,0.008263,3462060,37005531.0
2018-09-30,0.008278,0.008336,0.008057,0.008199,1384380,36716372.0
2018-10-01,0.008169,0.008273,0.008025,0.008191,1071270,36682696.0
2018-10-02,0.008179,0.008326,0.008095,0.008258,1192180,36979468.0
