Date,Open,High,Low,Close,Volume,Market Cap
2018-01-01,2.04,2.17,1.77,2.17,40407,
2018-01-02,2.22,6.54,2.22,6.23,346642,4865957.0
2018-01-03,6.36,13.69,4.65,5.32,238072,4155737.0
2018-01-04,5.35,5.54,4.13,4.35,64986,3401217.0
2018-01-05,4.35,10.4,4.31,7.24,67261,5661699.0
2018-01-06,7.25,13.04,7.11,9.47,282674,7400339.0
2018-01-07,9.46,40.81,7.76,40.74,1429050,31839353.0
2018-01-08,34.2,39.54,15.03,23.71,355425,18530334.0
2018-01-09,23.64,26.03,8.64,11.97,272219,9359192.0
2018-01-10,11.89,11.89,4.08,4.95,185407,3870778.0
2018-01-11,5.69,15.88,4.76,13.07,466176,10216514.0
2018-01-12,12.01,14.17,10.38,12.01,181184,9384828.0
2018-01-13,11.99,12.58,9.25,10.4,118032,8132335.0
2018-01-14,10.41,11.47,7.47,8.86,81322,6924486.0
2018-01-15,8.49,9.71,8.21,8.43,66104,6589771.0
2018-01-16,8.44,8.44,4.82,7.7,90828,6677834.0
2018-01-17,7.66,7.86,3.81,5.99,137543,5357212.0
2018-01-18,6.01,7.51,5.41,5.53,60958,5100176.0
2018-01-19,5.47,7.18,5.03,5.21,34225,4954022.0
2018-01-20,5.27,7.29,5.14,6.42,39414,6280473.0
2018-01-21,6.43,6.43,4.82,4.92,24406,4953040.0
2018-01-22,4.99,5.01,4.06,4.22,61610,4365889.0
2018-01-23,4.22,4.79,3.91,4.23,52679,4490333.0
2018-01-24,4.23,5.03,4.02,4.6,76674,5009062.0
2018-01-25,4.67,6.52,4.63,6.03,213349,6739440.0
2018-01-26,6.02,6.25,4.76,5.12,41854,5864365.0
2018-01-27,5.12,5.31,4.51,4.74,34336,5556460.0
2018-01-28,4.76,5.26,4.52,4.88,31934,5856558.0
2018-01-29,5.03,5.63,4.11,4.38,56836,5379229.0
2018-01-30,4.38,4.63,3.58,4.0,31096,5027127.0
2018-01-31,4.01,4.51,3.43,3.65,30845,4691850.0
2018-02-01,3.66,4.08,3.02,3.18,58030,4173444.0
2018-02-02,3.13,4.37,2.71,3.75,87090,5030026.0
2018-02-03,3.65,4.51,3.25,3.57,33299,4884963.0
2018-02-04,3.43,4.1,3.28,3.44,65434,4798058.0
2018-02-05,3.41,3.48,2.76,2.87,23412,4080555.0
2018-02-06,2.87,3.7,2.33,3.3,69089,4779841.0
2018-02-07,3.02,3.52,2.9,2.99,50820,4420705.0
2018-02-08,2.98,3.53,2.88,2.88,39730,4337952.0
2018-02-09,2.89,3.23,2.61,3.05,30413,4669810.0
2018-02-10,3.05,3.46,2.86,3.28,41657,5119812.0
2018-02-11,3.28,3.28,2.42,2.45,10291,3892797.0
2018-02-12,2.47,3.3,2.47,2.78,19683,4488153.0
