Date,Open,High,Low,Close,Volume,Market Cap
2017-05-30,0.045572,0.22258,0.045572,0.093241,2688,39576
2017-05-31,0.093606,0.186359,0.093606,0.16682,4502,73930
2017-06-01,0.166804,0.244176,0.131459,0.242257,7633,108719
2017-06-02,0.242366,0.384726,0.21177,0.247747,7593,115527
2017-06-03,0.247638,0.626545,0.247062,0.583756,35246,281272
2017-06-04,0.582763,0.586214,0.28171,0.304126,11557,149545
2017-06-05,0.302193,0.469544,0.230549,0.349561,11646,177468
2017-06-06,0.35062,0.368024,0.174654,0.315308,9412,161036
2017-06-07,0.315388,0.484073,0.185781,0.353928,18135,188088
2017-06-08,0.355708,0.476613,0.27495,0.381384,6383,204046
2017-06-09,0.380725,0.49309,0.378998,0.474689,8465,254619
2017-06-10,0.475402,0.480338,0.203953,0.231695,4157,129313
2017-06-11,0.231562,0.445344,0.231452,0.400147,2947,223637
2017-06-12,0.399616,0.400824,0.242108,0.268283,1837,149966
2017-06-13,0.269102,0.331953,0.224131,0.270873,1411,151457
2017-06-14,0.269198,0.313919,0.212397,0.222599,887,124465
2017-06-15,0.222662,0.269264,0.198848,0.245711,1765,137388
2017-06-16,0.244419,0.371878,0.240538,0.271783,2944,151966
2017-06-17,0.271383,0.349721,0.22517,0.253922,2297,141979
2017-06-18,0.253797,0.343426,0.239933,0.25657,830,143459
2017-06-19,0.257844,0.344375,0.256545,0.285097,2106,159410
2017-06-20,0.282899,0.285347,0.202363,0.252798,2958,141350
2017-06-21,0.252798,0.34415,0.224845,0.34415,4024,192914
2017-06-22,0.34415,0.34415,0.23736,0.30688,1543,179721
2017-06-23,0.30688,0.37322,0.303483,0.36862,1368,218568
2017-06-24,0.368578,0.370767,0.254483,0.275389,1085,166214
2017-06-25,0.274758,0.286639,0.244986,0.273897,2541,168512
2017-06-26,0.273754,0.3454,0.232883,0.32152,7349,201022
2017-06-27,0.331279,0.335749,0.232484,0.277946,1489,177122
2017-06-28,0.279758,0.279758,0.243712,0.245322,2965,158774
2017-06-29,0.245095,0.256422,0.239571,0.243105,2009,159914
2017-06-30,0.243589,0.32903,0.239735,0.293909,3858,196390
2017-07-01,0.293796,0.295426,0.234967,0.287673,2668,195399
2017-07-02,0.287638,0.292446,0.23017,0.259738,2183,179283
2017-07-03,0.258782,0.277312,0.225685,0.259316,1803,181863
2017-07-04,0.258726,0.272918,0.206659,0.254018,2783,181009
2017-07-05,0.253881,0.25944,0.181537,0.185038,2194,133833
2017-07-06,0.185129,0.291497,0.172449,0.25966,4652,190538
2017-07-07,0.25985,0.292252,0.248395,0.273825,7584,203912
2017-07-08,0.274055,0.284431,0.235423,0.240649,5656,180931
2017-07-09,0.240864,0.279796,0.202958,0.221881,2645,169256
2017-07-10,0.222313,0.254469,0.18905,0.228342,3097,176640
2017-07-11,0.227856,0.227856,0.185691,0.185695,2459,145717
2017-07-12,0.185419,0.190762,0.16378,0.174759,1547,138958
2017-07-13,0.17489,0.290009,0.164428,0.234297,4734,188766
2017-07-14,0.248125,0.278062,0.209887,0.247465,12527,202012
2017-07-15,0.247041,0.258071,0.183653,0.199373,6097,164955
2017-07-16,0.198774,0.258369,0.172163,0.231103,5686,193773
2017-07-17,0.230847,0.281927,0.207561,0.268564,6764,228165
2017-07-18,0.269256,0.313015,0.247341,0.269104,6884,231724
2017-07-19,0.269532,0.462574,0.26371,0.360203,12836,314319
2017-07-20,0.359121,0.468732,0.330777,0.344469,7344,304634
2017-07-21,0.347023,0.455362,0.315597,0.32019,3875,286472
2017-07-22,0.320126,0.407128,0.299348,0.353241,4348,319898
2017-07-23,0.353242,0.378911,0.311054,0.37828,3885,346846
2017-07-24,0.377841,0.377841,0.331275,0.358869,3623,332872
2017-07-25,0.345261,0.345261,0.271618,0.289818,2536,271995
2017-07-26,0.28995,0.295119,0.254989,0.271908,1483,258136
2017-07-27,0.272679,0.320155,0.265708,0.302865,6809,290811
2017-07-28,0.303783,0.326959,0.285994,0.300946,5372,292310
2017-07-29,0.299805,0.307393,0.280282,0.293445,3133,288189
2017-07-30,0.293404,0.298012,0.271887,0.29316,1321,291033
2017-07-31,0.293461,0.301701,0.274567,0.2921,4630,293224
2017-08-01,0.292241,0.305752,0.266413,0.300283,2812,304782
2017-08-02,0.300226,0.34366,0.289065,0.299148,12696,306722
2017-08-03,0.299682,0.333496,0.291955,0.302186,2853,313105
2017-08-04,0.302111,0.316609,0.298965,0.30946,3331,324197
2017-08-05,0.309323,0.383694,0.309094,0.34014,3839,360083
2017-08-06,0.340223,0.354949,0.317513,0.319444,3803,341496
2017-08-07,0.31873,0.340078,0.305981,0.322464,11701,348005
2017-08-08,0.32279,0.41848,0.320121,0.359519,9283,392057
2017-08-09,0.411138,0.411138,0.344746,0.348139,2585,383501
2017-08-10,0.348172,0.375362,0.320446,0.331724,2591,368890
2017-08-11,0.331705,0.352412,0.327533,0.347711,6596,390529
2017-08-12,0.34744,0.381059,0.342549,0.380398,4527,431100
2017-08-13,0.380045,0.386476,0.352473,0.361326,2903,413556
2017-08-14,0.345227,0.348754,0.258322,0.313775,8931,362425
2017-08-15,0.314619,0.419624,0.267887,0.297702,3475,347070
2017-08-16,0.298029,0.414878,0.295468,0.354287,808,416621
2017-08-17,0.35396,0.355264,0.1857,0.291447,7138,345952
2017-08-18,0.290557,0.298783,0.226339,0.23414,1252,280565
2017-08-19,0.23394,0.279182,0.226645,0.249885,1210,302151
2017-08-20,0.248719,0.255185,0.21282,0.21282,2359,259628
2017-08-21,0.212012,0.386533,0.173979,0.291393,10211,358765
2017-08-22,0.292068,0.336201,0.261869,0.287223,908,356747
2017-08-23,0.286638,0.342781,0.205274,0.236046,1394,295826
2017-08-24,0.236149,0.289334,0.195984,0.216779,837,274100
2017-08-25,0.216437,0.298396,0.200357,0.218461,1523,278632
2017-08-26,0.218881,0.286715,0.192391,0.221527,3637,284527
2017-08-27,0.221469,0.272118,0.221382,0.239803,3828,310579
2017-08-28,0.240043,0.263556,0.212483,0.254997,3681,333073
2017-08-29,0.255431,0.278496,0.223783,0.232171,1001,305747
2017-08-30,0.231862,0.275626,0.22867,0.270523,1651,359300
2017-08-31,0.270051,0.280117,0.238365,0.244587,1365,327412
2017-09-01,0.244632,0.291719,0.242844,0.245985,612,332007
2017-09-02,0.246293,0.249079,0.220883,0.225706,613,307041
2017-09-03,0.225851,0.236796,0.197386,0.205476,448,281586
2017-09-04,0.205545,0.238353,0.199894,0.22229,61,307096
2017-09-05,0.223443,0.233818,0.196876,0.229491,529,319556
2017-09-06,0.229752,0.25066,0.19164,0.207087,1975,290553
