Date,Open,High,Low,Close,Volume,Market Cap
2017-07-06,0.036138,0.044973,0.026812,0.042554,35660,
2017-07-07,0.037725,0.06993,0.020662,0.038423,15793,
2017-07-08,0.038501,0.039561,0.036948,0.039219,16120,
2017-07-10,0.020247,0.027275,0.014681,0.016784,862,
2017-07-11,0.016696,0.019166,0.012854,0.014453,361,
2017-07-12,0.014419,0.026009,0.012106,0.025478,335,
2017-07-13,0.025731,0.026626,0.014812,0.020935,169,
2017-07-14,0.02089,0.021291,0.014297,0.015014,791,
2017-07-15,0.014987,0.016432,0.011392,0.011392,309,
2017-07-16,0.011342,0.01406,0.00987,0.012802,6,
2017-07-17,0.012716,0.015171,0.012691,0.014345,317,
2017-07-18,0.014414,0.023953,0.013601,0.023113,525,
2017-07-19,0.023379,0.028255,0.019225,0.019643,646,
2017-07-20,0.019723,0.023515,0.016996,0.022393,75,
2017-07-21,0.022647,0.02386,0.018119,0.019943,77,
2017-07-22,0.01996,0.021493,0.01669,0.017602,302,
2017-07-23,0.017574,0.026133,0.017484,0.025749,325,
2017-07-24,0.02581,0.025915,0.01971,0.019822,62,
2017-07-25,0.019818,0.021797,0.017617,0.01998,33,
2017-07-26,0.0198,0.022169,0.018765,0.02042,355,
2017-07-27,0.020489,0.020546,0.016276,0.020079,312,
2017-07-28,0.020104,0.02791,0.016568,0.021419,4648,
2017-07-29,0.021452,0.027498,0.017831,0.024745,76,
2017-07-30,0.024687,0.025137,0.021638,0.021704,28,
2017-07-31,0.021747,0.022313,0.018449,0.018678,41,
2017-08-01,0.018707,0.023112,0.018517,0.022871,76,
2017-08-02,0.022818,0.028984,0.020183,0.020272,1426,
2017-08-03,0.020238,0.030667,0.018755,0.026702,1578,
2017-08-04,0.026709,0.027058,0.018208,0.024731,622,2427734.0
2017-08-05,0.024721,0.046824,0.019401,0.022623,2376,2220829.0
2017-08-06,0.022793,0.02989,0.020224,0.029218,838,2868185.0
2017-08-07,0.029164,0.038681,0.025041,0.032653,1768,3205405.0
2017-08-08,0.032656,0.035473,0.017093,0.021564,219234,2116861.0
2017-08-09,0.02221,0.027944,0.018771,0.027503,395719,2699889.0
2017-08-10,0.026876,0.034088,0.023509,0.029564,396719,2902199.0
2017-08-11,0.0298,0.030034,0.024724,0.029851,214985,2930373.0
2017-08-12,0.029739,0.031181,0.026233,0.031181,165100,3060904.0
2017-08-13,0.030895,0.034815,0.02717,0.030161,364817,2960746.0
2017-08-14,0.029359,0.039466,0.028671,0.038029,366455,3733194.0
2017-08-15,0.036963,0.069703,0.03399,0.05394,618832,5295074.0
2017-08-16,0.053535,0.084048,0.052324,0.0836,663256,8206629.0
2017-08-17,0.08434,0.239475,0.065203,0.169784,1653060,16667017.0
2017-08-18,0.168756,0.170545,0.070483,0.089726,1500770,8808043.0
2017-08-19,0.085583,0.102955,0.074253,0.07906,772523,7761034.0
2017-08-20,0.080358,0.084908,0.060859,0.081698,593451,8020005.0
2017-08-21,0.082486,0.104446,0.075536,0.075536,762239,7415028.0
2017-08-22,0.077527,0.083833,0.069199,0.071944,587353,7062416.0
2017-08-23,0.071926,0.089938,0.062188,0.079837,653586,7837309.0
2017-08-24,0.078756,0.083644,0.069849,0.074421,466699,7305602.0
2017-08-25,0.0744,0.081291,0.070358,0.074958,577037,7358298.0
2017-08-26,0.075049,0.076201,0.059645,0.059645,466967,5855062.0
2017-08-27,0.061366,0.066145,0.05569,0.059239,507878,5815305.0
2017-08-28,0.059296,0.064126,0.043507,0.05567,393460,5464882.0
2017-08-29,0.056237,0.070072,0.052044,0.065305,400774,6410721.0
2017-08-30,0.064885,0.069582,0.04924,0.059153,573897,6095068.0
2017-08-31,0.058797,0.060261,0.050242,0.052738,425623,5434040.0
2017-09-01,0.052738,0.074167,0.039813,0.071549,463277,7372345.0
2017-09-02,0.071756,0.071756,0.045175,0.049114,112970,5060666.0
2017-09-03,0.049007,0.053998,0.043098,0.045647,52280,4703429.0
2017-09-04,0.045665,0.0464,0.03409,0.045142,74267,4651414.0
2017-09-05,0.045007,0.052964,0.037195,0.049288,71818,5078807.0
2017-09-06,0.051565,0.054231,0.048444,0.050903,75998,5245295.0
2017-09-07,0.05062,0.058313,0.046927,0.053287,64940,5490920.0
2017-09-08,0.053319,0.0583,0.04552,0.046579,62509,4799712.0
2017-09-09,0.046657,0.047955,0.042691,0.044298,18300,4564638.0
2017-09-10,0.044293,0.057004,0.040881,0.043739,21444,4507078.0
2017-09-11,0.043865,0.045438,0.039416,0.045429,61159,4681201.0
2017-09-12,0.045429,0.047219,0.038301,0.041495,77390,4275827.0
2017-09-13,0.041612,0.041932,0.034685,0.037784,53669,3893451.0
2017-09-14,0.038431,0.039442,0.030729,0.030785,34229,3172165.0
2017-09-15,0.031105,0.035186,0.027642,0.032155,35904,3313428.0
2017-09-16,0.032112,0.037625,0.031668,0.033216,104657,3422654.0
2017-09-17,0.033167,0.033611,0.029651,0.033593,86253,3461574.0
2017-09-18,0.033581,0.039309,0.033343,0.037969,55530,3975789.0
2017-09-19,0.038085,0.03818,0.034702,0.035895,9325,3758659.0
2017-09-20,0.035864,0.046185,0.034382,0.042721,168360,4473402.0
2017-09-21,0.042566,0.043777,0.036433,0.038218,214802,4001894.0
2017-09-22,0.038203,0.03983,0.034185,0.036115,409591,3781664.0
2017-09-23,0.036334,0.037998,0.033581,0.036011,40439,3770742.0
2017-09-24,0.035971,0.037395,0.033327,0.033327,184108,3489737.0
2017-09-25,0.034206,0.039063,0.033242,0.038069,88171,3986302.0
2017-09-26,0.038056,0.038621,0.035338,0.03664,128377,3836627.0
2017-09-27,0.036331,0.037328,0.030142,0.037273,1474050,3902962.0
2017-09-28,0.036951,0.03833,0.031076,0.033474,88589,3505119.0
2017-09-29,0.033424,0.035332,0.029895,0.032835,47708,3438261.0
2017-09-30,0.032404,0.036246,0.032399,0.034598,45825,3622847.0
2017-10-01,0.03461,0.035947,0.030875,0.033494,53081,3507203.0
2017-10-02,0.033493,0.038691,0.032893,0.033418,147993,3499256.0
2017-10-03,0.03317,0.035215,0.03076,0.031151,52268,3261842.0
2017-10-04,0.031221,0.032564,0.030338,0.0305,128432,3193706.0
2017-10-05,0.0305,0.031237,0.027526,0.03044,111559,3187402.0
2017-10-06,0.030447,0.031261,0.029343,0.031261,104097,3273434.0
2017-10-07,0.03121,0.033073,0.029876,0.031193,90062,3266303.0
2017-10-08,0.031148,0.032983,0.027149,0.031087,160402,3255193.0
2017-10-09,0.03109,0.031095,0.026866,0.027416,160028,2870764.0
2017-10-10,0.027481,0.028628,0.026196,0.02722,114091,2850250.0
2017-10-11,0.027219,0.032671,0.025876,0.032655,115770,3419318.0
