Date,Open,High,Low,Close,Volume,Market Cap
2018-10-30,0.007296,0.010728,0.007169,0.010404,130897,
2018-10-31,0.010436,0.011038,0.009633,0.010719,140201,
2018-11-01,0.010719,0.010797,0.009604,0.009976,102595,
2018-11-02,0.010152,0.010261,0.0091,0.009544,53308,
2018-11-03,0.009354,0.009516,0.00792,0.00841,42606,
2018-11-04,0.00841,0.008779,0.007872,0.008777,28118,
2018-11-05,0.008777,0.008881,0.007921,0.007957,27676,
2018-11-06,0.00799,0.009859,0.007867,0.009228,57008,
2018-11-07,0.00922,0.010039,0.008936,0.009109,58658,
2018-11-08,0.009113,0.009269,0.008139,0.008194,35795,
2018-11-09,0.008195,0.008857,0.006997,0.008406,32376,
2018-11-10,0.008405,0.009532,0.008246,0.009019,59588,
2018-11-11,0.008874,0.009724,0.008777,0.009028,46476,
2018-11-12,0.009102,0.009264,0.008742,0.008932,35939,2691964.0
2018-11-13,0.008852,0.009058,0.008591,0.008943,26511,2695264.0
2018-11-14,0.00892,0.00916,0.007798,0.008178,62888,2522666.0
2018-11-15,0.008223,0.008732,0.007709,0.008641,62783,2703638.0
2018-11-16,0.008638,0.009244,0.008577,0.00888,56779,2812083.0
2018-11-17,0.008904,0.00938,0.008809,0.009265,42261,2973632.0
2018-11-18,0.009349,0.010373,0.009242,0.010194,80566,3310638.0
2018-11-19,0.010375,0.010434,0.008005,0.008672,144185,2846345.0
2018-11-20,0.008622,0.00884,0.007,0.007724,157509,2570144.0
2018-11-21,0.007675,0.008062,0.007236,0.007735,110246,2604215.0
2018-11-22,0.007704,0.007779,0.007336,0.007432,113916,2531647.0
2018-11-23,0.007394,0.007854,0.00696,0.007713,106928,2660241.0
2018-11-24,0.007709,0.007921,0.006658,0.006871,80532,2396318.0
2018-11-25,0.006804,0.007168,0.005961,0.006866,93628,2422622.0
2018-11-26,0.006864,0.007181,0.006283,0.006612,94719,2358908.0
2018-11-27,0.006607,0.006865,0.006403,0.006791,99842,2447501.0
2018-11-28,0.006797,0.0078,0.006787,0.007487,77677,2728854.0
2018-11-29,0.007518,0.007589,0.006996,0.007179,118969,2642558.0
2018-11-30,0.007196,0.007196,0.006457,0.006574,89259,2448124.0
2018-12-01,0.006593,0.007077,0.006447,0.006755,142879,2541025.0
2018-12-02,0.006749,0.00701,0.006337,0.006583,51130,2503012.0
2018-12-03,0.006622,0.006654,0.005587,0.0056,83883,2150851.0
2018-12-04,0.005586,0.005757,0.005311,0.005388,29617,2090427.0
2018-12-05,0.005391,0.005391,0.004857,0.004857,17877,1901904.0
2018-12-06,0.004855,0.005001,0.003964,0.003964,24300,1566404.0
2018-12-07,0.003963,0.0051,0.00322,0.004603,42698,1841332.0
2018-12-08,0.004577,0.004692,0.003802,0.004242,23789,1705886.0
2018-12-09,0.004231,0.004402,0.004083,0.004391,46465,1775478.0
2018-12-10,0.004384,0.004434,0.003629,0.003796,22223,1540122.0
2018-12-11,0.003797,0.003797,0.003439,0.003475,16275,1416761.0
2018-12-12,0.003472,0.003655,0.003448,0.003586,21551,1468987.0
2018-12-13,0.003588,0.003588,0.003338,0.003338,24142,1371780.0
2018-12-14,0.003345,0.003383,0.003155,0.003204,27234,1325211.0
2018-12-15,0.003207,0.003291,0.00306,0.003102,16445,1288941.0
2018-12-16,0.003101,0.003243,0.002525,0.002548,30720,1063500.0
2018-12-17,0.002689,0.00295,0.002393,0.002696,22329,1129990.0
2018-12-18,0.002697,0.003252,0.002534,0.003252,30026,1370755.0
2018-12-19,0.003253,0.003374,0.00304,0.003331,27371,1410198.0
2018-12-20,0.003322,0.004076,0.003275,0.003865,30882,1644797.0
2018-12-21,0.003853,0.004054,0.003224,0.003302,24684,1410810.0
2018-12-22,0.003305,0.003501,0.003115,0.003412,28626,1464436.0
2018-12-23,0.00342,0.003441,0.003186,0.003415,22744,1471398.0
2018-12-24,0.003416,0.003555,0.002954,0.002956,32470,1278931.0
2018-12-25,0.003004,0.003014,0.002635,0.002731,28511,1186520.0
2018-12-26,0.002736,0.002941,0.002633,0.002643,22385,1153645.0
2018-12-27,0.002641,0.002739,0.002548,0.002572,27154,1130131.0
2018-12-28,0.002574,0.002902,0.002093,0.002093,25445,923791.0
2018-12-29,0.002096,0.002923,0.002095,0.002694,33048,1193910.0
2018-12-30,0.002697,0.002803,0.002632,0.002732,22761,1215538.0
2018-12-31,0.002735,0.002845,0.00262,0.002765,55564,1235210.0
2019-01-01,0.002771,0.00286,0.002623,0.002673,37995,1198722.0
2019-01-02,0.002692,0.002765,0.002535,0.002678,14269,1205675.0
2019-01-03,0.00268,0.002727,0.002567,0.002603,37593,1176505.0
2019-01-04,0.002605,0.00262,0.002291,0.002387,21339,1083233.0
2019-01-05,0.002381,0.002401,0.002049,0.002054,24630,936105.0
2019-01-06,0.002054,0.002669,0.00193,0.002231,31282,1021137.0
2019-01-07,0.002232,0.00224,0.001815,0.001995,26986,916652.0
2019-01-08,0.001998,0.002282,0.001924,0.002233,23200,1034635.0
2019-01-09,0.002237,0.00269,0.002112,0.002498,32242,1161767.0
2019-01-10,0.0025,0.002659,0.002055,0.00212,21362,989786.0
2019-01-11,0.00212,0.002196,0.001968,0.002076,27498,972588.0
2019-01-12,0.002074,0.002082,0.001712,0.001971,13628,927109.0
2019-01-13,0.001969,0.00206,0.001803,0.001942,22309,916669.0
2019-01-14,0.001943,0.002159,0.001805,0.00197,8066,933882.0
2019-01-15,0.001969,0.001995,0.00182,0.001837,4250,873923.0
2019-01-16,0.001833,0.001911,0.001799,0.001812,3402,865503.0
2019-01-17,0.001813,0.001913,0.001745,0.001878,5412,900023.0
2019-01-18,0.001853,0.001999,0.001809,0.00189,5945,909119.0
2019-01-19,0.00189,0.001954,0.001849,0.00189,2969,912565.0
2019-01-20,0.001888,0.001933,0.001735,0.001782,4712,863665.0
2019-01-21,0.001784,0.001785,0.001672,0.001699,10489,826724.0
2019-01-22,0.0017,0.001772,0.00164,0.001689,11930,824931.0
2019-01-23,0.001689,0.001847,0.001656,0.001724,7115,845029.0
2019-01-24,0.001724,0.001874,0.001664,0.001766,12650,868831.0
2019-01-25,0.00177,0.001783,0.001582,0.00161,7955,795299.0
2019-01-26,0.00161,0.00164,0.001141,0.001441,14474,714361.0
2019-01-27,0.00145,0.00145,0.001125,0.001163,9367,578814.0
2019-01-28,0.001165,0.001353,0.001151,0.001252,4760,625028.0
2019-01-29,0.001253,0.001335,0.0012,0.0012,2516,601466.0
2019-01-30,0.001201,0.001357,0.001186,0.001277,3484,641846.0
2019-01-31,0.001276,0.001406,0.001237,0.001359,4402,685555.0
2019-02-01,0.001361,0.001576,0.001266,0.001393,6996,705080.0
2019-02-02,0.001391,0.001693,0.001362,0.001642,11891,834322.0
2019-02-03,0.001671,0.001757,0.001522,0.001656,24958,844114.0
2019-02-04,0.001661,0.001712,0.001412,0.001492,9819,763271.0
2019-02-05,0.001487,0.001487,0.001332,0.001376,5587,706262.0
2019-02-06,0.00138,0.001388,0.001265,0.001325,4266,682496.0
2019-02-07,0.001325,0.001349,0.001274,0.001276,2177,659652.0
2019-02-08,0.001277,0.00153,0.001271,0.001471,14757,765632.0
2019-02-09,0.00147,0.001579,0.001426,0.001461,9759,765098.0
2019-02-10,0.001462,0.00149,0.001406,0.001458,5228,766352.0
2019-02-11,0.001457,0.001533,0.001424,0.001427,8303,752134.0
2019-02-12,0.001429,0.00149,0.001414,0.001439,7871,761343.0
2019-02-13,0.001439,0.001517,0.001406,0.001453,19199,771082.0
2019-02-14,0.00145,0.001706,0.00145,0.001609,28227,856613.0
2019-02-15,0.001611,0.001669,0.001528,0.001596,9270,852681.0
2019-02-16,0.001597,0.00221,0.001596,0.002096,19960,1123238.0
2019-02-17,0.002095,0.002711,0.001964,0.002527,29057,1358896.0
2019-02-18,0.002528,0.003028,0.002274,0.002861,22842,1543523.0
2019-02-19,0.002864,0.002936,0.002452,0.00255,23633,1378086.0
2019-02-20,0.002548,0.002844,0.002537,0.002723,10245,1473957.0
2019-02-21,0.002722,0.002726,0.002167,0.002248,10551,1219038.0
2019-02-22,0.002244,0.002369,0.002168,0.002235,3701,1213760.0
2019-02-23,0.002231,0.0024,0.002174,0.002336,3946,1270654.0
2019-02-24,0.002338,0.002533,0.002006,0.00208,5707,1133341.0
2019-02-25,0.002084,0.002088,0.001946,0.002042,3773,1114505.0
2019-02-26,0.002036,0.002062,0.001959,0.002036,2197,1112984.0
2019-02-27,0.002038,0.002136,0.001959,0.00204,2936,1116743.0
2019-02-28,0.002042,0.002371,0.00204,0.002241,6694,1228952.0
2019-03-01,0.002238,0.002322,0.002199,0.002199,3714,1207601.0
2019-03-02,0.002195,0.002261,0.002104,0.002198,2888,1209320.0
2019-03-03,0.002196,0.002275,0.002083,0.002141,5804,1179443.0
2019-03-04,0.002143,0.002235,0.002059,0.002159,4262,1199745.0
2019-03-05,0.002161,0.002387,0.002151,0.002297,6537,1278121.0
2019-03-06,0.002293,0.002355,0.002253,0.002328,4485,1297387.0
2019-03-07,0.002328,0.002795,0.002315,0.002553,16636,1425178.0
2019-03-08,0.002556,0.002946,0.002385,0.002616,11349,1462541.0
2019-03-09,0.002683,0.003328,0.00258,0.002796,17827,1565925.0
2019-03-10,0.002799,0.003268,0.002781,0.002913,10819,1633881.0
2019-03-11,0.002915,0.003057,0.002657,0.0028,10777,1573001.0
2019-03-12,0.002778,0.002914,0.002631,0.002735,6587,1539167.0
2019-03-13,0.002746,0.002851,0.002726,0.002738,2846,1543325.0
