Date,Open,High,Low,Close,Volume,Market Cap
2018-02-15,0.031225,0.036684,0.031172,0.036666,35294,18332850
2018-02-16,0.036626,0.230688,0.036248,0.041399,59951,20699350
2018-02-17,0.041306,0.046436,0.036285,0.04056,41444,20280150
2018-02-18,0.040276,0.045087,0.038133,0.039006,17380,19502950
2018-02-19,0.039006,0.041808,0.036573,0.037504,18078,18751800
2018-02-20,0.037582,0.040612,0.031945,0.032053,18470,16026350
2018-02-21,0.032174,0.035956,0.020578,0.028617,144061,14308700
2018-02-22,0.028543,0.029937,0.01855,0.023653,93690,11826500
2018-02-23,0.023587,0.028284,0.021661,0.027005,101327,13502700
2018-02-24,0.026955,0.027644,0.022864,0.024469,26900,12234350
2018-02-25,0.02443,0.025462,0.019794,0.021729,45852,10864300
2018-02-26,0.021708,0.024882,0.02031,0.021375,49349,10687400
2018-02-27,0.021406,0.041622,0.018267,0.02033,51898,10165200
2018-02-28,0.021827,0.171637,0.01653,0.016547,20102,8273250
2018-03-01,0.016522,0.018688,0.016189,0.018405,22778,9202400
2018-03-02,0.018385,0.018385,0.014616,0.016552,29630,8275900
2018-03-03,0.016545,0.046427,0.015131,0.016429,10462,8214600
2018-03-04,0.016497,0.018223,0.015456,0.018145,25611,9072300
2018-03-05,0.018146,0.019255,0.011401,0.013444,34435,6721900
2018-03-06,0.013374,0.016359,0.013242,0.01466,19640,7330250
2018-03-07,0.014716,0.016566,0.014004,0.01567,16574,7834950
2018-03-08,0.015655,0.016444,0.014136,0.01455,28736,7275250
2018-03-09,0.014523,0.014655,0.011038,0.013099,27760,6549600
2018-03-10,0.013066,0.015196,0.012283,0.01339,39823,6694950
2018-03-11,0.013319,0.013319,0.011489,0.011493,23443,5746450
2018-03-12,0.011509,0.013146,0.010924,0.011127,13927,5563750
2018-03-13,0.011119,0.017221,0.011046,0.0122,64388,6100050
2018-03-14,0.013414,0.015117,0.011254,0.014936,22891,7468100
2018-03-15,0.014998,0.017057,0.010484,0.016512,115993,8256000
2018-03-16,0.016954,0.017002,0.014257,0.016259,27428,8129600
2018-03-17,0.01618,0.016406,0.009347,0.014515,80673,7257600
2018-03-18,0.014399,0.015572,0.009063,0.015252,49683,7626150
2018-03-19,0.015435,0.017835,0.01275,0.016528,43724,8264000
2018-03-20,0.01551,0.017084,0.011182,0.013672,45068,6835900
2018-03-21,0.013779,0.015834,0.012346,0.014519,31143,7259450
2018-03-22,0.014568,0.015333,0.012729,0.013637,29673,6818350
2018-03-23,0.013649,0.014424,0.012049,0.013652,13612,6825850
2018-03-24,0.01418,0.014887,0.013296,0.014198,28435,7098950
2018-03-25,0.014082,0.016369,0.013718,0.015198,46159,7598950
2018-03-26,0.015162,0.015604,0.013331,0.014904,30796,7452000
2018-03-27,0.014977,0.019374,0.013998,0.015611,55379,7805650
2018-03-28,0.015611,0.022027,0.015506,0.021947,84745,10973700
2018-03-29,0.02201,0.025243,0.019388,0.019451,114390,9725700
2018-03-30,0.019301,0.024576,0.017392,0.024372,89678,12186000
2018-03-31,0.024355,0.030531,0.024168,0.02775,80544,13874900
2018-04-01,0.027123,0.033798,0.026218,0.032924,144620,16462050
2018-04-02,0.032867,0.035175,0.030568,0.032433,117316,16216400
2018-04-03,0.033242,0.034599,0.021872,0.028528,291534,14263750
2018-04-04,0.028578,0.028578,0.016462,0.024289,117679,12144350
2018-04-05,0.024308,0.02494,0.017694,0.022183,36483,11091350
2018-04-06,0.020763,0.022177,0.018919,0.020987,8690,10493400
2018-04-07,0.020529,0.023369,0.017011,0.01819,101496,9095100
2018-04-08,0.018226,0.021184,0.01821,0.020389,22778,10194450
2018-04-09,0.02054,0.02129,0.017618,0.019004,41156,9501900
2018-04-10,0.019085,0.020036,0.017925,0.019724,28676,9861900
2018-04-11,0.01974,0.020414,0.018429,0.018725,33882,9362650
2018-04-12,0.018788,0.023026,0.018402,0.022757,85262,11378550
2018-04-13,0.022782,0.024179,0.020303,0.020622,76235,10310900
2018-04-14,0.020622,0.023323,0.020218,0.022545,32883,11272750
2018-04-15,0.022538,0.026056,0.020501,0.024419,38007,12209700
2018-04-16,0.024198,0.02501,0.020657,0.02216,66314,11079800
2018-04-17,0.022166,0.023519,0.021123,0.021689,106569,10844700
2018-04-18,0.021692,0.0238,0.020602,0.023001,108091,11500400
2018-04-19,0.022995,0.025768,0.020836,0.024717,69669,12358500
2018-04-20,0.024239,0.044999,0.023708,0.03262,258386,16309850
2018-04-21,0.033783,0.043352,0.030358,0.032816,227624,16408000
2018-04-22,0.032816,0.035461,0.032191,0.032735,33535,16367600
2018-04-23,0.032974,0.037758,0.0327,0.037076,82387,18537900
2018-04-24,0.037217,0.040562,0.031392,0.038845,98379,19422700
2018-04-25,0.038377,0.039291,0.029437,0.032599,143229,16299650
2018-04-26,0.032728,0.037102,0.031632,0.037102,105079,18550800
2018-04-27,0.036795,0.039716,0.034409,0.03582,15130,17910200
2018-04-28,0.035625,0.043436,0.034023,0.043436,42672,21717850
2018-04-29,0.043501,0.047598,0.037135,0.044708,69211,22354100
2018-04-30,0.04487,0.045099,0.039087,0.041372,7998,20686200
2018-05-01,0.041479,0.043966,0.037608,0.040466,41698,20233200
2018-05-02,0.040451,0.043197,0.039327,0.041701,16828,20850300
2018-05-03,0.0417,0.041711,0.036721,0.040075,33593,20037350
2018-05-04,0.040064,0.040064,0.034194,0.035673,69576,17836550
2018-05-05,0.035668,0.037301,0.030675,0.036339,43316,18169300
2018-05-06,0.036339,0.037248,0.029801,0.033185,50981,16592450
2018-05-07,0.033183,0.034046,0.03081,0.032819,56805,16409700
2018-05-08,0.032825,0.034367,0.029128,0.032719,18619,16359450
2018-05-09,0.032713,0.032713,0.028954,0.029547,2700,14773450
2018-05-10,0.030458,0.031986,0.023568,0.028725,60374,14362500
2018-05-11,0.028735,0.028735,0.022762,0.026006,16628,13002750
2018-05-12,0.025992,0.029138,0.024144,0.027437,27525,13718650
2018-05-13,0.027546,0.02993,0.021215,0.029495,69770,14747550
2018-05-14,0.029394,0.029623,0.024875,0.026859,5197,13429650
2018-05-15,0.026858,0.034021,0.026549,0.026627,47758,13313450
2018-05-16,0.027232,0.028143,0.024831,0.028143,8611,14071450
