Date,Open,High,Low,Close,Volume,Market Cap
2015-12-04,0.002216,0.002239,0.002216,0.002234,241,
2015-12-05,0.002237,0.002354,0.002234,0.002332,58,
2015-12-07,0.003356,0.004746,0.00293,0.004735,132,
2015-12-08,0.004737,0.004744,0.002394,0.00256,415,
2015-12-09,0.002553,0.002606,0.002503,0.002555,8,
2015-12-10,0.002558,0.003817,0.002537,0.003782,198,
2015-12-11,0.003779,0.003851,0.003779,0.003834,12,
2015-12-14,0.004806,0.007939,0.003604,0.005543,1012,
2015-12-15,0.00554,0.005728,0.004117,0.005114,2,945045.0
2015-12-16,0.005113,0.005113,0.003479,0.003485,4,643989.0
2015-12-17,0.003484,0.004473,0.002771,0.004415,20,815862.0
2015-12-18,0.004413,0.004438,0.002591,0.003505,34,647713.0
2015-12-19,0.003504,0.003939,0.002613,0.003939,222,727924.0
2015-12-20,0.003938,0.004386,0.003905,0.004206,13,777178.0
2015-12-21,0.004207,0.004207,0.004059,0.004157,13,768284.0
2015-12-24,0.002866,0.004472,0.002861,0.004454,14,823155.0
2015-12-25,0.004453,0.004487,0.004426,0.004448,2,821898.0
2015-12-26,0.004516,0.00456,0.004515,0.00454,18,838981.0
2015-12-27,0.004532,0.004613,0.003758,0.0046,26,850137.0
2015-12-28,0.004606,0.004676,0.004603,0.004611,23,852076.0
2015-12-29,0.004677,0.00468,0.004288,0.00433,1,800153.0
2015-12-30,0.004333,0.006175,0.004312,0.006157,202,1137777.0
2015-12-31,0.00615,0.007784,0.004568,0.007742,269,1430646.0
2016-01-01,0.007744,0.007831,0.006715,0.006836,98,1263370.0
2016-01-02,0.006836,0.007832,0.006804,0.007802,265,1441787.0
2016-01-03,0.007804,0.012047,0.00584,0.01204,339,2225047.0
2016-01-04,0.012042,0.012051,0.005861,0.011698,557,2161753.0
2016-01-05,0.011697,0.011725,0.008638,0.008885,1444,1642026.0
2016-01-06,0.008883,0.009477,0.006014,0.007617,1487,1407550.0
2016-01-07,0.007633,0.007959,0.006664,0.006958,167,1285792.0
2016-01-08,0.00695,0.007021,0.004883,0.00683,836,1262217.0
2016-01-09,0.006832,0.008944,0.006445,0.006445,69,1191099.0
2016-01-10,0.006455,0.008888,0.006349,0.008888,908,1642528.0
2016-01-11,0.008902,0.010312,0.007884,0.010296,1200,1902682.0
2016-01-12,0.01029,0.010301,0.00846,0.010034,1134,1854265.0
2016-01-13,0.01001,0.010031,0.009112,0.009612,852,1776226.0
2016-01-14,0.00961,0.009942,0.008557,0.009898,317,1829219.0
2016-01-15,0.009896,0.009896,0.007736,0.008219,17,1518928.0
2016-01-16,0.008236,0.008568,0.007606,0.008282,9,1530447.0
2016-01-17,0.008273,0.008355,0.008123,0.008143,28,1504821.0
2016-01-18,0.008131,0.008732,0.008131,0.008711,1,1609845.0
2016-01-19,0.008708,0.008711,0.00778,0.007801,3,1441562.0
2016-01-20,0.007792,0.008726,0.007728,0.008623,2,1593553.0
2016-01-21,0.008611,0.009376,0.005194,0.008636,841,1595936.0
2016-01-22,0.008625,0.009796,0.007268,0.009777,95,1806697.0
2016-01-23,0.009775,0.010084,0.008192,0.008192,7,1513800.0
2016-01-24,0.008204,0.010451,0.008194,0.010074,224,1861731.0
2016-01-25,0.010058,0.011324,0.008234,0.010181,1109,1881449.0
2016-01-26,0.010188,0.015315,0.009092,0.012286,2688,2270490.0
2016-01-27,0.012295,0.014582,0.012123,0.01457,408,2692628.0
2016-01-28,0.014577,0.015238,0.012743,0.014054,929,2597087.0
2016-01-29,0.014047,0.027814,0.013256,0.018396,3663,3399544.0
