Date,Open,High,Low,Close,Volume,Market Cap
2018-06-27,0.065035,0.084658,0.065035,0.079507,673687,
2018-06-28,0.079506,0.090051,0.061682,0.07559,430979,
2018-06-29,0.075549,0.075622,0.055183,0.067593,972403,
2018-06-30,0.06771,0.073729,0.066662,0.072538,227554,
2018-07-01,0.072584,0.07824,0.068492,0.076706,470065,
2018-07-02,0.076599,0.096525,0.073726,0.09005,1283610,31102698.0
2018-07-03,0.090048,0.108556,0.085531,0.103278,1011000,35745871.0
2018-07-04,0.103273,0.103315,0.061662,0.08885,932193,30840966.0
2018-07-05,0.088871,0.095598,0.062643,0.080573,962210,27969449.0
2018-07-06,0.080587,0.090943,0.070673,0.086559,673255,30067083.0
2018-07-07,0.08665,0.131695,0.061898,0.078117,1613700,27227634.0
2018-07-08,0.078106,0.09711,0.060177,0.073997,3099590,25791818.0
2018-07-09,0.074227,0.0885,0.059216,0.066626,3044690,23289142.0
2018-07-10,0.066545,0.072042,0.05526,0.059998,4032950,24385145.0
2018-07-11,0.060066,0.073503,0.04627,0.064053,2196730,26033234.0
2018-07-12,0.06654,0.066638,0.059512,0.065493,2550620,26627106.0
2018-07-13,0.065443,0.065909,0.05432,0.05581,2159820,22706145.0
2018-07-14,0.056077,0.061942,0.050568,0.05979,1657720,24325368.0
2018-07-15,0.059682,0.062559,0.049303,0.062314,1766740,25352502.0
2018-07-16,0.062539,0.065411,0.052061,0.065411,2607930,26643567.0
2018-07-17,0.065754,0.066614,0.058266,0.063976,2018680,26058988.0
2018-07-18,0.064029,0.067612,0.054043,0.06161,2452690,25095439.0
2018-07-19,0.061166,0.063468,0.057983,0.060228,1986840,24533562.0
2018-07-20,0.060182,0.06176,0.057097,0.057668,2516200,23491689.0
2018-07-21,0.057645,0.05815,0.054238,0.058106,2252300,23671804.0
2018-07-22,0.058126,0.058262,0.048616,0.055685,2068860,22685593.0
2018-07-23,0.055191,0.055467,0.050335,0.051663,1886270,21047026.0
2018-07-24,0.051253,0.052594,0.042046,0.044737,1922430,18225479.0
2018-07-25,0.044724,0.050175,0.042392,0.049101,1741000,20023227.0
2018-07-26,0.049464,0.049464,0.045091,0.047163,1977930,19233124.0
2018-07-27,0.047465,0.050408,0.043105,0.045215,1723440,18442138.0
2018-07-28,0.044778,0.051742,0.044079,0.050196,1697930,20473748.0
2018-07-29,0.050058,0.052528,0.049768,0.052401,2510380,21373328.0
2018-07-30,0.052365,0.05293,0.044951,0.049949,3048110,20373246.0
2018-07-31,0.049705,0.049943,0.039718,0.044113,2242,17992939.0
2018-08-01,0.043891,0.045656,0.03781,0.041354,4036,16870943.0
2018-08-02,0.04145,0.042842,0.036466,0.041573,10434,16961697.0
2018-08-03,0.041582,0.042119,0.037151,0.037586,4451,15335278.0
2018-08-04,0.037654,0.041681,0.034112,0.036199,1880,14769289.0
2018-08-05,0.036217,0.039001,0.035567,0.038663,1968,15774622.0
2018-08-06,0.038626,0.039116,0.029663,0.03274,5695,13358070.0
2018-08-07,0.032697,0.035602,0.02326,0.030349,17816,12383720.0
2018-08-08,0.030223,0.031126,0.020013,0.021821,3111,8904688.0
2018-08-09,0.021861,0.023574,0.017069,0.021731,12886,8867758.0
2018-08-10,0.021751,0.024265,0.019615,0.020505,1387,8367378.0
2018-08-11,0.020345,0.021108,0.018471,0.019911,248,8125146.0
2018-08-12,0.019777,0.023536,0.018973,0.020883,2332,8521712.0
2018-08-13,0.020836,0.023827,0.018976,0.019318,1423,7883361.0
2018-08-14,0.018821,0.021075,0.016925,0.020206,1747,8245625.0
2018-08-15,0.020304,0.029912,0.020115,0.024699,8374,10079197.0
2018-08-16,0.02456,0.028853,0.019706,0.028657,4758,11694516.0
2018-08-17,0.031414,0.037387,0.025424,0.030986,10714,12644866.0
2018-08-18,0.03109,0.042419,0.03055,0.04174,23147,17033707.0
2018-08-19,0.041905,0.056279,0.031396,0.036059,23656,14715004.0
2018-08-20,0.035877,0.044889,0.03295,0.038304,4816,15635068.0
2018-08-21,0.037201,0.041239,0.032384,0.03695,7177,15119539.0
2018-08-22,0.038862,0.041734,0.029235,0.035412,8249,14489966.0
2018-08-23,0.034891,0.0349,0.029128,0.030971,12297,12672731.0
2018-08-24,0.031451,0.036698,0.027789,0.031032,12397,12697855.0
