Date,Open,High,Low,Close,Volume,Market Cap
2017-05-07,0.971281,1.22,0.847645,1.04,416619,
2017-05-08,1.02,1.57,0.887562,1.4,1052990,33109952.0
2017-05-09,1.38,1.52,0.955771,1.1,924447,25957154.0
2017-05-10,1.1,1.11,0.805569,0.873747,476255,20658923.0
2017-05-11,0.852738,0.942556,0.808186,0.891387,430612,21076004.0
2017-05-12,0.893846,0.924511,0.829095,0.843937,430664,19954094.0
2017-05-13,0.842707,0.960669,0.816587,0.958482,358247,22662402.0
2017-05-14,0.955297,0.983708,0.808773,0.808773,381672,19122674.0
2017-05-15,0.831873,0.868288,0.744903,0.766529,408336,18123855.0
2017-05-16,0.76699,0.774078,0.588643,0.659563,329462,15594744.0
2017-05-17,0.653066,0.723289,0.609555,0.688574,358564,16280682.0
2017-05-18,0.689264,0.856515,0.665454,0.828958,300976,19599929.0
2017-05-19,0.827708,0.945557,0.76498,0.765049,365642,18088861.0
2017-05-20,0.764076,0.864924,0.764076,0.815908,252944,19291374.0
2017-05-21,0.816156,0.885045,0.77438,0.785874,295553,18581249.0
2017-05-22,0.782855,1.07,0.644876,0.85446,1080760,20202900.0
2017-05-23,0.809878,1.77,0.78021,1.1,926550,26060242.0
2017-05-24,1.09,1.84,0.674819,1.13,1059790,26770746.0
2017-05-25,1.12,1.2,0.907183,0.974425,831443,23039359.0
2017-05-26,0.967539,1.15,0.849167,0.888647,318980,21011219.0
2017-05-27,0.891839,1.01,0.707574,0.949078,386509,22440053.0
2017-05-28,0.954558,1.08,0.878098,0.970205,275808,22939581.0
2017-05-29,0.967243,1.02,0.89726,0.941661,968453,22264685.0
2017-05-30,0.943564,0.989261,0.817999,0.829994,357481,19624425.0
2017-05-31,0.829791,0.86057,0.776381,0.838274,301758,19820197.0
2017-06-01,0.822243,0.924905,0.784839,0.878102,319461,20761893.0
2017-06-02,0.877292,0.87746,0.814658,0.834474,315916,19730350.0
2017-06-03,0.829453,1.1,0.718121,1.09,1775750,25874873.0
2017-06-04,1.09,1.19,1.02,1.16,869970,27426396.0
2017-06-05,1.17,1.2,1.08,1.14,358845,27042180.0
2017-06-06,1.15,1.28,1.14,1.22,345917,28863008.0
2017-06-07,1.22,1.24,0.980723,1.03,500775,24429748.0
2017-06-08,1.01,1.07,0.942892,0.993793,458594,23497297.0
2017-06-09,0.992704,1.0,0.897981,0.926538,787429,21907116.0
2017-06-10,0.927254,0.946079,0.84853,0.90274,508158,21344435.0
2017-06-11,0.901273,0.949888,0.858074,0.942739,337050,22290174.0
2017-06-12,0.940116,1.42,0.881238,1.15,1273360,27284058.0
2017-06-13,1.15,1.15,0.913913,0.997469,540511,23584213.0
2017-06-14,0.997391,1.05,0.829777,0.849777,360774,20092175.0
2017-06-15,0.871642,0.896706,0.721157,0.867997,287094,20522970.0
2017-06-16,0.865665,0.934035,0.831786,0.911628,273932,21554583.0
2017-06-17,0.912649,0.982344,0.898986,0.931711,338799,22029427.0
2017-06-18,0.931481,1.04,0.905535,0.955175,307956,22584211.0
2017-06-19,0.955921,1.18,0.905907,1.05,817212,24761947.0
2017-06-20,1.05,1.1,0.998283,1.02,372158,24014558.0
2017-06-21,1.02,1.16,0.974227,1.15,777435,27264670.0
2017-06-22,1.18,1.33,1.1,1.24,895214,29433776.0
2017-06-23,1.24,1.3,1.16,1.25,720673,29610397.0
2017-06-24,1.27,1.27,1.05,1.08,382445,25645289.0
2017-06-25,1.08,1.12,0.902345,0.934199,317166,22088253.0
2017-06-26,0.934504,1.01,0.736501,0.836479,305739,19777756.0
2017-06-27,0.900491,0.931715,0.760072,0.931715,214569,22029522.0
2017-06-28,0.923626,1.02,0.895613,1.02,255558,24059009.0
2017-06-29,1.02,1.05,0.968597,0.968597,229570,22901562.0
2017-06-30,0.975974,1.17,0.972506,1.04,514581,24705910.0
2017-07-01,1.05,1.1,0.970139,1.0,457001,23678340.0
2017-07-02,0.98586,1.06,0.940804,1.04,177693,24484839.0
2017-07-03,1.03,1.03,0.93709,0.99347,208288,23489660.0
2017-07-04,0.991374,1.01,0.954307,0.987519,154291,23348954.0
2017-07-05,0.986315,0.986315,0.886482,0.945347,152007,22351837.0
2017-07-06,0.945657,0.953268,0.728576,0.831021,954942,19648707.0
2017-07-07,0.838562,0.839198,0.711296,0.726446,330888,17176130.0
2017-07-08,0.727088,0.73123,0.679,0.725147,218102,17145416.0
2017-07-09,0.726088,0.747748,0.710765,0.716921,168825,16950920.0
2017-07-10,0.716594,0.719468,0.554238,0.566218,213458,13387690.0
2017-07-11,0.565393,0.623884,0.47205,0.566582,263230,13396296.0
2017-07-12,0.566346,0.646612,0.532775,0.646612,153100,15288530.0
2017-07-13,0.648713,0.670532,0.582301,0.606477,154993,14339576.0
2017-07-14,0.593333,0.596044,0.530767,0.54655,154097,12922659.0
2017-07-15,0.547644,0.590927,0.488658,0.540037,164263,12768665.0
2017-07-16,0.538752,0.549312,0.432642,0.482991,111599,11419866.0
2017-07-17,0.48173,0.589329,0.48173,0.58892,118616,13924457.0
2017-07-18,0.590475,0.739101,0.571492,0.699715,213503,16544101.0
2017-07-19,0.703692,0.787557,0.660324,0.66977,209913,15836079.0
2017-07-20,0.672035,0.811095,0.672035,0.770925,204785,18227794.0
2017-07-21,0.776963,0.776963,0.689225,0.71441,157514,16891550.0
2017-07-22,0.715268,0.777151,0.703342,0.77179,143627,18248246.0
2017-07-23,0.775834,0.780734,0.725856,0.745395,170841,17624161.0
2017-07-24,0.744806,0.790103,0.740902,0.786252,153960,18590186.0
2017-07-25,0.786525,0.792494,0.668445,0.69423,147666,16414413.0
2017-07-26,0.692576,0.711115,0.647883,0.656212,179990,15515513.0
2017-07-27,0.657763,0.689098,0.630726,0.670965,160191,15864334.0
2017-07-28,0.68246,0.687083,0.588399,0.613988,273055,14517167.0
2017-07-29,0.612036,0.624711,0.544365,0.568602,169385,13444057.0
2017-07-30,0.569219,0.603932,0.565704,0.588192,117298,13907245.0
2017-07-31,0.586683,0.606351,0.583474,0.594586,123401,14058425.0
2017-08-01,0.59495,0.658059,0.592426,0.61366,240808,14509411.0
2017-08-02,0.612675,0.61428,0.58059,0.603324,123072,14265026.0
2017-08-03,0.603386,0.646957,0.599377,0.646402,130776,15283565.0
2017-08-04,0.647127,0.72074,0.647127,0.697804,177212,16498917.0
2017-08-05,0.702913,0.802999,0.699087,0.767492,268619,18146624.0
2017-08-06,0.76963,0.942509,0.769266,0.911974,312359,21562764.0
2017-08-07,0.909009,1.02,0.865914,1.01,247277,23906032.0
2017-08-08,1.01,1.02,0.932839,0.962376,216722,22754472.0
2017-08-09,0.96277,1.1,0.96277,1.03,339755,24303962.0
2017-08-10,1.03,1.09,0.971312,0.972768,284989,23000181.0
2017-08-11,0.966295,1.47,0.931756,1.4,615471,33179704.0
2017-08-12,1.41,1.91,1.27,1.76,2242330,41721119.0
2017-08-13,1.76,1.85,1.21,1.4,806203,33129342.0
2017-08-14,1.39,1.42,1.24,1.3,320865,30654991.0
2017-08-15,1.29,1.3,0.982843,1.12,839051,26595307.0
2017-08-16,1.1,1.6,1.03,1.59,974519,37696428.0
2017-08-17,1.58,2.8,1.58,2.36,11546300,55855772.0
2017-08-18,2.32,2.32,1.5,1.53,2602740,36278730.0
2017-08-19,1.54,1.87,1.41,1.82,1187190,43047550.0
2017-08-20,1.83,2.05,1.66,1.83,1031310,43356578.0
2017-08-21,1.83,1.86,1.55,1.55,722402,36652779.0
2017-08-22,1.55,1.67,1.39,1.65,477294,39068965.0
2017-08-23,1.65,1.66,1.51,1.51,568677,35798283.0
2017-08-24,1.51,1.69,1.5,1.63,412831,38502217.0
2017-08-25,1.63,1.71,1.54,1.55,306763,36612821.0
2017-08-26,1.55,1.63,1.36,1.51,1297630,35748157.0
2017-08-27,1.55,2.29,1.39,1.77,2651320,41762496.0
2017-08-28,1.8,2.59,1.73,2.3,3533720,54289117.0
2017-08-29,2.28,3.62,2.07,2.86,13474700,67595755.0
2017-08-30,2.85,2.98,2.37,2.48,3255570,58631821.0
2017-08-31,2.45,2.53,2.0,2.15,3041020,50858601.0
2017-09-01,2.18,2.37,1.77,1.96,3320200,46362211.0
2017-09-02,1.97,2.0,1.75,1.86,1332180,43878403.0
2017-09-03,1.87,2.05,1.51,1.7,1882070,40131765.0
2017-09-04,1.7,1.77,1.19,1.34,1757460,31693675.0
2017-09-05,1.37,1.75,1.2,1.7,1138450,40095117.0
2017-09-06,1.67,1.8,1.58,1.67,1112120,39392179.0
2017-09-07,1.67,1.78,1.57,1.77,855782,41761787.0
2017-09-08,1.78,1.94,1.46,1.55,1408780,36696757.0
2017-09-09,1.56,1.58,1.44,1.5,322139,35385931.0
2017-09-10,1.5,1.5,1.28,1.35,601592,31947612.0
2017-09-11,1.36,1.47,1.31,1.35,598355,31951631.0
2017-09-12,1.34,1.44,1.29,1.31,735772,31050320.0
2017-09-13,1.31,1.36,1.16,1.35,658986,31899378.0
2017-09-14,1.35,1.46,1.07,1.07,922180,25334842.0
2017-09-15,1.08,1.39,0.987428,1.31,764250,31044882.0
2017-09-16,1.31,1.41,1.22,1.31,445178,30872280.0
2017-09-17,1.31,1.48,1.22,1.4,562480,33160079.0
2017-09-18,1.4,1.75,1.4,1.72,1062140,40723813.0
2017-09-19,1.72,1.78,1.42,1.47,650707,34727444.0
2017-09-20,1.47,1.55,1.4,1.44,330740,34073449.0
2017-09-21,1.43,1.44,1.22,1.26,376734,29839035.0
2017-09-22,1.26,1.44,1.23,1.31,772952,30943685.0
2017-09-23,1.3,1.39,1.28,1.39,392054,32963124.0
2017-09-24,1.38,1.46,1.29,1.35,387581,31890393.0
2017-09-25,1.35,1.6,1.35,1.55,706692,36740026.0
2017-09-26,1.55,1.78,1.52,1.73,1044790,40879627.0
2017-09-27,1.74,1.84,1.71,1.81,720294,42911834.0
2017-09-28,1.8,1.82,1.64,1.66,889831,39174418.0
2017-09-29,1.66,1.77,1.51,1.73,578393,40841087.0
2017-09-30,1.72,1.88,1.71,1.8,650339,42668536.0
2017-10-01,1.81,2.14,1.81,1.99,2075460,47073424.0
2017-10-02,1.99,2.21,1.8,1.8,1714720,42567103.0
2017-10-03,1.82,1.88,1.61,1.73,1439510,40938737.0
2017-10-04,1.74,1.76,1.61,1.63,555676,38469352.0
2017-10-05,1.63,1.65,1.49,1.52,464227,35866614.0
2017-10-06,1.53,1.62,1.5,1.51,331938,35774402.0
2017-10-07,1.53,1.53,1.4,1.43,392793,33705311.0
2017-10-08,1.41,1.47,1.35,1.35,597057,31890157.0
2017-10-09,1.35,1.58,1.26,1.28,721608,30160831.0
2017-10-10,1.28,1.42,1.27,1.34,328390,31570253.0
2017-10-11,1.35,1.46,1.33,1.39,202830,32898103.0
2017-10-12,1.39,1.39,1.23,1.29,552348,30609358.0
2017-10-13,1.28,1.29,1.13,1.22,329370,28847167.0
2017-10-14,1.2,1.23,1.16,1.18,153479,27947038.0
