Date,Open,High,Low,Close,Volume,Market Cap
2019-03-28,0.012619,0.013149,0.012278,0.012725,35452656,
2019-03-29,0.012704,0.019675,0.011962,0.017052,66209908,
2019-03-30,0.017152,0.025803,0.016385,0.025303,81754692,
2019-03-31,0.025303,0.036536,0.020775,0.022393,254210278,
2019-04-01,0.022265,0.024014,0.015391,0.015888,95776733,
2019-04-02,0.015888,0.020995,0.015041,0.017648,91447087,
2019-04-03,0.017648,0.019271,0.016002,0.016241,36374072,
2019-04-04,0.016296,0.017196,0.013993,0.014314,19360663,
2019-04-05,0.01433,0.018689,0.013736,0.0177,34999827,
2019-04-06,0.017481,0.018609,0.015225,0.015875,35643854,
2019-04-07,0.015927,0.01605,0.013901,0.013945,16492178,
2019-04-08,0.01397,0.01519,0.013874,0.014559,17297012,
2019-04-09,0.014559,0.014634,0.013756,0.013856,9219240,
2019-04-10,0.013849,0.014095,0.013324,0.013544,8958140,
2019-04-11,0.013547,0.016327,0.012343,0.015259,28018619,
2019-04-12,0.015402,0.022877,0.014665,0.022254,72374712,
2019-04-13,0.022367,0.022367,0.015358,0.016441,63275194,
2019-04-14,0.016441,0.01751,0.014976,0.015045,17805829,
2019-04-15,0.015045,0.015784,0.013989,0.014033,11294431,
2019-04-16,0.013995,0.0142,0.012992,0.01392,15767676,
2019-04-17,0.013901,0.01529,0.013511,0.01403,13869774,23852369.0
2019-04-18,0.014065,0.014833,0.013939,0.014273,12044383,24264890.0
2019-04-19,0.014283,0.014988,0.013541,0.013923,12471751,23669286.0
2019-04-20,0.013926,0.014173,0.013517,0.013517,4640980,22979125.0
2019-04-21,0.01351,0.013813,0.012361,0.013142,9273089,22342906.0
2019-04-22,0.01315,0.01315,0.012314,0.012314,4171247,20934209.0
2019-04-23,0.012314,0.012409,0.010148,0.010412,5575849,17701686.0
2019-04-24,0.010412,0.010597,0.009513,0.010174,5383454,17297006.0
2019-04-25,0.010157,0.011336,0.009446,0.009478,5574860,16112666.0
2019-04-26,0.009487,0.009711,0.008443,0.008746,2610632,14869338.0
2019-04-27,0.008744,0.010403,0.008567,0.009966,11049420,16942621.0
2019-04-28,0.009963,0.010891,0.009384,0.009489,12152227,16132555.0
2019-04-29,0.009481,0.009733,0.00875,0.009046,3697380,15379217.0
2019-04-30,0.009046,0.00928,0.008777,0.00898,3190546,15890189.0
2019-05-01,0.008973,0.009292,0.008915,0.008965,1757422,15949904.0
2019-05-02,0.00897,0.009073,0.008566,0.008793,2039012,15644553.0
2019-05-03,0.008794,0.008952,0.008564,0.008616,1952101,15388003.0
2019-05-04,0.008622,0.008661,0.006511,0.006792,5162332,12238388.0
2019-05-05,0.006791,0.007446,0.006599,0.00736,3557949,19148902.0
2019-05-06,0.007362,0.007372,0.00651,0.00678,2820489,17640016.0
2019-05-07,0.006788,0.008627,0.006552,0.007269,19417027,18912019.0
2019-05-08,0.007231,0.007352,0.006882,0.007186,2859648,18695922.0
2019-05-09,0.007193,0.007218,0.006073,0.006138,5098075,15970813.0
2019-05-10,0.006151,0.006422,0.005865,0.006261,15477953,16291012.0
2019-05-11,0.006271,0.006789,0.006181,0.006181,30208862,16082815.0
2019-05-12,0.006187,0.006426,0.00556,0.005751,15509224,14963925.0
2019-05-13,0.005751,0.006255,0.005679,0.005967,19490818,15525603.0
2019-05-14,0.005968,0.006442,0.005732,0.005963,13752203,15513625.0
2019-05-15,0.005966,0.007104,0.005947,0.007013,24046880,18247664.0
2019-05-16,0.006993,0.007993,0.006489,0.007631,19926616,19853221.0
2019-05-17,0.007649,0.007654,0.00626,0.007003,5665486,18220734.0
