Date,Open,High,Low,Close,Volume,Market Cap
2018-01-12,0.102575,0.111019,0.100494,0.111019,5565320,
2018-01-13,0.110727,0.124663,0.096289,0.118221,7963310,
2018-01-14,0.117865,0.11862,0.090002,0.100357,6303050,
2018-01-15,0.101345,0.101513,0.081726,0.092178,5264040,
2018-01-16,0.092111,0.092111,0.055835,0.065006,4683860,
2018-01-17,0.065109,0.069539,0.050333,0.069474,3970230,
2018-01-18,0.069533,0.082378,0.063412,0.073553,5000100,
2018-01-19,0.073176,0.078585,0.069039,0.070961,23930800,
2018-01-20,0.071454,0.079265,0.071382,0.078385,42380300,
2018-01-21,0.079813,0.079847,0.062196,0.065035,19382500,
2018-01-22,0.065537,0.06872,0.057251,0.061802,11225300,
2018-01-23,0.061687,0.065559,0.05508,0.062527,23928300,
2018-01-24,0.062588,0.132841,0.060589,0.117798,518480992,
2018-01-25,0.119363,0.136521,0.083937,0.096154,539987008,
2018-01-26,0.098232,0.120151,0.091861,0.115714,87219200,
2018-01-27,0.115722,0.116086,0.098439,0.109936,15250500,
2018-01-28,0.110457,0.11083,0.095343,0.098003,13795900,
2018-01-29,0.097866,0.098447,0.081665,0.084872,9802430,
2018-01-30,0.084883,0.084883,0.068387,0.069398,8169440,
2018-01-31,0.069715,0.078451,0.067225,0.075613,11217300,
2018-02-01,0.075636,0.076787,0.059046,0.064733,9618660,
2018-02-02,0.064576,0.065536,0.048885,0.061418,3653490,
2018-02-03,0.061592,0.066346,0.055684,0.06292,5415620,
2018-02-04,0.062927,0.062927,0.049223,0.052234,4616290,
2018-02-05,0.051705,0.055809,0.04086,0.044305,6933340,
2018-02-06,0.044456,0.049864,0.03435,0.049655,10240000,
2018-02-07,0.049666,0.061829,0.047929,0.052529,12321500,
2018-02-08,0.052076,0.061052,0.052076,0.058455,10488400,
2018-02-09,0.058561,0.062577,0.055997,0.062077,7876490,
2018-02-10,0.062169,0.063432,0.052324,0.055756,1975720,
2018-02-11,0.055389,0.055464,0.04832,0.048442,1755160,
2018-02-12,0.048698,0.052828,0.048454,0.051614,6287860,
2018-02-13,0.051498,0.051919,0.049193,0.049571,7097450,
2018-02-14,0.049562,0.050268,0.04601,0.050084,7897160,
2018-02-15,0.050128,0.051009,0.048582,0.050547,7642120,
2018-02-16,0.050345,0.052103,0.04932,0.051615,7103340,
2018-02-17,0.051668,0.061221,0.051561,0.056656,9272590,
2018-02-18,0.056773,0.057464,0.050753,0.050899,7848630,
2018-02-19,0.050738,0.052535,0.050662,0.051378,6993990,
2018-02-20,0.051387,0.051841,0.048591,0.049175,6740100,
2018-02-21,0.049091,0.052586,0.043841,0.045277,6730860,
2018-02-22,0.045245,0.046262,0.041746,0.042579,6360270,
2018-02-23,0.042517,0.044916,0.041727,0.043628,6160030,
2018-02-24,0.043587,0.044205,0.039044,0.040466,5677810,
2018-02-25,0.040374,0.040977,0.034973,0.038927,5064690,
2018-02-26,0.038949,0.043177,0.037189,0.041298,5149400,
2018-02-27,0.041597,0.042604,0.040243,0.041509,5834950,
2018-02-28,0.041511,0.041898,0.039444,0.03945,5036830,
2018-03-01,0.039471,0.04158,0.038796,0.041189,5447920,
2018-03-02,0.041168,0.041686,0.037914,0.038386,5303640,
2018-03-03,0.038346,0.039257,0.036762,0.036895,4230930,
2018-03-04,0.036822,0.040978,0.034056,0.036469,4652080,
2018-03-05,0.035883,0.04046,0.034752,0.036363,4716760,
2018-03-06,0.036224,0.037012,0.03398,0.034245,4025490,
2018-03-07,0.034262,0.034462,0.017288,0.021525,2119160,
2018-03-08,0.021761,0.034609,0.02002,0.021484,4395970,
2018-03-09,0.021438,0.021868,0.018716,0.021488,1329360,
2018-03-10,0.021488,0.022818,0.02047,0.020617,950131,
2018-03-11,0.020559,0.022455,0.019832,0.022053,865134,
2018-03-12,0.022065,0.022936,0.020403,0.021297,4243480,
2018-03-13,0.021188,0.025184,0.021072,0.024664,1951120,
2018-03-14,0.024691,0.027079,0.020292,0.021428,3108780,
2018-03-15,0.021635,0.022226,0.019545,0.021318,2726830,
2018-03-16,0.02123,0.023178,0.020702,0.021733,2696410,
2018-03-17,0.021798,0.022743,0.020323,0.020634,2435790,
2018-03-18,0.020584,0.021628,0.018264,0.020789,2926540,
2018-03-19,0.020679,0.021861,0.019781,0.021721,2525000,
2018-03-20,0.021979,0.022986,0.020943,0.022465,4453430,
2018-03-21,0.022562,0.02388,0.021891,0.022109,4190140,
2018-03-22,0.022162,0.022393,0.020057,0.021179,3376310,
2018-03-23,0.021171,0.021745,0.020163,0.021662,3907190,
2018-03-24,0.021849,0.024944,0.021713,0.022883,5172660,
2018-03-25,0.022297,0.023649,0.021577,0.021804,3917650,
2018-03-26,0.021717,0.022132,0.019074,0.021227,12956800,
2018-03-27,0.021163,0.021328,0.019416,0.019425,8985470,
2018-03-28,0.019423,0.033723,0.019311,0.029346,17034500,
2018-03-29,0.029515,0.029595,0.019013,0.01975,9291370,
2018-03-30,0.019501,0.020706,0.017969,0.018985,7302270,
2018-03-31,0.018931,0.019733,0.017969,0.018262,5910090,
2018-04-01,0.018243,0.021236,0.018153,0.019103,7574110,
2018-04-02,0.019213,0.020499,0.018996,0.019945,6328360,
2018-04-03,0.019947,0.019947,0.019313,0.019405,5942620,
2018-04-04,0.019391,0.019391,0.01809,0.018396,4814430,
2018-04-05,0.018389,0.018644,0.017771,0.018071,5220480,
2018-04-06,0.018024,0.018374,0.017562,0.017652,4716450,
2018-04-07,0.017641,0.019395,0.017604,0.018836,5883600,
2018-04-08,0.018868,0.019182,0.018428,0.018972,5017210,
2018-04-09,0.019003,0.019518,0.017792,0.018137,5143210,
2018-04-10,0.018201,0.019343,0.018025,0.018859,3967420,
2018-04-11,0.018884,0.020398,0.018772,0.019807,3964100,
2018-04-12,0.019649,0.022677,0.018991,0.022622,4758560,
2018-04-13,0.022642,0.024683,0.021284,0.022944,5144340,
2018-04-14,0.022788,0.023924,0.022644,0.023045,3725580,
2018-04-15,0.023,0.025877,0.023,0.025647,5069400,
2018-04-16,0.025656,0.025733,0.023585,0.025236,5519280,
2018-04-17,0.025269,0.029097,0.025176,0.026714,7763610,
2018-04-18,0.026736,0.028449,0.026543,0.028397,6104430,
2018-04-19,0.028426,0.04188,0.027986,0.039925,10715500,
2018-04-20,0.039824,0.041241,0.036691,0.039483,5920340,
2018-04-21,0.039473,0.039769,0.032507,0.037139,6342790,
2018-04-22,0.037027,0.041922,0.034569,0.038072,6771840,
2018-04-23,0.03799,0.041025,0.037878,0.039064,5442970,
2018-04-24,0.039058,0.04409,0.039058,0.04121,6877540,
2018-04-25,0.041139,0.041139,0.032905,0.034514,4644850,
2018-04-26,0.034916,0.037749,0.032958,0.037546,2342120,
2018-04-27,0.037583,0.038661,0.034725,0.03508,1951190,
2018-04-28,0.035047,0.037418,0.034056,0.03675,4126860,
2018-04-29,0.036766,0.043268,0.036241,0.038932,3696510,
2018-04-30,0.038946,0.069558,0.038561,0.056765,11343700,
2018-05-01,0.056112,0.071767,0.047944,0.06087,10775800,
2018-05-02,0.06035,0.066933,0.05744,0.058585,5930210,
2018-05-03,0.058582,0.060819,0.055544,0.056697,3126240,
2018-05-04,0.056636,0.058973,0.053854,0.056874,2741230,
2018-05-05,0.056999,0.064158,0.056811,0.059821,4567670,
2018-05-06,0.059581,0.065337,0.049683,0.062697,4182690,
2018-05-07,0.062867,0.062867,0.05268,0.055932,5132740,
2018-05-08,0.056197,0.058325,0.052907,0.054549,2170310,
2018-05-09,0.0544,0.054536,0.050682,0.053611,2086670,
2018-05-10,0.053679,0.054316,0.047257,0.048907,2252050,
2018-05-11,0.049132,0.049132,0.038222,0.03874,1554340,
2018-05-12,0.038537,0.041123,0.033589,0.037617,863935,
2018-05-13,0.037525,0.048634,0.03698,0.045377,1804780,
2018-05-14,0.045397,0.051243,0.041113,0.046983,1956970,
2018-05-15,0.046857,0.048923,0.044574,0.045027,1026220,
2018-05-16,0.045104,0.045516,0.039931,0.041284,1311400,
2018-05-17,0.041464,0.045235,0.040616,0.040777,1496430,
2018-05-18,0.040738,0.041585,0.038984,0.041377,1451530,
2018-05-19,0.041301,0.041436,0.038885,0.039264,822496,
2018-05-20,0.039314,0.041285,0.03895,0.040667,1479760,
2018-05-21,0.040777,0.041773,0.037424,0.037585,1739900,
2018-05-22,0.03764,0.038411,0.035218,0.035499,1258580,
2018-05-23,0.035368,0.035662,0.028006,0.028255,1304550,
2018-05-24,0.028078,0.031329,0.027441,0.030836,971217,
2018-05-25,0.030927,0.031077,0.028745,0.029228,782655,
2018-05-26,0.029239,0.031787,0.029133,0.030843,1252000,
2018-05-27,0.03088,0.03088,0.029708,0.029966,929928,
2018-05-28,0.029876,0.030174,0.027036,0.027511,1092390,
2018-05-29,0.027474,0.030587,0.02744,0.030108,1153060,
2018-05-30,0.030075,0.034062,0.029055,0.032259,1952080,
2018-05-31,0.032393,0.035804,0.032126,0.034316,3762540,
2018-06-01,0.03428,0.035576,0.033569,0.035136,2106170,
2018-06-02,0.035206,0.036428,0.033312,0.03598,1682790,
2018-06-03,0.035997,0.044724,0.034279,0.040353,2755180,
2018-06-04,0.040405,0.041177,0.035204,0.038119,2400320,
2018-06-05,0.0382,0.038204,0.034274,0.035874,1319560,
2018-06-06,0.035832,0.035942,0.034706,0.035046,1277560,
2018-06-07,0.034879,0.03549,0.033697,0.034202,1310660,
2018-06-08,0.034246,0.034535,0.032116,0.032293,1123190,
2018-06-09,0.032254,0.03277,0.030475,0.030839,1084890,
2018-06-10,0.030633,0.030754,0.023705,0.023939,1101440,
2018-06-11,0.024009,0.025882,0.022692,0.025879,1042360,
2018-06-12,0.025881,0.026165,0.024314,0.024691,1060410,
2018-06-13,0.024684,0.024829,0.022524,0.0234,1078440,
2018-06-14,0.023416,0.025456,0.022731,0.025286,1167370,
2018-06-15,0.025269,0.025269,0.023263,0.023457,998484,
2018-06-16,0.023375,0.024697,0.023209,0.024002,937990,
2018-06-17,0.024023,0.025488,0.024014,0.02522,816632,
2018-06-18,0.025187,0.025971,0.024611,0.025723,964944,
2018-06-19,0.025691,0.026815,0.025651,0.026467,786891,
2018-06-20,0.026499,0.026499,0.023801,0.02489,426350,
2018-06-21,0.024898,0.025652,0.022877,0.023032,498893,
2018-06-22,0.022953,0.023,0.018845,0.019126,581339,
2018-06-23,0.019128,0.021618,0.018803,0.020178,543274,
2018-06-24,0.020178,0.020456,0.017688,0.020073,772808,
2018-06-25,0.020001,0.020574,0.019486,0.019722,477579,
2018-06-26,0.019799,0.020539,0.018859,0.019054,558586,
2018-06-27,0.019127,0.020465,0.018507,0.020364,768126,
2018-06-28,0.020409,0.020416,0.0192,0.019381,340042,
2018-06-29,0.01934,0.020181,0.01855,0.020041,731368,
2018-06-30,0.020115,0.021021,0.020115,0.020582,827870,
2018-07-01,0.020621,0.020703,0.020153,0.020688,504960,
2018-07-02,0.020665,0.023789,0.020494,0.022941,644131,
2018-07-03,0.022887,0.024808,0.022677,0.023088,563337,
2018-07-04,0.023161,0.023614,0.021847,0.022908,437524,
2018-07-05,0.023008,0.023127,0.021385,0.022211,440618,
2018-07-06,0.022076,0.022979,0.020482,0.021489,506815,
2018-07-07,0.021423,0.021917,0.020764,0.021877,338730,
2018-07-08,0.02187,0.022308,0.021133,0.021419,434076,
2018-07-09,0.021397,0.021448,0.020559,0.020559,276705,
2018-07-10,0.020517,0.020574,0.017703,0.018801,370136,
2018-07-11,0.018745,0.018919,0.017192,0.017723,460514,
2018-07-12,0.017697,0.017772,0.016758,0.016978,340459,
2018-07-13,0.017009,0.018763,0.017008,0.017474,564673,
2018-07-14,0.017476,0.017531,0.016446,0.016834,365182,
2018-07-15,0.016777,0.017362,0.016633,0.017242,339736,
2018-07-16,0.017252,0.018274,0.017041,0.018274,440479,
2018-07-17,0.018176,0.018761,0.016715,0.018491,570786,
2018-07-18,0.01849,0.019376,0.017396,0.017708,380656,
2018-07-19,0.017694,0.01771,0.016639,0.016814,462980,
2018-07-20,0.016734,0.017977,0.0151,0.015266,919581,
2018-07-21,0.015273,0.017359,0.01499,0.016796,742256,
2018-07-22,0.016812,0.017173,0.015589,0.01601,421961,
2018-07-23,0.01596,0.016709,0.01552,0.015893,325022,
2018-07-24,0.01591,0.01591,0.015008,0.015348,324740,
2018-07-25,0.015193,0.016942,0.015026,0.015346,372515,
2018-07-26,0.015317,0.016198,0.015271,0.015797,167732,
