Date,Open,High,Low,Close,Volume,Market Cap
2018-10-18,1.92,1.94,1.92,1.94,34994,
2018-10-19,1.94,1.94,1.9,1.91,5371,
2018-10-20,1.91,2.62,1.9,2.4,27181,
2018-10-21,2.4,3.3,2.33,2.65,17467,
2018-10-22,2.65,2.79,1.84,1.96,13068,
2018-10-23,1.96,2.02,1.51,1.78,18151,
2018-10-24,1.77,1.78,1.35,1.57,13603,15709439.0
2018-10-25,1.57,1.59,1.35,1.54,11666,15396338.0
2018-10-26,1.54,1.59,1.35,1.52,4356,15199938.0
2018-10-27,1.52,1.58,1.35,1.56,40351,15631439.0
2018-10-28,1.57,1.6,1.39,1.44,345454,14404536.0
2018-10-29,1.43,1.55,1.41,1.44,113344,14422236.0
2018-10-30,1.44,1.45,1.41,1.43,52130,14259436.0
2018-10-31,1.43,1.58,1.41,1.42,145254,14218936.0
2018-11-01,1.42,1.46,1.42,1.45,114584,14534436.0
2018-11-02,1.45,1.47,1.43,1.46,82765,14623937.0
2018-11-03,1.46,1.47,1.4,1.42,57791,14222136.0
2018-11-04,1.42,1.58,1.41,1.47,219368,14740437.0
2018-11-05,1.47,1.56,1.39,1.43,92018,14256936.0
2018-11-06,1.4,1.49,1.26,1.3,81213,12811132.0
2018-11-07,1.3,1.37,1.24,1.3,42608,13038133.0
2018-11-08,1.3,1.67,1.18,1.6,103634,16056896.0
2018-11-09,1.61,1.61,1.47,1.55,80617,15606356.0
2018-11-10,1.55,1.59,1.49,1.55,118037,15600329.0
2018-11-11,1.55,1.59,1.46,1.51,75214,15134822.0
2018-11-12,1.5,1.52,1.41,1.46,58806,14669313.0
2018-11-13,1.46,1.48,1.42,1.47,95979,14721650.0
2018-11-14,1.46,1.53,1.23,1.29,47275,12977944.0
2018-11-15,1.3,1.31,1.2,1.25,64182,12577026.0
2018-11-16,1.25,1.28,1.21,1.23,45851,12339650.0
2018-11-17,1.23,1.24,1.2,1.21,42819,12204437.0
2018-11-18,1.22,1.26,1.21,1.22,60375,12252153.0
2018-11-19,1.22,1.25,0.87921,0.960993,55330,9653701.0
2018-11-20,0.952293,1.09,0.820255,0.878344,43000,8823447.0
2018-11-21,0.87156,1.0,0.798435,0.999687,40608,10042404.0
2018-11-22,0.9659,1.01,0.902932,0.903484,36256,9075992.0
2018-11-23,0.898318,0.964357,0.858647,0.914404,62626,9185689.0
2018-11-24,0.913751,0.974831,0.831852,0.853132,60183,8570178.0
2018-11-25,0.852547,0.891766,0.721246,0.86557,61628,8695125.0
2018-11-26,0.866026,0.892568,0.747246,0.796881,52518,8005106.0
2018-11-27,0.796197,0.835493,0.748912,0.808842,48117,8125261.0
2018-11-28,0.809935,0.912362,0.794883,0.863998,58695,8679333.0
2018-11-29,0.866581,0.904819,0.672357,0.765067,62020,7685517.0
2018-11-30,0.766787,0.839646,0.654321,0.681882,40617,6849881.0
2018-12-01,0.70765,0.797953,0.673008,0.780824,53020,7843800.0
2018-12-02,0.762247,0.811191,0.71815,0.736113,54449,7394663.0
2018-12-03,0.739093,0.770807,0.672798,0.672798,73597,6758625.0
2018-12-04,0.672058,0.757974,0.666139,0.686619,118189,6897462.0
2018-12-05,0.687026,0.731667,0.636026,0.636026,80750,6389225.0
2018-12-06,0.635594,0.739812,0.625619,0.64064,139629,6435584.0
2018-12-07,0.639521,0.677461,0.563667,0.612703,202492,6154935.0
2018-12-08,0.612007,0.669847,0.594101,0.634482,214424,6373720.0
2018-12-09,0.635402,0.668063,0.616921,0.637696,234901,6406002.0
2018-12-10,0.636641,0.663009,0.61765,0.623782,224881,6266229.0
2018-12-11,0.639533,0.693612,0.60954,0.674089,250206,6771596.0
2018-12-12,0.673365,0.683272,0.621603,0.656055,278494,6590433.0
2018-12-13,0.656408,0.676361,0.617382,0.660085,302258,6630917.0
2018-12-14,0.660105,0.684714,0.628535,0.663013,410482,6660332.0
2018-12-15,0.664788,0.67892,0.626352,0.655158,409169,6581418.0
2018-12-16,0.655669,0.694469,0.65293,0.671635,292737,6746943.0
