Date,Open,High,Low,Close,Volume,Market Cap
2016-03-01,0.00144,0.001601,0.000653,0.00111,296.0,
2016-03-02,0.00111,0.008565,0.001092,0.003837,1806.0,
2016-03-03,0.003836,0.004793,0.001731,0.001897,1108.0,
2016-03-04,0.001898,0.004246,0.001485,0.002055,1042.0,
2016-03-05,0.002095,0.002334,0.001785,0.001807,497.0,
2016-03-06,0.001806,0.0032,0.001789,0.002047,1231.0,
2016-03-07,0.002047,0.002974,0.002041,0.00208,815.0,
2016-03-08,0.002081,0.002434,0.002065,0.002277,467.0,
2016-03-09,0.002276,0.002351,0.001462,0.001705,1263.0,
2016-03-10,0.001705,0.002101,0.000798,0.001147,366.0,
2016-03-11,0.001147,0.001823,0.001056,0.001096,260.0,
2016-03-12,0.001096,0.001467,0.000785,0.000864,256.0,
2016-03-13,0.001206,0.001368,0.000881,0.000928,315.0,
2016-03-14,0.000936,0.001219,0.000694,0.000779,172.0,
2016-03-15,0.000779,0.001247,0.000779,0.001192,159.0,
2016-03-16,0.001192,0.001245,0.001192,0.001243,189.0,
2016-03-17,0.001245,0.001263,0.000962,0.000963,51.0,
2016-03-18,0.000963,0.001232,0.000327,0.000414,178.0,
2016-03-19,0.000414,0.000682,0.000346,0.000449,30.0,
2016-03-20,0.000449,0.001747,0.000448,0.001747,485.0,
2016-03-21,0.001761,0.002507,0.001378,0.001654,818.0,
2016-03-22,0.001576,0.001709,0.001383,0.001475,159.0,
2016-03-23,0.001475,0.005654,0.001474,0.001612,166.0,
2016-03-24,0.001614,0.001827,0.00142,0.001764,184.0,
2016-03-25,0.001765,0.001999,0.001386,0.001465,396.0,
2016-03-26,0.001466,0.002991,0.001391,0.002004,2347.0,
2016-03-27,0.002005,0.003103,0.002005,0.002477,430.0,
2016-03-28,0.002752,0.003009,0.001726,0.001868,790.0,10252.0
2016-03-29,0.001869,0.00301,0.001684,0.001812,516.0,10008.0
2016-03-30,0.001818,0.00239,0.001661,0.001762,333.0,9789.0
2016-03-31,0.001764,0.002,0.001625,0.001625,222.0,9087.0
2016-04-01,0.001626,0.00465,0.001541,0.004279,622.0,24071.0
2016-04-02,0.004284,0.004301,0.001812,0.002118,348.0,11986.0
2016-04-03,0.002119,0.002282,0.001915,0.001929,518.0,10983.0
2016-04-04,0.001921,0.002961,0.00189,0.002816,1519.0,16127.0
2016-04-05,0.002932,0.004143,0.00293,0.003955,3292.0,22790.0
2016-04-06,0.003957,0.006013,0.003822,0.004115,2780.0,23856.0
2016-04-07,0.004117,0.005346,0.003532,0.004208,1842.0,24538.0
2016-04-08,0.00421,0.006867,0.00408,0.006184,1230.0,36277.0
2016-04-09,0.008008,0.033664,0.006046,0.033664,14153.0,198649.0
2016-04-10,0.035038,0.035038,0.011935,0.011935,20458.0,70738.0
2016-04-11,0.014884,0.025937,0.008865,0.015167,16738.0,89897.0
2016-04-12,0.017761,0.025446,0.009796,0.019881,12698.0,117840.0
2016-04-13,0.019902,0.037434,0.015576,0.033912,25677.0,204196.0
2016-04-14,0.034564,0.063385,0.030996,0.039464,29986.0,239564.0
2016-04-15,0.039477,0.056193,0.037679,0.044115,16081.0,269264.0
2016-04-16,0.044101,0.050357,0.035392,0.041412,10842.0,254125.0
2016-04-17,0.041402,0.047427,0.027581,0.039179,8511.0,241027.0
2016-04-18,0.039205,0.042175,0.024104,0.035546,5767.0,218675.0
2016-04-19,0.035786,0.035843,0.011281,0.031075,5831.0,191168.0
2016-04-20,0.031072,0.036171,0.02646,0.03049,10740.0,187573.0
2016-04-21,0.03049,0.038686,0.026121,0.034854,5337.0,226605.0
2016-04-22,0.034879,0.035643,0.021843,0.027132,6426.0,176409.0
2016-04-23,0.027256,0.030097,0.021049,0.026063,4729.0,169462.0
2016-04-24,0.026617,0.031345,0.022445,0.02594,13326.0,168662.0
2016-04-25,0.025974,0.032607,0.02107,0.026498,4583.0,172291.0
2016-04-26,0.026502,0.030846,0.018594,0.020176,3109.0,131181.0
2016-04-27,0.020182,0.029045,0.013196,0.017165,3373.0,111605.0
2016-04-28,0.017178,0.021052,0.013413,0.015955,987.0,103736.0
2016-04-29,0.015969,0.016154,0.007468,0.015365,3896.0,99904.0
2016-04-30,0.015368,0.015382,0.007999,0.010722,2020.0,69712.0
2016-05-01,0.010726,0.013367,0.006119,0.013053,3367.0,84872.0
2016-05-02,0.013055,0.013069,0.008819,0.010888,1645.0,70793.0
