Date,Open,High,Low,Close,Volume,Market Cap
2018-05-21,0.195125,0.204924,0.181871,0.193715,2400200,24282668
2018-05-22,0.190948,0.194321,0.130645,0.145872,901617,18285426
2018-05-23,0.146084,0.147178,0.110489,0.111422,572417,13967031
2018-05-24,0.112212,0.153915,0.112212,0.142833,789944,17904480
2018-05-25,0.143453,0.156173,0.139589,0.15226,376304,19086178
2018-05-26,0.149916,0.1589,0.136285,0.136488,313031,17109118
2018-05-27,0.137538,0.14742,0.125917,0.135096,281074,16934627
2018-05-28,0.133272,0.135198,0.115301,0.121676,257712,15953736
2018-05-29,0.121324,0.143912,0.114384,0.138192,305345,18119257
2018-05-30,0.138277,0.148114,0.129588,0.129638,311092,16997686
2018-05-31,0.128435,0.145245,0.126682,0.130131,299376,17062327
2018-06-01,0.130464,0.13808,0.121831,0.123877,787464,16242324
2018-06-02,0.123856,0.135145,0.123378,0.130116,135405,17060360
2018-06-03,0.129949,0.143049,0.128075,0.136182,994997,17855713
2018-06-04,0.135515,0.135515,0.108814,0.112158,995857,14705769
2018-06-05,0.112256,0.113782,0.08973,0.089959,595561,11796084
2018-06-06,0.08988,0.104252,0.083768,0.084137,330616,11032672
2018-06-07,0.084146,0.09298,0.082617,0.087602,265310,11513283
2018-06-08,0.088003,0.089167,0.079523,0.082226,287116,10806702
2018-06-09,0.082107,0.085672,0.080695,0.080695,402117,10605539
2018-06-10,0.080825,0.082343,0.073725,0.075243,379821,9889061
2018-06-11,0.075362,0.07622,0.065485,0.069563,194099,9142447
2018-06-12,0.069562,0.073006,0.061671,0.062082,312563,8159290
2018-06-13,0.06228,0.062779,0.053627,0.058705,429161,7715445
2018-06-14,0.058783,0.060709,0.052841,0.059461,584796,7814857
2018-06-15,0.0594,0.059916,0.054927,0.055439,339825,7286242
2018-06-16,0.055267,0.057348,0.054829,0.056277,291691,7396326
2018-06-17,0.056502,0.057529,0.056036,0.056117,248913,7375284
2018-06-18,0.056042,0.057072,0.053817,0.056644,257965,7444626
2018-06-19,0.056612,0.061518,0.056278,0.056883,246818,7475997
2018-06-20,0.056849,0.057014,0.05043,0.052055,223523,6841425
2018-06-21,0.050411,0.057292,0.047298,0.051067,261057,6711614
2018-06-22,0.051234,0.052377,0.047467,0.048076,205564,6318501
2018-06-23,0.048032,0.052095,0.046009,0.049646,189063,6524856
2018-06-24,0.049718,0.049965,0.021137,0.044311,175505,5823689
2018-06-25,0.044187,0.048826,0.035875,0.046296,171347,6084626
2018-06-26,0.046363,0.050078,0.038982,0.043045,180513,5657263
2018-06-27,0.042832,0.048535,0.021281,0.046177,131150,6068986
2018-06-28,0.046221,0.047681,0.035129,0.040385,136049,5307678
2018-06-29,0.040445,0.048053,0.039519,0.045294,85761,5952870
2018-06-30,0.045304,0.047258,0.033266,0.036312,40602,4772347
2018-07-01,0.036338,0.050538,0.035717,0.046142,41280,6064399
2018-07-02,0.046163,0.047685,0.039285,0.047507,45694,6243772
2018-07-03,0.047487,0.048063,0.036679,0.038597,60046,5072659
2018-07-04,0.038608,0.043378,0.028813,0.029602,48088,3979286
