Date,Open,High,Low,Close,Volume,Market Cap
2019-04-11,0.081879,0.102761,0.076641,0.100226,248423,
2019-04-12,0.100908,0.125589,0.097613,0.119717,314420,
2019-04-13,0.119411,0.123568,0.052518,0.056628,927346,
2019-04-14,0.056628,0.092973,0.05057,0.069608,868033,
2019-04-15,0.069608,0.080229,0.062143,0.070155,470650,
2019-04-16,0.070109,0.072901,0.053533,0.05876,485844,
2019-04-17,0.058757,0.061259,0.053471,0.054981,317731,
2019-04-18,0.055402,0.072406,0.053786,0.057843,449407,
2019-04-19,0.057602,0.078196,0.054809,0.055377,391768,
2019-04-20,0.055391,0.059302,0.052112,0.052662,235607,
2019-04-21,0.052652,0.053747,0.047187,0.05229,268044,
2019-04-22,0.052508,0.053403,0.04142,0.045148,583229,
2019-04-23,0.045148,0.049674,0.041065,0.047687,576736,
2019-04-24,0.047687,0.057145,0.040171,0.044296,275299,1561694.0
2019-04-25,0.044172,0.047051,0.043072,0.044551,217839,1570666.0
2019-04-26,0.045008,0.048615,0.042618,0.043365,257901,1528850.0
2019-04-27,0.043298,0.044012,0.038742,0.040103,221317,1413849.0
2019-04-28,0.039712,0.041438,0.034555,0.034708,186991,1223666.0
2019-04-29,0.034629,0.03615,0.033149,0.035292,101904,1244240.0
2019-04-30,0.035266,0.039306,0.033669,0.036257,184568,1278250.0
2019-05-01,0.036319,0.037472,0.034314,0.035023,200510,1234746.0
2019-05-02,0.034994,0.035354,0.034648,0.034963,205918,1232651.0
2019-05-03,0.034848,0.039763,0.033554,0.037634,302675,1326827.0
2019-05-04,0.037519,0.039458,0.034731,0.035218,237819,1241633.0
2019-05-05,0.035215,0.043603,0.034908,0.040457,301779,1426334.0
2019-05-06,0.040443,0.04167,0.033308,0.034095,221439,1202044.0
2019-05-07,0.034028,0.045525,0.033999,0.042986,242008,1515519.0
2019-05-08,0.042924,0.043604,0.040618,0.041169,288219,1451459.0
2019-05-09,0.041018,0.05577,0.040209,0.051913,291709,1830242.0
2019-05-10,0.052191,0.052838,0.049559,0.051178,230071,1804327.0
2019-05-11,0.051277,0.053965,0.047755,0.04857,251220,1712365.0
2019-05-12,0.048434,0.050875,0.04221,0.042768,269506,1507804.0
2019-05-13,0.042768,0.052654,0.041973,0.051034,230350,1799249.0
2019-05-14,0.051096,0.05392,0.045919,0.049693,292997,1751970.0
2019-05-15,0.049648,0.052776,0.049539,0.051401,347160,1812175.0
2019-05-16,0.051303,0.05179,0.043542,0.044749,361867,1577649.0
2019-05-17,0.044714,0.048085,0.042114,0.044351,378549,1563614.0
