Date,Open,High,Low,Close,Volume,Market Cap
2017-06-23,0.006092,0.009592,0.004769,0.009544,3291,49750
2017-06-24,0.012027,0.074296,0.005963,0.046525,32377,265698
2017-06-25,0.04657,0.04657,0.017384,0.034622,5529,201251
2017-06-26,0.025736,0.034375,0.004464,0.007187,2123,42942
2017-06-27,0.007357,0.020027,0.007357,0.010847,4181,66341
2017-06-28,0.010918,0.034449,0.007544,0.022994,7759,142215
2017-06-29,0.022973,0.034341,0.0128,0.018827,8903,120567
2017-06-30,0.018865,0.021339,0.013152,0.016752,775,107830
2017-07-01,0.016746,0.020928,0.01291,0.017862,1825,115029
2017-07-02,0.01786,0.027525,0.014893,0.02741,2036,176519
2017-07-03,0.02731,0.027397,0.018188,0.022296,750,143583
2017-07-04,0.022245,0.028801,0.01536,0.015549,2353,101765
2017-07-05,0.015541,0.019234,0.01106,0.013122,1019,85922
2017-07-06,0.013129,0.020688,0.01292,0.019994,1342,131396
2017-07-07,0.020009,0.020045,0.01314,0.013273,732,87225
2017-07-08,0.013284,0.024668,0.013156,0.022567,576,148443
2017-07-09,0.022587,0.022676,0.005076,0.016477,2018,108978
2017-07-10,0.011324,0.016382,0.008644,0.008701,324,57548
2017-07-11,0.008683,0.014871,0.00849,0.008704,474,57570
2017-07-12,0.008692,0.014056,0.005081,0.006295,3756,42862
2017-07-13,0.0063,0.031812,0.00628,0.029972,6875,204160
2017-07-14,0.029949,0.073678,0.015066,0.01895,34508,130332
2017-07-15,0.022215,0.043322,0.019666,0.024722,20782,170031
2017-07-16,0.024653,0.026261,0.013682,0.025501,10146,175391
2017-07-17,0.021659,0.044191,0.017383,0.035144,36048,337128
2017-07-18,0.035234,0.069545,0.035234,0.060125,63655,601565
2017-07-19,0.064911,0.065288,0.033765,0.033872,42912,352515
2017-07-20,0.033771,0.089052,0.033771,0.058373,84306,632021
2017-07-21,0.058812,0.066497,0.036395,0.054711,51291,614450
2017-07-22,0.05431,0.054612,0.029277,0.038974,30606,453557
2017-07-23,0.038976,0.041751,0.023109,0.033875,34072,408144
2017-07-24,0.033803,0.036696,0.024489,0.028565,23163,355907
2017-07-25,0.027621,0.038668,0.020453,0.026369,20183,338821
2017-07-26,0.026382,0.028251,0.021351,0.024393,14225,323860
2017-07-27,0.025115,0.026609,0.018438,0.020532,15934,280845
2017-07-28,0.020597,0.023141,0.015862,0.018111,8271,251363
2017-07-29,0.017752,0.018677,0.015063,0.018055,9148,254379
2017-07-30,0.018053,0.02603,0.017499,0.019555,15143,279662
2017-07-31,0.019575,0.021963,0.017643,0.017902,3162,257030
2017-08-01,0.017911,0.019916,0.014414,0.014664,6510,213519
2017-08-02,0.014661,0.024437,0.011026,0.016133,10983,238462
2017-08-03,0.016165,0.020427,0.012631,0.019289,14463,289290
2017-08-04,0.017677,0.023644,0.017318,0.017487,14447,265643
2017-08-05,0.017479,0.03318,0.017467,0.027379,19539,421599
2017-08-06,0.027386,0.032205,0.022375,0.026175,17199,408521
2017-08-07,0.026117,0.033285,0.026117,0.029671,13726,467108
2017-08-08,0.029701,0.03676,0.026482,0.032416,24049,516841
2017-08-09,0.032393,0.03489,0.022782,0.025035,16480,401935
2017-08-10,0.025037,0.028117,0.019395,0.02164,10974,349047
2017-08-11,0.021899,0.025017,0.020905,0.023353,11077,379060
2017-08-12,0.023335,0.027781,0.021686,0.023573,12669,384884
2017-08-13,0.023551,0.02585,0.019077,0.021714,15970,356843
2017-08-14,0.021728,0.021946,0.016217,0.017576,8809,290571
2017-08-15,0.017624,0.022598,0.012456,0.017255,10669,287189
2017-08-16,0.017268,0.021769,0.013027,0.013027,5725,218119
2017-08-17,0.013015,0.02118,0.013015,0.018599,8182,313335
2017-08-18,0.018542,0.021404,0.014973,0.015989,6662,270944
2017-08-19,0.015976,0.016771,0.012767,0.015238,8501,259857
