Date,Open,High,Low,Close,Volume,Market Cap
2017-11-14,0.384493,0.419209,0.383553,0.419124,362421,
2017-11-15,0.419353,0.419353,0.098483,0.120664,590815,
2017-11-16,0.120569,0.155746,0.073909,0.088159,153851,1269490.0
2017-11-17,0.088098,0.117003,0.07486,0.086305,96217,1242792.0
2017-11-18,0.077124,0.098666,0.075286,0.095807,38480,1379627.0
2017-11-19,0.09556,0.09556,0.052548,0.059753,35103,860439.0
2017-11-20,0.059689,0.06727,0.026594,0.026594,28014,382948.0
2017-11-21,0.026552,0.031524,0.02591,0.026338,12394,379270.0
2017-11-22,0.026372,0.048861,0.021681,0.035201,3665,506899.0
2017-11-23,0.035282,0.05157,0.028312,0.050567,10604,728166.0
2017-11-24,0.050314,0.05697,0.036613,0.04772,5484,687164.0
2017-11-25,0.047712,0.048843,0.040385,0.046171,4533,664867.0
2017-11-26,0.046173,0.046549,0.020674,0.029653,3126,427009.0
2017-11-27,0.029646,0.035571,0.022062,0.022085,11759,318018.0
2017-11-28,0.022054,0.032733,0.022054,0.027254,11495,392462.0
2017-11-29,0.027276,0.038786,0.024878,0.024936,6116,359073.0
2017-11-30,0.025255,0.035166,0.023798,0.026242,4071,377888.0
2017-12-01,0.026177,0.033599,0.025222,0.033253,353,478850.0
2017-12-02,0.033253,0.033808,0.027033,0.027364,814,394047.0
2017-12-03,0.027374,0.031405,0.026738,0.027408,1459,394678.0
2017-12-04,0.025931,0.027483,0.022385,0.023307,1158,335627.0
2017-12-05,0.023319,0.023705,0.022848,0.023329,534,335935.0
2017-12-06,0.023288,0.023288,0.018982,0.021246,2345,305941.0
2017-12-07,0.021172,0.036208,0.020848,0.024894,1549,358475.0
2017-12-08,0.02493,0.027277,0.024316,0.026701,131,384487.0
2017-12-09,0.0267,0.04047,0.0267,0.03266,1113,470301.0
2017-12-10,0.032765,0.032765,0.025803,0.025897,137,372912.0
2017-12-11,0.025926,0.035091,0.025896,0.031054,1044,447178.0
2017-12-12,0.030855,0.039902,0.030059,0.039619,277,570518.0
2017-12-13,0.039646,0.048751,0.031731,0.048367,5398,696488.0
2017-12-14,0.048342,0.051825,0.033011,0.041613,4370,599232.0
2017-12-15,0.041652,0.049911,0.029315,0.049885,7042,718340.0
2017-12-16,0.049995,0.072953,0.049995,0.072387,14808,1042379.0
2017-12-17,0.072615,0.136933,0.062352,0.082369,21509,1186111.0
2017-12-18,0.08226,0.08867,0.060276,0.079197,7292,1140432.0
2017-12-19,0.078958,0.109216,0.058486,0.061189,3489,881119.0
2017-12-20,0.061123,0.074503,0.054149,0.067871,1277,977345.0
2017-12-21,0.067944,0.071476,0.065057,0.067031,96,965245.0
2017-12-22,0.067285,0.077143,0.022834,0.071315,1937,1026930.0
2017-12-23,0.071902,0.079604,0.050373,0.05172,1265,744765.0
2017-12-24,0.053867,0.069173,0.052714,0.067651,2741,974177.0
2017-12-25,0.067985,0.136332,0.067957,0.112548,6788,1620691.0
2017-12-26,0.11259,0.117168,0.091928,0.112473,11006,1619611.0
2017-12-27,0.112729,0.134154,0.073093,0.129635,30229,1866744.0
2017-12-28,0.12942,0.129489,0.077889,0.110519,9119,1591474.0
2017-12-29,0.111186,0.284344,0.092043,0.249283,216967,3589675.0
2017-12-30,0.255899,0.364795,0.170434,0.344778,200086,4964803.0
2017-12-31,0.334276,0.546797,0.276722,0.481523,295843,6933931.0
2018-01-01,0.452074,0.466209,0.265211,0.309713,134761,4459867.0
2018-01-02,0.310783,0.361652,0.278982,0.35674,124588,5137056.0
