Date,Open,High,Low,Close,Volume,Market Cap
2017-12-13,1.01,1.58,0.965935,1.51,177887,
2017-12-14,1.48,2.69,1.36,2.54,679690,
2017-12-15,2.59,2.72,1.7,1.84,337455,
2017-12-16,1.84,2.23,1.84,1.91,194381,
2017-12-17,1.87,2.0,1.38,1.56,130119,
2017-12-18,1.55,1.73,1.31,1.65,118992,
2017-12-19,1.65,1.68,1.44,1.51,90417,
2017-12-20,1.51,1.51,1.22,1.24,68990,
2017-12-21,1.24,1.61,1.15,1.59,88350,
2017-12-22,1.6,1.61,1.01,1.14,70423,
2017-12-23,1.14,1.25,1.01,1.11,56621,
2017-12-24,1.24,1.25,0.955606,1.15,29176,
2017-12-25,1.16,1.3,0.964184,1.28,93421,
2017-12-26,1.28,1.59,1.2,1.59,138141,
2017-12-27,1.44,1.68,1.22,1.35,136623,
2017-12-28,1.34,1.4,1.02,1.2,168016,
2017-12-29,1.22,1.24,1.1,1.2,51671,
2017-12-30,1.19,1.25,0.950052,1.13,86060,
2017-12-31,1.12,1.26,1.1,1.18,87864,
2018-01-01,1.18,1.38,1.02,1.25,96728,
2018-01-02,1.36,1.44,1.09,1.37,154083,
2018-01-03,1.37,1.61,1.13,1.45,216582,
2018-01-04,1.43,1.58,1.17,1.39,289686,
2018-01-05,1.35,1.42,1.21,1.25,95082,
2018-01-06,1.25,1.5,1.15,1.5,187213,
2018-01-07,1.5,1.79,1.33,1.56,351502,
2018-01-08,1.66,2.01,1.32,1.87,282053,
2018-01-09,1.91,2.11,1.72,2.06,315828,
2018-01-10,2.06,2.44,1.74,2.35,371155,
2018-01-11,2.38,2.39,1.79,2.0,254655,
2018-01-12,2.01,2.06,1.75,1.97,191098,
2018-01-13,1.97,2.15,1.81,2.15,239743,
2018-01-14,2.26,2.34,1.99,2.15,281736,
2018-01-15,2.14,2.17,1.94,2.08,227538,
2018-01-16,2.07,2.07,1.51,1.6,138893,
2018-01-17,1.59,1.62,1.06,1.6,256768,
2018-01-18,1.61,1.85,1.16,1.72,447315,
2018-01-19,1.74,1.77,1.54,1.64,131095,16368500.0
2018-01-20,1.65,2.0,1.55,1.91,195127,19072500.0
2018-01-21,1.91,1.91,1.48,1.67,172421,16691900.0
2018-01-22,1.69,2.1,1.49,2.09,340504,20868300.0
2018-01-23,2.13,2.15,1.58,1.98,283211,19828200.0
2018-01-24,1.97,2.09,1.72,2.01,355825,20134600.0
2018-01-25,2.04,2.11,1.84,1.96,356074,19571700.0
2018-01-26,1.94,2.04,1.76,1.99,208643,19935600.0
2018-01-27,1.99,2.08,1.86,2.08,144776,20816700.0
2018-01-28,2.03,2.11,1.92,2.1,240154,21005400.0
2018-01-29,2.1,2.11,1.88,2.03,255843,20290100.0
2018-01-30,2.03,2.03,1.79,1.86,172939,18627800.0
2018-01-31,1.87,1.88,1.74,1.86,112042,18551200.0
2018-02-01,1.86,1.86,1.53,1.64,186256,16389700.0
2018-02-02,1.64,1.64,1.35,1.61,119582,16135400.0
