Date,Open,High,Low,Close,Volume,Market Cap
2015-09-04,0.000281,0.000307,0.000234,0.000288,263.0,
2015-09-05,0.000288,0.000325,0.000236,0.000282,182.0,
2015-09-06,0.000282,0.000526,0.000239,0.000254,370.0,
2015-09-07,0.000254,0.0006,0.000242,0.000372,114.0,
2015-09-08,0.000372,0.000716,0.000372,0.000441,48.0,
2015-09-09,0.000441,0.000535,0.000241,0.000474,662.0,4920.0
2015-09-10,0.000474,0.000888,0.000471,0.000714,134.0,7504.0
2015-09-11,0.000714,0.000818,0.000466,0.000605,304.0,6438.0
2015-09-12,0.000605,0.000732,0.000486,0.000573,109.0,6302.0
2015-09-13,0.000573,0.000631,0.000244,0.00034,102.0,3907.0
2015-09-14,0.00034,0.000416,0.000293,0.000293,39.0,3512.0
2015-09-15,0.000293,0.000293,0.000169,0.000169,45.0,2039.0
2015-09-16,0.000169,0.000408,0.000166,0.000408,3.0,4928.0
2015-09-17,0.000408,0.00041,0.000408,0.000409,3.0,4945.0
2015-09-18,0.00031,0.000605,0.00031,0.000376,251.0,4548.0
2015-09-19,0.000375,0.000383,0.000198,0.000198,206.0,2399.0
2015-09-20,0.000198,0.00036,0.000198,0.000293,382.0,3555.0
2015-09-21,0.000293,0.000364,0.000289,0.000319,177.0,3865.0
2015-09-22,0.000319,0.000375,0.000303,0.000311,165.0,3777.0
2015-09-23,0.000312,0.000314,0.00024,0.000278,56.0,3373.0
2015-09-24,0.000278,0.000325,0.000278,0.000319,46.0,3872.0
2015-09-25,0.000319,0.000331,0.000318,0.000329,1.0,3998.0
2015-09-26,0.000329,0.000333,0.000324,0.000327,11.0,3973.0
2015-09-27,0.000327,0.000328,0.000316,0.000317,12.0,3847.0
2015-09-28,0.000317,0.000324,0.000232,0.000237,49.0,2879.0
2015-09-29,0.000237,0.000237,0.000144,0.000145,8.0,1766.0
2015-09-30,0.000145,0.000235,0.000145,0.000234,2.0,2843.0
2015-10-01,0.000234,0.000236,0.000121,0.000121,17.0,1475.0
2015-10-02,0.000121,0.000143,6e-05,0.000136,19.0,1650.0
2015-10-03,0.000135,0.000191,0.000135,0.000191,1.0,2328.0
2015-10-04,0.000191,0.00022,0.000122,0.000219,4.0,2673.0
2015-10-05,0.000219,0.000221,0.000218,0.000221,0.0,2699.0
2015-10-06,0.000221,0.000222,0.000221,0.000221,0.0,2703.0
2015-10-10,0.000125,0.000125,0.000124,0.000125,4.0,1529.0
