Date,Open,High,Low,Close,Volume,Market Cap
2018-07-25,0.044638,0.057789,0.044383,0.05321,1059.0,
2018-07-26,0.049825,0.056388,0.043736,0.047968,4462.0,
2018-07-27,0.047944,0.056951,0.046243,0.056246,409.0,
2018-07-28,0.056351,0.056649,0.046213,0.046447,618.0,
2018-07-29,0.046497,0.048231,0.046196,0.048048,596.0,
2018-07-30,0.048062,0.060916,0.047501,0.060916,274.0,
2018-07-31,0.060802,0.082686,0.04729,0.072862,3661.0,
2018-08-01,0.072921,0.07296,0.047614,0.059478,1069.0,
2018-08-02,0.05951,0.065538,0.045827,0.052158,3361.0,
2018-08-03,0.052165,0.055191,0.045555,0.045929,1397.0,
2018-08-04,0.045974,0.072549,0.045002,0.045177,668.0,
2018-08-05,0.060506,0.061199,0.031796,0.032768,1402.0,
2018-08-06,0.032798,0.062621,0.031813,0.045441,599.0,1530969.0
2018-08-07,0.045425,0.04768,0.039593,0.046172,1290.0,1555587.0
2018-08-08,0.046173,0.049291,0.028932,0.034955,5161.0,1181168.0
2018-08-09,0.035025,0.05384,0.034726,0.050968,1574.0,1722257.0
2018-08-10,0.050913,0.051111,0.028082,0.029282,1088.0,989474.0
2018-08-11,0.029293,0.046956,0.028263,0.040467,591.0,1367419.0
2018-08-12,0.040321,0.047299,0.033447,0.038699,783.0,1307676.0
2018-08-13,0.038738,0.039114,0.033204,0.034887,2125.0,1178881.0
2018-08-14,0.034872,0.036605,0.026161,0.036431,7278.0,1231054.0
2018-08-15,0.036517,0.036951,0.030492,0.030571,1254.0,1033038.0
2018-08-16,0.030573,0.036528,0.026397,0.03521,324.0,1189792.0
2018-08-17,0.03523,0.0435,0.029997,0.043492,1334.0,1469661.0
2018-08-18,0.043598,0.043761,0.031237,0.034631,56.0,1170213.0
2018-08-19,0.03465,0.03539,0.031391,0.031713,421.0,1071631.0
2018-08-20,0.031686,0.031686,0.027828,0.028103,983.0,949621.0
2018-08-21,0.027942,0.028958,0.024248,0.027857,4724.0,941312.0
2018-08-22,0.027856,0.030588,0.027376,0.027746,760.0,937557.0
2018-08-23,0.027791,0.030075,0.027756,0.029987,92.0,1013283.0
2018-08-24,0.03001,0.030039,0.023323,0.024042,301.0,812412.0
