Date,Open,High,Low,Close,Volume,Market Cap
2017-09-12,1.72,2.89,1.57,2.78,27377,666188
2017-09-13,2.78,3.58,2.28,3.23,62654,785914
2017-09-14,3.23,3.3,2.15,2.15,24681,526890
2017-09-15,2.15,3.11,2.15,2.51,24880,615793
2017-09-16,2.53,3.1,1.83,2.48,10736,613588
2017-09-17,2.49,3.19,1.8,2.57,26388,647382
2017-09-18,2.57,4.97,2.57,4.91,108260,1268888
2017-09-19,5.13,7.99,4.25,7.01,149060,1860594
2017-09-20,7.01,7.19,6.88,7.18,152518,1931313
2017-09-21,6.13,7.04,5.4,6.0,57612,1672529
2017-09-22,5.83,6.31,4.64,4.78,28781,1363394
2017-09-23,4.76,5.66,3.19,5.0,56817,1462142
2017-09-24,5.0,5.16,3.65,4.23,58943,1265173
2017-09-25,4.22,6.19,4.22,5.07,73667,1553229
2017-09-26,5.07,5.66,3.72,4.68,62809,1464946
2017-09-27,4.76,5.49,4.15,4.84,24878,1546387
2017-09-28,4.85,5.88,4.46,5.88,66952,1918532
2017-09-29,5.87,6.45,5.02,5.44,60366,1814582
2017-09-30,5.44,6.32,5.44,5.73,33520,1947807
2017-10-01,5.73,6.0,5.45,5.73,39441,1987780
2017-10-02,5.72,5.91,4.83,4.84,32972,1712264
2017-10-03,4.84,5.17,4.28,4.48,47234,1607971
2017-10-04,4.49,4.74,3.55,3.59,45006,1320884
2017-10-05,3.6,3.86,2.92,3.37,25073,1262481
2017-10-06,3.37,3.57,2.62,2.62,19492,1000109
2017-10-07,2.63,3.93,2.63,3.07,17902,1192683
2017-10-08,3.07,3.17,2.53,2.53,23390,999060
2017-10-09,2.3,4.41,1.72,3.47,41777,1391554
2017-10-10,3.47,4.25,2.78,4.05,45987,1649663
2017-10-11,4.05,4.28,3.31,3.81,43756,1581405
2017-10-12,3.81,4.15,3.34,3.96,39047,1670822
2017-10-13,3.97,4.06,3.38,3.45,35672,1478616
2017-10-14,3.45,4.29,3.43,4.21,56773,1835153
2017-10-15,4.22,4.37,0.612481,4.04,109036,1787817
2017-10-16,4.04,4.98,3.72,4.56,79086,2048893
2017-10-17,4.57,7.08,4.51,6.75,129693,3077484
2017-10-18,6.75,6.84,5.22,5.5,120136,2544319
2017-10-19,5.5,6.69,5.45,5.96,90067,2801169
2017-10-20,5.96,6.5,5.35,5.47,86801,2606981
2017-10-21,5.46,6.3,4.24,5.98,67327,2891606
2017-10-22,5.98,6.22,5.57,5.82,54601,2854209
2017-10-23,5.81,6.12,5.37,5.64,61107,2805349
2017-10-24,5.63,7.18,5.33,6.84,135718,3448214
2017-10-25,7.17,7.72,6.19,7.56,135944,3863641
2017-10-26,7.56,7.68,6.42,6.47,136018,3351453
2017-10-27,6.48,7.89,6.24,6.51,102333,3412161
