Date,Open,High,Low,Close,Volume,Market Cap
2017-08-27,1.06,1.19,1.03,1.08,10689000,
2017-08-28,1.09,1.26,0.803104,0.959098,2767610,
2017-08-29,0.933622,1.01,0.648844,0.893933,4040230,
2017-08-30,0.88867,0.958105,0.524474,0.63537,2348320,
2017-08-31,0.641001,0.704322,0.508927,0.611966,2638570,
2017-09-01,0.608858,1.82,0.540748,1.55,15663800,
2017-09-02,1.57,1.91,1.19,1.87,10974200,46665659.0
2017-09-03,1.82,3.17,1.66,2.97,30155700,74015810.0
2017-09-04,2.96,2.96,0.974014,1.85,16344800,46058144.0
2017-09-05,1.84,1.84,0.523932,1.21,16728900,30019982.0
2017-09-06,1.18,1.48,0.934207,1.07,8262150,26551417.0
2017-09-07,1.01,1.52,0.966428,1.52,8630600,37942582.0
2017-09-08,1.57,1.99,1.11,1.29,15172300,32132593.0
2017-09-09,1.3,1.63,1.18,1.63,4611730,40484935.0
2017-09-10,1.61,1.68,1.33,1.58,6472840,39415061.0
2017-09-11,1.59,2.16,1.59,2.12,13896400,52808040.0
2017-09-12,2.12,2.5,1.7,1.8,20894100,44702687.0
2017-09-13,1.82,1.98,1.63,1.94,5015140,48421479.0
2017-09-14,1.9,2.08,1.52,1.56,5627240,38964902.0
2017-09-15,1.55,1.8,1.1,1.73,4709050,43060154.0
2017-09-16,1.75,1.91,1.55,1.73,2172600,42967782.0
2017-09-17,1.73,1.76,1.52,1.7,1102610,42259180.0
2017-09-18,1.69,1.93,1.68,1.81,1501820,45105788.0
2017-09-19,1.82,2.59,1.43,1.52,2457140,37928141.0
2017-09-20,1.52,1.57,1.16,1.29,1736010,32013330.0
2017-09-21,1.27,1.4,1.17,1.26,1456350,31328630.0
2017-09-22,1.29,1.49,1.23,1.49,1572810,37034795.0
2017-09-23,1.48,1.79,1.48,1.77,2115510,44168123.0
2017-09-24,1.78,1.89,1.59,1.81,1746370,45040306.0
2017-09-25,1.8,2.25,1.78,2.2,2975160,54755326.0
2017-09-26,2.2,3.21,2.14,3.0,10433800,74789147.0
2017-09-27,2.86,4.13,2.77,3.99,19088400,99467972.0
2017-09-28,4.01,6.95,3.8,6.21,36777800,154576354.0
2017-09-29,6.22,6.48,4.41,5.53,23391200,137711076.0
2017-09-30,5.49,5.58,4.46,5.4,21174400,134445929.0
2017-10-01,5.37,7.59,5.37,7.42,25880700,184862249.0
2017-10-02,7.41,8.8,7.32,8.37,22049700,208416423.0
2017-10-03,8.23,8.31,7.08,7.79,17561700,194055652.0
2017-10-04,7.88,7.88,6.06,7.42,17154400,184760914.0
