Date,Open,High,Low,Close,Volume,Market Cap
2018-09-30,0.001643,0.00296,0.001581,0.002648,6025,
2018-10-01,0.00264,0.005009,0.00232,0.004945,10168,
2018-10-02,0.004931,0.006341,0.004223,0.005413,17575,
2018-10-03,0.005416,0.009282,0.004904,0.009282,21208,
2018-10-04,0.009228,0.009486,0.006563,0.006811,7661,304290.0
2018-10-05,0.007026,0.007616,0.004839,0.005021,4685,225762.0
2018-10-06,0.005032,0.006556,0.004945,0.00577,1875,261101.0
2018-10-07,0.005791,0.006558,0.004832,0.004917,3183,223960.0
2018-10-08,0.00494,0.005992,0.003935,0.004705,2336,215637.0
2018-10-09,0.004721,0.005577,0.004635,0.005107,1673,235554.0
2018-10-10,0.005087,0.005105,0.004518,0.004615,1524,214161.0
2018-10-11,0.004337,0.004802,0.003776,0.003977,1418,184524.0
2018-10-12,0.003971,0.004311,0.002436,0.003743,2030,173673.0
2018-10-13,0.003743,0.003765,0.002805,0.003302,1503,153212.0
2018-10-14,0.003303,0.008701,0.003011,0.004382,4193,203357.0
2018-10-15,0.004387,0.005606,0.004238,0.005412,1853,251126.0
2018-10-16,0.004879,0.005015,0.00421,0.004601,1097,213496.0
2018-10-17,0.004617,0.004689,0.003663,0.003784,1546,175567.0
2018-10-18,0.003798,0.004154,0.003637,0.003692,335,171328.0
2018-10-19,0.003692,0.003894,0.002829,0.003087,1065,143227.0
2018-10-20,0.003087,0.003426,0.002962,0.003041,380,141121.0
2018-10-21,0.003041,0.004557,0.002917,0.003372,1510,156480.0
2018-10-22,0.003371,0.004154,0.003341,0.003807,708,176658.0
2018-10-23,0.003807,0.00414,0.003786,0.004075,377,189105.0
2018-10-24,0.004057,0.004339,0.00364,0.004016,3823,202790.0
2018-10-25,0.004018,0.006597,0.003927,0.005738,13816,291370.0
2018-10-26,0.005919,0.00828,0.005563,0.007308,16532,373250.0
2018-10-27,0.007308,0.008384,0.006695,0.006695,5890,343870.0
2018-10-28,0.006697,0.008354,0.006597,0.007936,10985,409913.0
2018-10-29,0.007934,0.009341,0.007402,0.008463,6878,439615.0
2018-10-30,0.008443,0.010539,0.007914,0.010011,15588,522891.0
2018-10-31,0.010042,0.01006,0.00723,0.00723,5688,379755.0
2018-11-01,0.00723,0.009494,0.007148,0.007401,3270,390893.0
2018-11-02,0.007401,0.00835,0.007024,0.00797,7154,423283.0
2018-11-03,0.00797,0.00797,0.006695,0.006823,3950,364341.0
2018-11-04,0.006823,0.008088,0.006759,0.007529,1620,404208.0
2018-11-05,0.007529,0.008262,0.007079,0.00738,2110,398374.0
2018-11-06,0.00741,0.007887,0.007047,0.007579,3369,424350.0
2018-11-07,0.007578,0.007984,0.007116,0.007385,4695,402947.0
2018-11-08,0.007642,0.00765,0.005343,0.005982,2030,328128.0
2018-11-09,0.005987,0.006742,0.005843,0.006319,2184,348456.0
2018-11-10,0.006318,0.007538,0.006076,0.006744,3850,373821.0
2018-11-11,0.00674,0.007191,0.006311,0.006801,734,378915.0
2018-11-12,0.006817,0.007356,0.006377,0.007356,1494,412025.0
2018-11-13,0.007324,0.007601,0.006469,0.007512,2154,422928.0
2018-11-14,0.00749,0.007502,0.00533,0.006099,2271,345107.0
2018-11-15,0.00613,0.006162,0.004949,0.005691,1303,323680.0
2018-11-16,0.005695,0.005851,0.00463,0.004841,2324,276764.0
2018-11-17,0.004855,0.005711,0.0048,0.004822,2243,277051.0
2018-11-18,0.004839,0.005219,0.00472,0.004831,837,278981.0
2018-11-19,0.004832,0.004832,0.003875,0.003875,1524,224891.0
2018-11-20,0.003865,0.00433,0.003192,0.003286,820,191636.0
2018-11-21,0.003288,0.00363,0.003047,0.00318,276,186386.0
2018-11-22,0.003178,0.003803,0.002952,0.00372,1135,219111.0
2018-11-23,0.003686,0.003719,0.002803,0.003167,1402,187439.0
2018-11-24,0.002946,0.003198,0.002551,0.002551,33,151760.0
2018-11-25,0.002553,0.003362,0.002351,0.003044,518,181942.0
2018-11-26,0.003051,0.003198,0.002472,0.002563,483,153943.0
2018-11-27,0.002562,0.002819,0.002542,0.00275,288,165946.0
2018-11-28,0.002753,0.003339,0.002689,0.003235,423,196141.0
2018-11-29,0.00325,0.004275,0.003113,0.003294,1092,200679.0
2018-11-30,0.003302,0.003507,0.003119,0.00317,344,193999.0
2018-12-01,0.003179,0.003601,0.003046,0.003523,659,216663.0
2018-12-02,0.003521,0.003788,0.00321,0.003685,2279,227627.0
2018-12-03,0.003539,0.003629,0.002921,0.003102,2165,192505.0
2018-12-04,0.002828,0.003569,0.002679,0.003361,671,209544.0
2018-12-05,0.003361,0.003372,0.002633,0.002662,917,166749.0
2018-12-06,0.002661,0.003003,0.002532,0.002532,82,159343.0
2018-12-07,0.002528,0.002716,0.002203,0.002462,641,155656.0
2018-12-08,0.002461,0.002884,0.002348,0.002645,544,167968.0
