Date,Open,High,Low,Close,Volume,Market Cap
2018-02-09,0.207098,0.213819,0.145,0.175546,782690,
2018-02-10,0.175484,0.195901,0.129117,0.147007,5671120,
2018-02-11,0.146988,0.14718,0.121954,0.132654,4372860,
2018-02-12,0.133259,0.141544,0.11511,0.129597,4781780,
2018-02-13,0.129298,0.129376,0.112915,0.119292,3793690,
2018-02-14,0.117396,0.153777,0.117067,0.138806,4657300,
2018-02-15,0.139038,0.167423,0.138158,0.166566,5135090,
2018-02-16,0.166339,0.187067,0.164466,0.174475,6215690,62060018.0
2018-02-17,0.174629,0.179048,0.166775,0.177233,5282950,63041027.0
2018-02-18,0.177444,0.178868,0.149655,0.156644,4753970,55717607.0
2018-02-19,0.15728,0.161929,0.148115,0.149256,4401480,53089726.0
2018-02-20,0.149339,0.155541,0.124236,0.125841,4510330,44761110.0
2018-02-21,0.127412,0.183735,0.124131,0.177021,11097700,62965619.0
2018-02-22,0.175331,0.175331,0.139883,0.169266,10188300,60207199.0
2018-02-23,0.170733,0.18969,0.154234,0.185896,10541300,66122419.0
2018-02-24,0.185022,0.289834,0.171626,0.193879,30239500,68961938.0
2018-02-25,0.194623,0.196896,0.1701,0.187226,9003840,66595494.0
2018-02-26,0.187097,0.193309,0.164261,0.17826,5475420,63406326.0
2018-02-27,0.179969,0.18094,0.163131,0.177357,5835030,63085133.0
2018-02-28,0.177509,0.183515,0.166591,0.170137,6210440,60517010.0
2018-03-01,0.170499,0.180013,0.169475,0.174185,5939700,61956866.0
2018-03-02,0.173641,0.218685,0.171063,0.202189,10760300,71917770.0
2018-03-03,0.200428,0.218091,0.200428,0.213169,9386090,75823309.0
2018-03-04,0.21331,0.218675,0.206835,0.208093,8147870,74017798.0
2018-03-05,0.209875,0.216002,0.169735,0.173522,12092400,61721040.0
2018-03-06,0.173287,0.183821,0.153076,0.165128,8244990,58735329.0
2018-03-07,0.163996,0.163996,0.119805,0.125926,6250690,44791344.0
2018-03-08,0.126089,0.133664,0.108806,0.1192,6596780,42398935.0
2018-03-09,0.118466,0.127638,0.098824,0.127454,5481660,45334847.0
2018-03-10,0.127386,0.132752,0.117327,0.117922,4312380,41944355.0
2018-03-11,0.117526,0.12939,0.114956,0.127454,4322590,45334847.0
2018-03-12,0.127184,0.128748,0.111179,0.116154,7991990,41315485.0
2018-03-13,0.11577,0.119874,0.109477,0.116871,3045620,41570519.0
2018-03-14,0.116905,0.119032,0.094129,0.097154,4354020,38134488.0
2018-03-15,0.096955,0.098236,0.080636,0.090849,4303040,35726560.0
2018-03-16,0.090907,0.097381,0.08739,0.094956,3986700,37384265.0
2018-03-17,0.09508,0.09508,0.079614,0.082597,3425340,32518368.0
2018-03-18,0.081882,0.081882,0.061906,0.07596,4341310,29905420.0
2018-03-19,0.075713,0.086619,0.073376,0.084532,3657130,33280257.0
2018-03-20,0.085741,0.092843,0.080908,0.090265,3710900,35706387.0
2018-03-21,0.090563,0.096262,0.082538,0.085265,3635860,33728478.0
2018-03-22,0.085463,0.091818,0.081035,0.086639,3311800,34272942.0
2018-03-23,0.086265,0.086265,0.077067,0.081312,3668820,32707822.0
2018-03-24,0.082474,0.08609,0.079843,0.080872,3489390,32533017.0
2018-03-25,0.080284,0.082281,0.077666,0.07816,3415750,31442276.0
2018-03-26,0.0781,0.111636,0.07764,0.097117,10508400,39077341.0
2018-03-27,0.097201,0.098556,0.082249,0.088763,3611520,35720542.0
2018-03-28,0.089007,0.1087,0.088907,0.107231,5950790,43152400.0
2018-03-29,0.107225,0.130432,0.095004,0.097282,30265400,39148878.0
2018-03-30,0.097114,0.10399,0.087098,0.090195,8504710,36298337.0
2018-03-31,0.089926,0.095606,0.086429,0.091037,6653470,36638863.0
2018-04-01,0.091768,0.094013,0.080712,0.087603,4744920,35256729.0
