Date,Open,High,Low,Close,Volume,Market Cap
2018-01-14,1286.69,1369.97,1267.42,1350.65,246099,
2018-01-15,1352.34,1372.93,1199.09,1224.65,398460,
2018-01-16,1221.58,1237.31,810.24,1057.25,147291,
2018-01-17,1043.11,1155.42,693.2,1019.67,56673,
2018-01-18,1022.03,1195.49,628.17,984.6,303756,
2018-01-19,988.63,1117.53,929.74,977.8,120835,
2018-01-20,978.45,1204.37,978.45,1129.65,169067,
2018-01-21,1129.21,1137.68,979.23,1056.51,38999,
2018-01-22,1040.33,1222.83,932.3,960.05,91666,
2018-01-23,962.45,1016.68,711.1,1004.51,211073,
2018-01-24,1007.74,1175.28,950.37,1013.15,159377,
2018-01-25,1025.91,1117.44,948.38,1014.99,91392,
2018-01-26,1013.97,1522.6,707.03,1050.89,108738,
2018-01-27,1051.52,1149.41,296.95,1132.35,247646,
2018-01-28,1134.27,2041.47,1092.51,1231.81,215143,
2018-01-29,1235.93,1288.56,1138.27,1172.88,181377,
2018-01-30,1171.67,1265.9,968.48,1028.89,139547,
2018-01-31,1026.41,1476.5,989.78,1104.96,77753,
2018-02-01,1119.22,2360.42,963.44,1062.73,127656,
2018-02-02,1010.53,1249.12,365.82,917.83,128044,
2018-02-03,910.63,2056.91,453.66,918.94,40744,
2018-02-04,927.54,929.02,766.27,815.7,45471,
2018-02-05,845.18,1361.22,571.35,686.38,153162,
2018-02-06,680.63,1047.58,333.67,778.54,308589,
2018-02-07,779.58,856.73,719.11,753.65,89211,
2018-02-08,753.28,923.1,752.1,824.77,64219,
2018-02-09,823.72,3438.54,759.67,1120.38,76954,
2018-02-10,1131.08,1792.75,839.5,859.98,87025,
2018-02-11,861.36,861.45,793.52,808.04,183384,
2018-02-12,806.75,898.66,806.75,887.5,206600,
2018-02-13,884.4,1704.19,811.02,841.86,53523,
2018-02-14,841.08,964.62,809.11,948.73,111546,
2018-02-15,947.04,992.34,883.38,909.89,63090,
2018-02-16,882.2,1683.06,878.9,1028.27,28799,
2018-02-17,1028.09,2065.63,902.15,922.12,57956,
2018-02-18,921.51,1096.24,902.64,914.74,68840,
2018-02-19,913.97,1112.38,913.97,946.38,54104,
2018-02-20,944.18,954.63,881.16,886.57,87392,
2018-02-21,886.3,1721.1,802.34,846.15,211837,
2018-02-22,844.17,879.81,761.79,798.31,331137,
2018-02-23,798.86,872.66,776.97,850.56,168906,
2018-02-24,850.52,881.32,802.26,842.29,110274,
2018-02-25,842.44,896.73,819.47,860.18,40352,
2018-02-26,860.04,882.43,788.21,862.98,83348,
2018-02-27,864.57,999.27,828.98,857.29,68717,
2018-02-28,856.02,874.11,812.71,850.56,217446,
2018-03-01,846.83,879.77,815.91,862.44,84567,
2018-03-02,862.29,925.68,784.21,853.54,237366,
2018-03-03,854.08,864.75,841.6,863.21,34540,
2018-03-04,863.34,878.05,841.49,865.94,57170,
2018-03-05,866.68,872.31,833.51,841.27,255190,
2018-03-06,840.81,846.64,792.63,815.25,768036,
2018-03-07,816.18,832.85,725.55,795.26,460301,
2018-03-08,792.46,837.71,725.94,732.94,453542,
2018-03-09,734.78,739.85,651.32,733.6,497565,
2018-03-10,737.48,762.54,698.3,703.41,164175,
2018-03-11,705.61,804.27,582.38,758.84,33442,
2018-03-12,759.85,921.54,692.5,712.75,39861,
2018-03-13,712.24,736.69,696.96,711.03,156994,
2018-03-14,709.13,725.77,596.54,615.21,790776,
2018-03-15,615.1,638.5,556.67,598.27,187064,
2018-03-16,598.69,636.01,586.98,589.71,233868,
2018-03-17,589.02,602.59,546.63,561.89,115978,
2018-03-18,561.72,609.5,448.62,519.82,2072620,
2018-03-19,526.79,570.21,488.75,556.13,282642,
2018-03-20,554.3,573.37,525.1,549.78,154607,
2018-03-21,548.68,600.75,546.66,553.89,113657,
2018-03-22,552.61,580.33,507.21,533.59,131810,
2018-03-23,534.74,541.4,496.76,529.17,82497,
2018-03-24,523.34,556.15,512.57,536.38,52334,
2018-03-25,535.36,536.83,491.69,518.21,30091,
2018-03-26,519.0,526.06,431.24,431.24,215744,
2018-03-27,430.7,484.26,414.98,438.06,199895,
2018-03-28,441.64,469.11,434.88,449.03,63044,
2018-03-29,448.38,469.64,372.31,378.38,284234,
2018-03-30,377.69,416.45,361.47,403.47,266780,
2018-03-31,401.14,429.95,382.3,390.57,118852,
2018-04-01,390.56,396.33,358.11,378.07,119015,
2018-04-02,377.67,401.59,368.04,376.75,73932,
2018-04-03,377.27,435.93,377.27,406.16,233425,
2018-04-04,406.71,431.73,360.87,367.75,282263,
