Date,Open,High,Low,Close,Volume,Market Cap
2013-05-22,0.109292,0.113252,0.10736,0.112432,,183084
2013-05-23,0.06897,0.07103,0.05068,0.05068,,97834
2013-05-24,0.05052,0.057037,0.019648,0.02664,,55437
2013-05-25,0.02662,0.03996,0.014595,0.026396,,59414
2013-05-26,0.026397,0.032965,0.023987,0.02565,,61369
2013-06-09,0.013998,0.014465,0.011804,0.01287,,60438
2013-06-10,0.011848,0.012111,0.009605,0.009784,,47942
2013-06-11,0.009784,0.011426,0.009568,0.011365,,58006
2013-06-12,0.011375,0.012331,0.011139,0.012019,,63606
2013-06-13,0.012088,0.012258,0.010053,0.0104,,56893
2013-06-14,0.010395,0.010636,0.0098,0.010198,,57693
2013-06-15,0.0102,0.010374,0.009774,0.009802,,57269
2013-06-16,0.009783,0.00996,0.009453,0.009473,,56980
2013-06-17,0.00951,0.00951,0.007914,0.008048,,49707
2013-06-18,0.008067,0.008798,0.007995,0.008504,,54091
2013-06-19,0.008476,0.009011,0.008375,0.009011,,59018
2013-06-20,0.009011,0.00983,0.008957,0.009473,,63805
2013-06-21,0.009571,0.010042,0.00946,0.009889,,68439
2013-06-22,0.009889,0.010158,0.00971,0.009802,,68084
2013-06-23,0.009793,0.009847,0.009615,0.009766,,67831
2013-06-24,0.009793,0.01017,0.009301,0.009463,,65728
2013-06-25,0.009404,0.009807,0.009304,0.009627,,66865
2013-06-26,0.009569,0.009986,0.00953,0.009688,,67288
2013-06-27,0.009688,0.009806,0.009094,0.009124,,63375
2013-06-28,0.009151,0.009151,0.007484,0.007582,,52665
2013-06-29,0.007583,0.00801,0.00745,0.007888,,54790
2013-06-30,0.007889,0.008066,0.007817,0.007942,,55161
2013-07-01,0.008015,0.008028,0.005179,0.005284,,36700
2013-07-02,0.005284,0.006462,0.005251,0.006224,,43229
2013-07-03,0.006242,0.006282,0.005389,0.005428,,37701
2013-07-04,0.005523,0.005909,0.005429,0.005839,,54163
2013-07-05,0.0058,0.005875,0.00485,0.005066,,47953
2013-07-06,0.005071,0.005552,0.004947,0.005446,,52514
2013-07-07,0.005328,0.005711,0.005103,0.005711,,56083
2013-07-08,0.00586,0.006689,0.005678,0.00658,,65894
2013-07-09,0.006536,0.006734,0.006239,0.006596,,67302
2013-07-10,0.006598,0.008069,0.006553,0.008069,,83833
2013-07-11,0.008235,0.01082,0.008114,0.008897,,93998
2013-07-12,0.008897,0.010399,0.008816,0.009359,,100770
2013-07-13,0.009869,0.011304,0.009248,0.01129,,123405
2013-07-14,0.011355,0.011355,0.010123,0.010322,,114749
2013-07-15,0.010204,0.01029,0.009348,0.009872,,111450
2013-07-16,0.009922,0.011473,0.009826,0.010234,,117306
2013-07-17,0.010157,0.011802,0.010157,0.011032,,128440
2013-07-18,0.010448,0.014582,0.009541,0.010779,,127136
2013-07-19,0.010718,0.011659,0.009493,0.010726,,128483
2013-07-20,0.010712,0.011622,0.01038,0.010393,,126497
2013-07-21,0.010444,0.012474,0.010362,0.011799,,145793
2013-07-22,0.01196,0.012755,0.010993,0.010994,,137773
2013-07-23,0.010993,0.012428,0.009719,0.011463,,145823
2013-07-24,0.011463,0.0122,0.009971,0.010462,,135015
2013-07-25,0.010462,0.011534,0.009611,0.00999,,130637
2013-07-26,0.00996,0.010429,0.009432,0.010081,,133700
2013-07-27,0.010081,0.010639,0.007954,0.008576,,115223
2013-07-28,0.008602,0.010402,0.005938,0.007982,,108739
2013-07-29,0.00789,0.010104,0.007831,0.008995,,123818
2013-07-30,0.00902,0.010868,0.007748,0.009709,,135345
2013-07-31,0.009706,0.010738,0.008436,0.008965,,126158
2013-08-01,0.008975,0.009179,0.008275,0.008351,,118610
2013-08-02,0.00842,0.009014,0.007886,0.007945,,113814
2013-08-03,0.007945,0.008568,0.00788,0.008331,,120558
2013-08-04,0.008406,0.009366,0.008292,0.008433,,123167
2013-08-05,0.008431,0.009079,0.008295,0.008557,,126037
2013-08-06,0.008597,0.009167,0.00853,0.008877,,131791
2013-08-07,0.008876,0.008955,0.008521,0.008643,,129450
2013-08-08,0.008643,0.008869,0.007396,0.008033,,121317
2013-08-09,0.008038,0.008458,0.007862,0.008142,,124130
