Date,Open,High,Low,Close,Volume,Market Cap
2015-03-06,0.001647,0.001858,0.001121,0.00128,1974.0,9621
2015-03-07,0.001322,0.001322,0.001114,0.001162,656.0,9636
2015-03-08,0.001162,0.002398,0.001129,0.001624,4779.0,14687
2015-03-09,0.001627,0.001755,0.001193,0.001451,1053.0,13126
2015-03-10,0.001583,0.001696,0.001303,0.001407,830.0,12732
2015-03-11,0.001446,0.001863,0.001163,0.001163,1649.0,10527
2015-03-12,0.001162,0.001658,0.001069,0.00165,739.0,14930
2015-03-13,0.001648,0.00165,0.001144,0.001144,1831.0,10355
2015-03-14,0.001141,0.001441,0.001134,0.001309,204.0,11846
2015-03-15,0.001307,0.001309,0.000691,0.000894,485.0,8095
2015-03-16,0.000892,0.001027,0.000442,0.000665,780.0,6027
2015-03-17,0.000665,0.000884,0.000564,0.000762,264.0,6900
2015-03-18,0.00076,0.000761,0.000492,0.000504,87.0,4570
2015-03-19,0.000504,0.000507,0.000132,0.000147,224.0,1330
2015-03-20,0.000147,0.000235,0.000147,0.000151,85.0,1365
2015-03-21,0.000151,0.000463,0.000148,0.000263,184.0,2382
2015-03-22,0.000268,0.000271,0.000159,0.000195,325.0,1770
2015-03-23,0.000195,0.000233,0.000174,0.000175,97.0,1587
2015-03-24,0.000175,0.000418,0.000175,0.000329,93.0,2990
2015-03-25,0.000332,0.000491,0.000187,0.000389,90.0,3537
2015-03-26,0.000389,0.000504,0.000368,0.00047,172.0,4273
2015-03-27,0.00047,0.000489,0.000257,0.000371,81.0,3375
2015-03-28,0.00037,0.000381,0.000252,0.000265,52.0,2419
2015-03-29,0.000265,0.000273,0.000147,0.000165,75.0,1505
2015-03-30,0.000165,0.000202,0.000156,0.000158,17.0,1446
2015-03-31,0.000158,0.000228,0.000158,0.000183,11.0,1673
2015-04-01,0.000183,0.0002,0.000181,0.000182,27.0,1660
2015-04-02,0.000181,0.000182,0.000114,0.000114,9.0,1041
2015-04-03,0.000114,0.000186,0.000113,0.000186,18.0,1699
2015-04-04,0.000186,0.000186,0.000118,0.000119,9.0,1092
2015-04-05,0.000119,0.000138,0.000118,0.000138,1.0,1265
2015-04-06,0.000138,0.000139,5.1e-05,0.000106,44.0,972
2015-04-07,0.000106,0.000114,7.9e-05,0.000114,46.0,1045
2015-04-08,0.000114,0.000141,0.00011,0.000123,10.0,1126
2015-04-09,0.000122,0.000349,0.000122,0.000185,90.0,1703
2015-04-10,0.000185,0.000185,9.8e-05,9.9e-05,126.0,912
2015-04-11,9.9e-05,0.000194,9.9e-05,0.000125,49.0,1154
2015-04-12,0.000125,0.00018,0.000107,0.000107,6.0,989
2015-04-13,0.000107,0.00015,9.9e-05,0.000117,9.0,1077
2015-04-14,0.000117,0.000201,9.7e-05,0.000199,6.0,1832
2015-04-15,0.000199,0.000328,0.000127,0.00013,8.0,1199
2015-04-16,0.00013,0.000149,9.5e-05,0.000149,27.0,1373
2015-04-17,0.000149,0.000177,0.000117,0.000173,28.0,1599
2015-04-18,0.000173,0.000246,0.00016,0.000245,33.0,2270
2015-04-19,0.000246,0.000365,0.00024,0.00032,46.0,2959
2015-04-20,0.00032,0.000344,0.000118,0.000118,59.0,1094
2015-04-21,0.000118,0.000981,9e-05,0.000266,410.0,2466
2015-04-22,0.000267,0.000365,0.000213,0.000256,174.0,2368
2015-04-23,0.000255,0.000256,6.6e-05,0.000121,105.0,1118
2015-04-24,0.00012,0.000154,9.4e-05,9.5e-05,7.0,880
2015-04-25,9.5e-05,0.000137,9.5e-05,0.000136,1.0,1262
2015-04-26,0.000136,0.000136,0.000129,0.00013,0.0,1205
2015-04-27,0.0001,0.000134,9.7e-05,9.9e-05,8.0,918
2015-04-28,9.9e-05,0.000105,9.7e-05,0.000102,4.0,947
2015-04-29,0.000102,0.000222,0.000101,0.000221,17.0,2066
2015-04-30,0.000221,0.00023,0.000105,0.000106,5.0,992
2015-05-01,0.000106,0.000215,0.000106,0.000118,3.0,1106
2015-05-02,0.000118,0.000235,0.000118,0.000157,46.0,1473
2015-05-03,0.000157,0.000277,0.000157,0.000277,25.0,2597
2015-05-04,0.000277,0.00029,0.000202,0.000203,2.0,1903
2015-05-05,0.000203,0.000235,0.000186,0.000224,6.0,2103
2015-05-06,0.000224,0.000224,0.000138,0.000138,4.0,1293
2015-05-07,0.000138,0.000139,0.000137,0.000139,4.0,1305
2015-05-08,0.000209,0.000218,0.000142,0.000217,426.0,2043
2015-05-09,0.000217,0.000268,0.000171,0.000172,13.0,1618
2015-05-10,0.000172,0.00028,0.000171,0.000279,14.0,2629
2015-05-11,0.000279,0.000283,0.000169,0.00017,22.0,1600
2015-05-12,0.00017,0.000286,0.000168,0.000285,14.0,2687
2015-05-13,0.000285,0.000286,0.000165,0.000165,9.0,1566
2015-05-14,0.000165,0.000166,0.000165,0.000166,1.0,1571
2015-05-16,0.000142,0.000227,0.000106,0.000106,38.0,1009
2015-05-17,0.000106,0.000236,0.000106,0.000234,54.0,2227
2015-05-18,0.000235,0.00086,0.000234,0.000769,37.0,7318
2015-05-19,0.000769,0.000771,0.000109,0.000109,2.0,1038
2015-05-20,0.000109,0.000234,0.000109,0.000234,363.0,2230
2015-05-21,0.000234,0.000588,0.000234,0.000358,87.0,3412
2015-05-22,0.000358,0.000365,0.000173,0.000175,5.0,1675
2015-05-23,0.000175,0.000334,0.000175,0.000332,5.0,3172
2015-05-24,0.000332,0.000336,0.000332,0.000336,2.0,3215
2015-05-25,0.00012,0.000121,0.000118,0.000119,0.0,1136
2015-05-26,0.000119,0.000119,0.000118,0.000118,0.0,1132
2015-05-27,0.000179,0.000399,0.000179,0.000397,0.0,3811
2015-05-28,0.000397,0.000502,0.00013,0.000147,44.0,1408
2015-05-29,0.000147,0.000248,0.000125,0.000154,13.0,1483
